"","Method","Model","Intercept","Slope","J0","JA","N","Correlation","Power","FWERS","CorMat_Error","No_simulations"
"64","bonf","glm",0.1,0.075,"2","8",200,0,0.4434,0.0054,0,10000
"65","bonf","glm",0.1,0.075,"2","8",200,0.5,0.2857,0.0047,0,10000
"66","bonf","glm",0.1,0.075,"2","8",200,0.9,0.1424,0.0042,0,10000
"67","bonf","glm",0.1,0.1,"2","8",200,0,0.7777,0.0043,0,10000
"68","bonf","glm",0.1,0.1,"2","8",200,0.5,0.5207,0.0052,0,10000
"69","bonf","glm",0.1,0.1,"2","8",200,0.9,0.3007,0.0031,0,10000
"70","bonf","glm",0.1,0.125,"2","8",200,0,0.9719,0.0049,0,10000
"71","bonf","glm",0.1,0.125,"2","8",200,0.5,0.7782,0.0042,0,10000
"72","bonf","glm",0.1,0.125,"2","8",200,0.9,0.5277,0.0037,0,10000
"73","bonf","glm",0.1,0.15,"2","8",200,0,0.9995,0.0054,0,10000
"74","bonf","glm",0.1,0.15,"2","8",200,0.5,0.9331,0.0056,0,10000
"75","bonf","glm",0.1,0.15,"2","8",200,0.9,0.7566,0.0042,0,10000
"76","bonf","glm",0.1,0.175,"2","8",200,0,1,0.0052,0,10000
"77","bonf","glm",0.1,0.175,"2","8",200,0.5,0.9896,0.0046,0,10000
"78","bonf","glm",0.1,0.175,"2","8",200,0.9,0.9194,0.0034,0,10000
"79","bonf","glm",0.1,0.2,"2","8",200,0,1,0.006,0,10000
"80","bonf","glm",0.1,0.2,"2","8",200,0.5,0.9991,0.0055,0,10000
"81","bonf","glm",0.1,0.2,"2","8",200,0.9,0.9817,0.0038,0,10000
"82","bonf","glm",0.1,0.001,"8","2",200,0,0.005,0.0199,0,10000
"83","bonf","glm",0.1,0.001,"8","2",200,0.5,0.0062,0.0188,0,10000
"84","bonf","glm",0.1,0.001,"8","2",200,0.9,0.0039,0.0074,0,10000
"85","bonf","glm",0.1,0.025,"8","2",200,0,0.0148,0.022,0,10000
"86","bonf","glm",0.1,0.025,"8","2",200,0.5,0.0129,0.0172,0,10000
"87","bonf","glm",0.1,0.025,"8","2",200,0.9,0.0105,0.0083,0,10000
"88","bonf","glm",0.1,0.05,"8","2",200,0,0.052,0.0198,0,10000
"89","bonf","glm",0.1,0.05,"8","2",200,0.5,0.0436,0.016,0,10000
"90","bonf","glm",0.1,0.05,"8","2",200,0.9,0.0343,0.0085,0,10000
"91","bonf","glm",0.1,0.075,"8","2",200,0,0.1365,0.0222,0,10000
"92","bonf","glm",0.1,0.075,"8","2",200,0.5,0.1102,0.0153,0,10000
"93","bonf","glm",0.1,0.075,"8","2",200,0.9,0.0923,0.0085,0,10000
"94","bonf","glm",0.1,0.1,"8","2",200,0,0.3123,0.0199,0,10000
"95","bonf","glm",0.1,0.1,"8","2",200,0.5,0.2781,0.0187,0,10000
"96","bonf","glm",0.1,0.1,"8","2",200,0.9,0.2239,0.0083,0,10000
"97","bonf","glm",0.1,0.125,"8","2",200,0,0.5824,0.0196,0,10000
"98","bonf","glm",0.1,0.125,"8","2",200,0.5,0.5179,0.0173,0,10000
"99","bonf","glm",0.1,0.125,"8","2",200,0.9,0.4232,0.0079,0,10000
"100","bonf","glm",0.1,0.15,"8","2",200,0,0.8437,0.0178,0,10000
"101","bonf","glm",0.1,0.15,"8","2",200,0.5,0.7657,0.0147,0,10000
"102","bonf","glm",0.1,0.15,"8","2",200,0.9,0.662,0.0072,0,10000
"103","bonf","glm",0.1,0.175,"8","2",200,0,0.9693,0.0198,0,10000
"104","bonf","glm",0.1,0.175,"8","2",200,0.5,0.929,0.0162,0,10000
"105","bonf","glm",0.1,0.175,"8","2",200,0.9,0.8725,0.0079,0,10000
"106","bonf","glm",0.1,0.2,"8","2",200,0,0.9961,0.022,0,10000
"107","bonf","glm",0.1,0.2,"8","2",200,0.5,0.9866,0.0173,0,10000
"108","bonf","glm",0.1,0.2,"8","2",200,0.9,0.9636,0.0072,0,10000
"109","bonf","glm",0.1,0.001,"2","8",400,0,0.0305,0.0085,0,10000
"110","bonf","glm",0.1,0.001,"2","8",400,0.5,0.0232,0.0072,0,10000
"111","bonf","glm",0.1,0.001,"2","8",400,0.9,0.012,0.0048,0,10000
"112","bonf","glm",0.1,0.025,"2","8",400,0,0.1032,0.008,0,10000
"113","bonf","glm",0.1,0.025,"2","8",400,0.5,0.0681,0.0062,0,10000
"114","bonf","glm",0.1,0.025,"2","8",400,0.9,0.0337,0.0046,0,10000
"115","bonf","glm",0.1,0.05,"2","8",400,0,0.3779,0.008,0,10000
"116","bonf","glm",0.1,0.05,"2","8",400,0.5,0.239,0.0069,0,10000
"117","bonf","glm",0.1,0.05,"2","8",400,0.9,0.1178,0.0074,0,10000
"118","bonf","glm",0.1,0.075,"2","8",400,0,0.8172,0.0072,0,10000
"119","bonf","glm",0.1,0.075,"2","8",400,0.5,0.5607,0.0069,0,10000
"120","bonf","glm",0.1,0.075,"2","8",400,0.9,0.3279,0.0045,0,10000
"121","bonf","glm",0.1,0.1,"2","8",400,0,0.9923,0.0068,0,10000
"122","bonf","glm",0.1,0.1,"2","8",400,0.5,0.8652,0.0056,0,10000
