"","Method","Model","Intercept","J","N","Correlation","FWERW","CorMat_Error","No_simulations"
"102","bonf","glm",0.25,10,100,0.9,0.0084,0,10000
"103","bonf","glm",0.25,10,200,0,0.0384,0,10000
"104","bonf","glm",0.25,10,200,0.5,0.0304,0,10000
"105","bonf","glm",0.25,10,200,0.9,0.0136,0,10000
"106","bonf","glm",0.25,10,400,0,0.0412,0,10000
"107","bonf","glm",0.25,10,400,0.5,0.0377,0,10000
"108","bonf","glm",0.25,10,400,0.9,0.0144,0,10000
"109","bonf","glm",0.375,3,100,0,0.0396,0,10000
"110","bonf","glm",0.375,3,100,0.5,0.0396,0,10000
"111","bonf","glm",0.375,3,100,0.9,0.0242,0,10000
"112","bonf","glm",0.375,3,200,0,0.05,0,10000
"113","bonf","glm",0.375,3,200,0.5,0.0426,0,10000
"114","bonf","glm",0.375,3,200,0.9,0.0289,0,10000
"115","bonf","glm",0.375,3,400,0,0.0432,0,10000
"116","bonf","glm",0.375,3,400,0.5,0.04,0,10000
"117","bonf","glm",0.375,3,400,0.9,0.0275,0,10000
"118","bonf","glm",0.375,5,100,0,0.0395,0,10000
"119","bonf","glm",0.375,5,100,0.5,0.0342,0,10000
"120","bonf","glm",0.375,5,100,0.9,0.0208,0,10000
"121","bonf","glm",0.375,5,200,0,0.045,0,10000
"122","bonf","glm",0.375,5,200,0.5,0.0397,0,10000
"123","bonf","glm",0.375,5,200,0.9,0.0216,0,10000
"124","bonf","glm",0.375,5,400,0,0.0505,0,10000
"125","bonf","glm",0.375,5,400,0.5,0.0367,0,10000
"126","bonf","glm",0.375,5,400,0.9,0.022,0,10000
"127","bonf","glm",0.375,10,100,0,0.0345,0,10000
"128","bonf","glm",0.375,10,100,0.5,0.0293,0,10000
"129","bonf","glm",0.375,10,100,0.9,0.0139,0,10000
"130","bonf","glm",0.375,10,200,0,0.0427,0,10000
"131","bonf","glm",0.375,10,200,0.5,0.0342,0,10000
"132","bonf","glm",0.375,10,200,0.9,0.0153,0,10000
"133","bonf","glm",0.375,10,400,0,0.0466,0,10000
"134","bonf","glm",0.375,10,400,0.5,0.0377,0,10000
"135","bonf","glm",0.375,10,400,0.9,0.015,0,10000
"136","bonf","glm",0.5,3,100,0,0.0443,0,10000
"137","bonf","glm",0.5,3,100,0.5,0.0375,0,10000
"138","bonf","glm",0.5,3,100,0.9,0.027,0,10000
"139","bonf","glm",0.5,3,200,0,0.0471,0,10000
"140","bonf","glm",0.5,3,200,0.5,0.0425,0,10000
"141","bonf","glm",0.5,3,200,0.9,0.028,0,10000
"142","bonf","glm",0.5,3,400,0,0.0445,0,10000
"143","bonf","glm",0.5,3,400,0.5,0.0393,0,10000
"144","bonf","glm",0.5,3,400,0.9,0.029,0,10000
"145","bonf","glm",0.5,5,100,0,0.0406,0,10000
"146","bonf","glm",0.5,5,100,0.5,0.0374,0,10000
"147","bonf","glm",0.5,5,100,0.9,0.0198,0,10000
"148","bonf","glm",0.5,5,200,0,0.0462,0,10000
"149","bonf","glm",0.5,5,200,0.5,0.0395,0,10000
"150","bonf","glm",0.5,5,200,0.9,0.0211,0,10000
"151","bonf","glm",0.5,5,400,0,0.0487,0,10000
"152","bonf","glm",0.5,5,400,0.5,0.0405,0,10000
"153","bonf","glm",0.5,5,400,0.9,0.0235,0,10000
"154","bonf","glm",0.5,10,100,0,0.0391,0,10000
"155","bonf","glm",0.5,10,100,0.5,0.0313,0,10000
"156","bonf","glm",0.5,10,100,0.9,0.011,0,10000
"157","bonf","glm",0.5,10,200,0,0.0428,0,10000
"158","bonf","glm",0.5,10,200,0.5,0.0336,0,10000
"159","bonf","glm",0.5,10,200,0.9,0.0147,0,10000
"160","bonf","glm",0.5,10,400,0,0.0451,0,10000
"161","bonf","glm",0.5,10,400,0.5,0.0362,0,10000
"162","bonf","glm",0.5,10,400,0.9,0.0174,0,10000
"163","mmm","glm",0.01,3,100,0,0,0.1862,10000
"164","mmm","glm",0.01,3,100,0.5,1e-04,0.1384,10000
"165","mmm","glm",0.01,3,100,0.9,1e-04,0.0851,10000
"166","mmm","glm",0.01,3,200,0,0,0.1172,10000
"167","mmm","glm",0.01,3,200,0.5,2e-04,0.0986,10000
"168","mmm","glm",0.01,3,200,0.9,5e-04,0.0554,10000
"169","mmm","glm",0.01,3,400,0,0.0012,0.0211,10000
"170","mmm","glm",0.01,3,400,0.5,0.002,0.02,10000
"171","mmm","glm",0.01,3,400,0.9,0.0068,0.0105,10000
"172","mmm","glm",0.01,5,100,0,0,0.2895,10000
"173","mmm","glm",0.01,5,100,0.5,0,0.1821,10000
"174","mmm","glm",0.01,5,100,0.9,0,0.0892,10000
"175","mmm","glm",0.01,5,200,0,0,0.1764,10000
"176","mmm","glm",0.01,5,200,0.5,0,0.1371,10000
"177","mmm","glm",0.01,5,200,0.9,6e-04,0.0694,10000
"178","mmm","glm",0.01,5,400,0,8e-04,0.0385,10000
"179","mmm","glm",0.01,5,400,0.5,9e-04,0.0322,10000
"180","mmm","glm",0.01,5,400,0.9,0.0049,0.017,10000
"181","mmm","glm",0.01,10,100,0,0,0.4915,10000
"182","mmm","glm",0.01,10,100,0.5,0,0.2221,10000
"183","mmm","glm",0.01,10,100,0.9,0,0.107,10000
"184","mmm","glm",0.01,10,200,0,0,0.3293,10000
"185","mmm","glm",0.01,10,200,0.5,0,0.2072,10000
"186","mmm","glm",0.01,10,200,0.9,1e-04,0.0932,10000
"187","mmm","glm",0.01,10,400,0,1e-04,0.071,10000
"188","mmm","glm",0.01,10,400,0.5,6e-04,0.0633,10000
"189","mmm","glm",0.01,10,400,0.9,0.0017,0.0228,10000
"190","mmm","glm",0.0625,3,100,0,0.0079,0.0098,10000
"191","mmm","glm",0.0625,3,100,0.5,0.0093,0.0074,10000
"192","mmm","glm",0.0625,3,100,0.9,0.0143,0.006,10000
"193","mmm","glm",0.0625,3,200,0,0.0264,0,10000
"194","mmm","glm",0.0625,3,200,0.5,0.0278,1e-04,10000
"195","mmm","glm",0.0625,3,200,0.9,0.0319,0,10000
