"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","bglm",167,50,0.1,8,2,0.075,0.5,0,0,12,10,157,35,28,7
"bt","bglm",167,100,0.1,8,2,0.075,0.5,0,0,7,6,161,78,58,20
"bt","bglm",167,25,0.1,2,8,0.075,0.5,0,0,2,2,165,86,38,1
"bt","bglm",167,50,0.1,2,8,0.075,0.5,0,0,2,2,165,160,64,2
"bt","bglm",167,100,0.1,2,8,0.075,0.5,0,0,2,2,165,305,99,3
"bt","bglm",167,25,0.1,8,2,0.1,0.5,0,0,9,8,159,56,43,13
"bt","bglm",167,50,0.1,8,2,0.1,0.5,0,0,10,8,159,95,75,20
"bt","bglm",167,100,0.1,8,2,0.1,0.5,0,0,13,10,157,168,106,62
"bt","bglm",167,25,0.1,2,8,0.1,0.5,0,0,0,0,167,162,68,2
"bt","bglm",167,50,0.1,2,8,0.1,0.5,0,0,0,0,167,290,93,4
"bt","bglm",167,100,0.1,2,8,0.1,0.5,0,0,6,5,162,722,151,20
"bt","bglm",167,25,0.1,8,2,0.125,0.5,0,0,4,4,163,90,66,24
"bt","bglm",167,50,0.1,8,2,0.125,0.5,0,0,8,7,160,165,112,53
"bt","bglm",167,100,0.1,8,2,0.125,0.5,0,0,15,7,160,267,151,116
"bt","bglm",167,25,0.1,2,8,0.125,0.5,0,0,2,2,165,305,99,2
"bt","bglm",167,50,0.1,2,8,0.125,0.5,0,0,3,3,164,607,142,15
"bt","bglm",167,100,0.1,2,8,0.125,0.5,0,0,1,1,166,1097,165,76
"bt","bglm",167,25,0.1,8,2,0.15,0.5,0,0,5,3,164,125,84,41
"bt","bglm",167,50,0.1,8,2,0.15,0.5,0,0,5,5,162,235,144,91
"bt","bglm",167,100,0.1,8,2,0.15,0.5,0,0,4,4,163,317,164,153
"bt","bglm",167,25,0.1,2,8,0.15,0.5,0,0,3,2,165,460,129,3
"bt","bglm",167,50,0.1,2,8,0.15,0.5,0,0,0,0,167,883,161,35
"bt","bglm",167,100,0.1,2,8,0.15,0.5,0,0,3,2,165,1303,167,146
"bt","bglm",167,25,0.1,8,2,0.175,0.5,0,0,7,6,161,186,117,69
"bt","bglm",167,50,0.1,8,2,0.175,0.5,0,0,9,6,161,297,159,138
"bt","bglm",167,100,0.1,8,2,0.175,0.5,0,0,8,6,161,332,167,165
"bt","bglm",167,25,0.1,2,8,0.175,0.5,0,0,0,0,167,709,151,23
"bt","bglm",167,50,0.1,2,8,0.175,0.5,0,0,1,1,166,1180,166,97
"bt","bglm",167,100,0.1,2,8,0.175,0.5,0,0,4,4,163,1332,167,163
"bt","bglm",167,25,0.1,8,2,0.2,0.5,0,0,7,7,160,236,142,94
"bt","bglm",167,50,0.1,8,2,0.2,0.5,0,0,6,6,161,320,166,154
"bt","bglm",167,100,0.1,8,2,0.2,0.5,0,0,4,3,164,334,167,167
"bt","bglm",167,25,0.1,2,8,0.2,0.5,0,0,1,1,166,931,162,45
"bt","bglm",167,50,0.1,2,8,0.2,0.5,0,0,1,1,166,1287,167,138
"bt","bglm",167,100,0.1,2,8,0.2,0.5,0,0,4,3,164,1336,167,167
"bt","bglm",167,25,0.1,8,2,0.001,0.9,0,0,26,7,160,10,6,4
"bt","bglm",167,50,0.1,8,2,0.001,0.9,0,0,9,3,164,3,2,1
"bt","bglm",167,100,0.1,8,2,0.001,0.9,0,0,12,4,163,6,3,3
"bt","bglm",167,25,0.1,2,8,0.001,0.9,0,0,10,7,160,16,6,1
"bt","bglm",167,50,0.1,2,8,0.001,0.9,0,0,3,2,165,25,5,1
"bt","bglm",167,100,0.1,2,8,0.001,0.9,0,0,6,3,164,12,3,0
"bt","bglm",167,25,0.1,8,2,0.025,0.9,0,0,11,5,162,8,5,3
"bt","bglm",167,50,0.1,8,2,0.025,0.9,0,0,12,5,162,6,5,1
"bt","bglm",167,100,0.1,8,2,0.025,0.9,0,0,10,4,163,8,5,3
"bt","bglm",167,25,0.1,2,8,0.025,0.9,0,0,2,1,166,37,10,2
"bt","bglm",167,50,0.1,2,8,0.025,0.9,0,0,7,5,162,52,14,1
"bt","bglm",167,100,0.1,2,8,0.025,0.9,0,0,7,5,162,59,15,0
"bt","bglm",167,25,0.1,8,2,0.05,0.9,0,0,0,0,167,15,10,5
"bt","bglm",167,50,0.1,8,2,0.05,0.9,0,0,33,7,160,30,17,13
"bt","bglm",167,100,0.1,8,2,0.05,0.9,0,0,14,5,162,42,27,15
"bt","bglm",167,25,0.1,2,8,0.05,0.9,0,0,11,8,159,43,11,3
"bt","bglm",167,50,0.1,2,8,0.05,0.9,0,0,8,6,161,57,17,2
"bt","bglm",167,100,0.1,2,8,0.05,0.9,0,0,5,3,164,167,34,11
"bt","bglm",167,25,0.1,8,2,0.075,0.9,0,0,4,2,165,42,26,16
"bt","bglm",167,50,0.1,8,2,0.075,0.9,0,0,2,2,165,49,30,19
"bt","bglm",167,100,0.1,8,2,0.075,0.9,0,0,19,8,159,97,57,40
"bt","bglm",167,25,0.1,2,8,0.075,0.9,0,0,8,5,162,112,26,7
"bt","bglm",167,50,0.1,2,8,0.075,0.9,0,0,2,1,166,162,39,6
"bt","bglm",167,100,0.1,2,8,0.075,0.9,0,0,5,5,162,381,73,26
"bt","bglm",167,25,0.1,8,2,0.1,0.9,0,0,13,7,160,48,31,17
"bt","bglm",167,50,0.1,8,2,0.1,0.9,0,0,11,5,162,90,58,32
"bt","bglm",167,100,0.1,8,2,0.1,0.9,0,0,15,5,162,209,114,95
"bt","bglm",167,25,0.1,2,8,0.1,0.9,0,0,8,6,161,202,44,12
"bt","bglm",167,50,0.1,2,8,0.1,0.9,0,0,4,4,163,523,92,33
"bt","bglm",167,100,0.1,2,8,0.1,0.9,0,0,8,6,161,740,117,65
"bt","bglm",167,25,0.1,8,2,0.125,0.9,0,0,13,5,162,110,64,46
"bt","bglm",167,50,0.1,8,2,0.125,0.9,0,0,9,3,164,185,106,79
"bt","bglm",167,100,0.1,8,2,0.125,0.9,0,0,3,2,165,286,155,131
"bt","bglm",167,25,0.1,2,8,0.125,0.9,0,0,1,1,166,413,76,32
"bt","bglm",167,50,0.1,2,8,0.125,0.9,0,0,7,6,161,741,123,56
"bt","bglm",167,100,0.1,2,8,0.125,0.9,0,0,10,6,161,1170,160,132
"bt","bglm",167,25,0.1,8,2,0.15,0.9,0,0,14,5,162,161,91,70
"bt","bglm",167,50,0.1,8,2,0.15,0.9,0,0,20,5,162,251,136,115
"bt","bglm",167,100,0.1,8,2,0.15,0.9,0,0,24,6,161,321,162,159
"bt","bglm",167,25,0.1,2,8,0.15,0.9,0,0,1,1,166,582,98,48
"bt","bglm",167,50,0.1,2,8,0.15,0.9,0,0,1,1,166,996,141,108
"bt","bglm",167,100,0.1,2,8,0.15,0.9,0,0,3,3,164,1309,167,158
"bt","bglm",167,25,0.1,8,2,0.175,0.9,0,0,4,3,164,196,106,90
"bt","bglm",167,50,0.1,8,2,0.175,0.9,0,0,17,4,163,318,163,155
"bt","bglm",167,100,0.1,8,2,0.175,0.9,0,0,18,5,162,334,167,167
"bt","bglm",167,25,0.1,2,8,0.175,0.9,0,0,3,3,164,863,135,80
"bt","bglm",167,50,0.1,2,8,0.175,0.9,0,0,3,2,165,1211,160,138
"bt","bglm",167,100,0.1,2,8,0.175,0.9,0,0,4,3,164,1327,166,165
"bt","bglm",167,25,0.1,8,2,0.2,0.9,0,0,22,4,163,255,134,121
"bt","bglm",167,50,0.1,8,2,0.2,0.9,0,0,13,7,160,326,164,162
"bt","bglm",167,100,0.1,8,2,0.2,0.9,0,0,4,1,166,334,167,167
"bt","bglm",167,25,0.1,2,8,0.2,0.9,0,0,3,3,164,1060,151,115
"bt","bglm",167,50,0.1,2,8,0.2,0.9,0,0,3,3,164,1295,165,157
"bt","bglm",167,100,0.1,2,8,0.2,0.9,0,0,5,4,163,1336,167,167
"bt","bglm",167,25,0.1,8,2,0.001,0,0,0,4,4,163,2,2,0
"bt","bglm",167,50,0.1,8,2,0.001,0,0,0,6,5,162,2,2,0
"bt","bglm",167,100,0.1,8,2,0.001,0,0,0,6,6,161,3,3,0
"bt","bglm",167,25,0.1,2,8,0.001,0,0,0,3,3,164,6,5,0
"bt","bglm",167,50,0.1,2,8,0.001,0,0,0,1,1,166,7,7,0
"bt","bglm",167,100,0.1,2,8,0.001,0,0,0,0,0,167,2,2,0
"bt","bglm",167,25,0.1,8,2,0.025,0,0,0,9,9,158,4,4,0
