"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bt","bglm",209,0.01,3,25,0.9,0,0,5,12
"bt","bglm",209,0.0625,3,25,0.9,0,0,15,26
"bt","bglm",209,0.125,3,25,0.9,0,0,14,27
"bt","bglm",209,0.25,3,25,0.9,0,0,8,13
"bt","bglm",209,0.375,3,25,0.9,0,0,15,27
"bt","bglm",209,0.5,3,25,0.9,0,0,3,6
"bt","bglm",209,0.01,5,25,0.9,0,0,2,8
"bt","bglm",209,0.0625,5,25,0.9,0,0,16,40
"bt","bglm",209,0.125,5,25,0.9,0,0,15,38
"bt","bglm",209,0.25,5,25,0.9,0,0,11,20
"bt","bglm",209,0.375,5,25,0.9,0,0,11,25
"bt","bglm",209,0.5,5,25,0.9,0,0,7,15
"bt","bglm",209,0.01,10,25,0.9,0,0,6,51
"bt","bglm",209,0.0625,10,25,0.9,0,0,11,44
"bt","bglm",209,0.125,10,25,0.9,0,0,15,56
"bt","bglm",209,0.25,10,25,0.9,0,0,11,45
"bt","bglm",209,0.375,10,25,0.9,0,0,8,17
"bt","bglm",209,0.5,10,25,0.9,0,0,7,20
"bt","bglm",209,0.01,3,50,0.9,0,0,6,17
"bt","bglm",209,0.0625,3,50,0.9,0,0,15,26
"bt","bglm",209,0.125,3,50,0.9,0,0,14,22
"bt","bglm",209,0.25,3,50,0.9,0,0,10,19
"bt","bglm",209,0.375,3,50,0.9,0,0,4,4
"bt","bglm",209,0.5,3,50,0.9,0,0,11,15
"bt","bglm",209,0.01,5,50,0.9,0,0,4,16
"bt","bglm",209,0.0625,5,50,0.9,0,0,11,35
"bt","bglm",209,0.125,5,50,0.9,0,0,14,29
"bt","bglm",209,0.25,5,50,0.9,0,0,8,15
"bt","bglm",209,0.375,5,50,0.9,0,0,5,7
"bt","bglm",209,0.5,5,50,0.9,0,0,12,36
"bt","bglm",209,0.01,10,50,0.9,0,0,10,85
"bt","bglm",209,0.0625,10,50,0.9,0,0,13,28
"bt","bglm",209,0.125,10,50,0.9,0,0,5,6
"bt","bglm",209,0.25,10,50,0.9,0,0,12,15
"bt","bglm",209,0.375,10,50,0.9,0,0,13,33
"bt","bglm",209,0.5,10,50,0.9,0,0,7,24
"bt","bglm",209,0.01,3,100,0.9,0,0,13,31
"bt","bglm",209,0.0625,3,100,0.9,0,0,12,20
