"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bt","glm",185,0.375,3,25,0.9,0,0,12,20
"bt","glm",185,0.5,3,25,0.9,0,0,9,18
"bt","glm",185,0.01,5,25,0.9,0,0,1,4
"bt","glm",185,0.0625,5,25,0.9,0,0,18,40
"bt","glm",185,0.125,5,25,0.9,0,0,16,38
"bt","glm",185,0.25,5,25,0.9,0,0,7,21
"bt","glm",185,0.375,5,25,0.9,0,0,8,23
"bt","glm",185,0.5,5,25,0.9,0,0,11,33
"bt","glm",185,0.01,10,25,0.9,0,0,1,7
"bt","glm",185,0.0625,10,25,0.9,0,0,15,55
"bt","glm",185,0.125,10,25,0.9,0,0,5,14
"bt","glm",185,0.25,10,25,0.9,0,0,6,14
"bt","glm",185,0.375,10,25,0.9,0,0,6,22
"bt","glm",185,0.5,10,25,0.9,0,0,11,40
"bt","glm",185,0.01,3,50,0.9,0,0,6,10
"bt","glm",185,0.0625,3,50,0.9,0,0,12,26
"bt","glm",185,0.125,3,50,0.9,0,0,5,9
"bt","glm",185,0.25,3,50,0.9,0,0,11,22
"bt","glm",185,0.375,3,50,0.9,0,0,10,21
"bt","glm",185,0.5,3,50,0.9,0,0,8,15
"bt","glm",185,0.01,5,50,0.9,0,0,4,14
"bt","glm",185,0.0625,5,50,0.9,0,0,16,45
"bt","glm",185,0.125,5,50,0.9,0,0,10,17
"bt","glm",185,0.25,5,50,0.9,0,0,13,33
"bt","glm",185,0.375,5,50,0.9,0,0,9,22
"bt","glm",185,0.5,5,50,0.9,0,0,11,30
"bt","glm",185,0.01,10,50,0.9,0,0,4,25
"bt","glm",185,0.0625,10,50,0.9,0,0,9,14
"bt","glm",185,0.125,10,50,0.9,0,0,9,26
"bt","glm",185,0.25,10,50,0.9,0,0,12,36
"bt","glm",185,0.375,10,50,0.9,0,0,4,16
"bt","glm",185,0.5,10,50,0.9,0,0,10,36
"bt","glm",185,0.01,3,100,0.9,0,0,11,23
"bt","glm",185,0.0625,3,100,0.9,0,0,12,22
"bt","glm",185,0.125,3,100,0.9,0,0,8,20
"bt","glm",185,0.25,3,100,0.9,0,0,13,19
"bt","glm",185,0.375,3,100,0.9,0,0,8,14
"bt","glm",185,0.5,3,100,0.9,0,0,4,6
"bt","glm",185,0.01,5,100,0.9,0,0,12,39
"bt","glm",185,0.0625,5,100,0.9,0,0,9,21
"bt","glm",185,0.125,5,100,0.9,0,0,12,26
"bt","glm",185,0.25,5,100,0.9,0,0,9,16
"bt","glm",185,0.375,5,100,0.9,0,0,6,14
"bt","glm",185,0.5,5,100,0.9,0,0,10,22
"bt","glm",185,0.01,10,100,0.9,0,0,7,34
"bt","glm",185,0.0625,10,100,0.9,0,0,11,23
"bt","glm",185,0.125,10,100,0.9,0,0,10,43
"bt","glm",185,0.25,10,100,0.9,0,0,8,20
"bt","glm",185,0.375,10,100,0.9,0,0,7,33
"bt","glm",185,0.5,10,100,0.9,0,0,7,26
"bt","glm",185,0.01,3,25,0,0,0,1,1
"bt","glm",185,0.0625,3,25,0,0,0,11,11
"bt","glm",185,0.125,3,25,0,0,0,14,14
"bt","glm",185,0.25,3,25,0,0,0,9,10
"bt","glm",185,0.375,3,25,0,0,0,13,13
"bt","glm",185,0.5,3,25,0,0,0,9,9
"bt","glm",185,0.01,5,25,0,0,0,4,4
"bt","glm",185,0.0625,5,25,0,0,0,7,7
"bt","glm",185,0.125,5,25,0,0,0,12,12
"bt","glm",185,0.25,5,25,0,0,0,14,15
"bt","glm",185,0.375,5,25,0,0,0,12,12
"bt","glm",185,0.5,5,25,0,0,0,12,12
"bt","glm",185,0.01,10,25,0,0,0,1,1
"bt","glm",185,0.0625,10,25,0,0,0,8,8
"bt","glm",185,0.125,10,25,0,0,0,8,8
"bt","glm",185,0.25,10,25,0,0,0,6,6
"bt","glm",185,0.375,10,25,0,0,0,7,7
"bt","glm",185,0.5,10,25,0,0,0,10,10
"bt","glm",185,0.01,3,50,0,0,0,3,3
"bt","glm",185,0.0625,3,50,0,0,0,13,13
"bt","glm",185,0.125,3,50,0,0,0,10,10
"bt","glm",185,0.25,3,50,0,0,0,6,6
"bt","glm",185,0.375,3,50,0,0,0,10,11
"bt","glm",185,0.5,3,50,0,0,0,9,9
"bt","glm",185,0.01,5,50,0,0,0,7,7
"bt","glm",185,0.0625,5,50,0,0,0,6,6
"bt","glm",185,0.125,5,50,0,0,0,12,12
"bt","glm",185,0.25,5,50,0,0,0,12,12
"bt","glm",185,0.375,5,50,0,0,0,7,7
"bt","glm",185,0.5,5,50,0,0,0,8,8
"bt","glm",185,0.01,10,50,0,0,0,3,3
"bt","glm",185,0.0625,10,50,0,0,0,9,9
"bt","glm",185,0.125,10,50,0,0,0,8,8
"bt","glm",185,0.25,10,50,0,0,0,10,10
"bt","glm",185,0.375,10,50,0,0,0,10,11
"bt","glm",185,0.5,10,50,0,0,0,8,8
"bt","glm",185,0.01,3,100,0,0,0,8,8
"bt","glm",185,0.0625,3,100,0,0,0,9,9
"bt","glm",185,0.125,3,100,0,0,0,9,9
"bt","glm",185,0.25,3,100,0,0,0,15,15
"bt","glm",185,0.375,3,100,0,0,0,13,13
"bt","glm",185,0.5,3,100,0,0,0,10,10
