"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","glm",167,25,0.1,2,8,0.075,0.5,0,0,2,2,165,68,40,0
"bt","glm",167,50,0.1,2,8,0.075,0.5,0,0,1,1,166,141,66,2
"bt","glm",167,100,0.1,2,8,0.075,0.5,0,0,0,0,167,346,111,5
"bt","glm",167,25,0.1,8,2,0.1,0.5,0,0,14,9,158,39,36,3
"bt","glm",167,50,0.1,8,2,0.1,0.5,0,0,7,6,161,97,76,21
"bt","glm",167,100,0.1,8,2,0.1,0.5,0,0,11,9,158,182,119,63
"bt","glm",167,25,0.1,2,8,0.1,0.5,0,0,6,5,162,163,73,0
"bt","glm",167,50,0.1,2,8,0.1,0.5,0,0,1,1,166,338,111,3
"bt","glm",167,100,0.1,2,8,0.1,0.5,0,0,3,3,164,675,152,19
"bt","glm",167,25,0.1,8,2,0.125,0.5,0,0,6,4,163,90,70,20
"bt","glm",167,50,0.1,8,2,0.125,0.5,0,0,2,2,165,159,105,54
"bt","glm",167,100,0.1,8,2,0.125,0.5,0,0,8,7,160,271,153,118
"bt","glm",167,25,0.1,2,8,0.125,0.5,0,0,3,3,164,364,106,3
"bt","glm",167,50,0.1,2,8,0.125,0.5,0,0,0,0,167,560,134,9
"bt","glm",167,100,0.1,2,8,0.125,0.5,0,0,5,5,162,1067,166,70
"bt","glm",167,25,0.1,8,2,0.15,0.5,0,0,10,6,161,137,93,44
"bt","glm",167,50,0.1,8,2,0.15,0.5,0,0,9,8,159,245,144,101
"bt","glm",167,100,0.1,8,2,0.15,0.5,0,0,9,6,161,318,164,154
"bt","glm",167,25,0.1,2,8,0.15,0.5,0,0,2,2,165,480,130,5
"bt","glm",167,50,0.1,2,8,0.15,0.5,0,0,2,2,165,953,166,46
"bt","glm",167,100,0.1,2,8,0.15,0.5,0,0,2,2,165,1292,167,141
"bt","glm",167,25,0.1,8,2,0.175,0.5,0,0,9,6,161,191,123,68
"bt","glm",167,50,0.1,8,2,0.175,0.5,0,0,3,3,164,300,162,138
"bt","glm",167,100,0.1,8,2,0.175,0.5,0,0,14,10,157,328,166,162
"bt","glm",167,25,0.1,2,8,0.175,0.5,0,0,1,1,166,749,159,26
"bt","glm",167,50,0.1,2,8,0.175,0.5,0,0,1,1,166,1195,167,93
"bt","glm",167,100,0.1,2,8,0.175,0.5,0,0,2,2,165,1336,167,167
"bt","glm",167,25,0.1,8,2,0.2,0.5,0,0,4,3,164,249,146,103
"bt","glm",167,50,0.1,8,2,0.2,0.5,0,0,13,10,157,328,166,162
"bt","glm",167,100,0.1,8,2,0.2,0.5,0,0,6,4,163,334,167,167
"bt","glm",167,25,0.1,2,8,0.2,0.5,0,0,2,1,166,944,161,47
"bt","glm",167,50,0.1,2,8,0.2,0.5,0,0,7,6,161,1308,167,150
"bt","glm",167,100,0.1,2,8,0.2,0.5,0,0,2,2,165,1336,167,167
"bt","glm",167,25,0.1,8,2,0.001,0.9,0,0,24,7,160,6,5,1
"bt","glm",167,50,0.1,8,2,0.001,0.9,0,0,27,7,160,5,4,1
"bt","glm",167,100,0.1,8,2,0.001,0.9,0,0,18,4,163,2,2,0
"bt","glm",167,25,0.1,2,8,0.001,0.9,0,0,3,2,165,22,8,0
"bt","glm",167,50,0.1,2,8,0.001,0.9,0,0,2,1,166,12,4,0
"bt","glm",167,100,0.1,2,8,0.001,0.9,0,0,0,0,167,24,9,0
"bt","glm",167,25,0.1,8,2,0.025,0.9,0,0,25,7,160,8,6,2
"bt","glm",167,50,0.1,8,2,0.025,0.9,0,0,20,7,160,7,4,3
"bt","glm",167,100,0.1,8,2,0.025,0.9,0,0,27,6,161,11,9,2
"bt","glm",167,25,0.1,2,8,0.025,0.9,0,0,4,3,164,33,9,0
"bt","glm",167,50,0.1,2,8,0.025,0.9,0,0,1,1,166,32,7,2
"bt","glm",167,100,0.1,2,8,0.025,0.9,0,0,0,0,167,30,9,1
"bt","glm",167,25,0.1,8,2,0.05,0.9,0,0,6,2,165,19,13,6
"bt","glm",167,50,0.1,8,2,0.05,0.9,0,0,6,5,162,14,9,5
"bt","glm",167,100,0.1,8,2,0.05,0.9,0,0,8,4,163,31,19,12
"bt","glm",167,25,0.1,2,8,0.05,0.9,0,0,2,2,165,54,16,2
"bt","glm",167,50,0.1,2,8,0.05,0.9,0,0,4,2,165,127,29,4
"bt","glm",167,100,0.1,2,8,0.05,0.9,0,0,5,4,163,230,44,17
"bt","glm",167,25,0.1,8,2,0.075,0.9,0,0,28,7,160,38,25,13
"bt","glm",167,50,0.1,8,2,0.075,0.9,0,0,4,3,164,52,34,18
"bt","glm",167,100,0.1,8,2,0.075,0.9,0,0,6,4,163,96,61,35
"bt","glm",167,25,0.1,2,8,0.075,0.9,0,0,2,1,166,124,31,9
"bt","glm",167,50,0.1,2,8,0.075,0.9,0,0,3,3,164,223,51,10
"bt","glm",167,100,0.1,2,8,0.075,0.9,0,0,3,2,165,466,81,29
"bt","glm",167,25,0.1,8,2,0.1,0.9,0,0,28,8,159,77,49,28
"bt","glm",167,50,0.1,8,2,0.1,0.9,0,0,10,6,161,114,70,44
"bt","glm",167,100,0.1,8,2,0.1,0.9,0,0,26,9,158,197,107,90
"bt","glm",167,25,0.1,2,8,0.1,0.9,0,0,3,2,165,284,53,20
"bt","glm",167,50,0.1,2,8,0.1,0.9,0,0,7,4,163,368,71,25
"bt","glm",167,100,0.1,2,8,0.1,0.9,0,0,4,3,164,824,135,71
"bt","glm",167,25,0.1,8,2,0.125,0.9,0,0,2,2,165,117,67,50
"bt","glm",167,50,0.1,8,2,0.125,0.9,0,0,24,5,162,180,103,77
"bt","glm",167,100,0.1,8,2,0.125,0.9,0,0,15,5,162,289,150,139
"bt","glm",167,25,0.1,2,8,0.125,0.9,0,0,4,4,163,510,93,37
"bt","glm",167,50,0.1,2,8,0.125,0.9,0,0,1,1,166,746,119,61
"bt","glm",167,100,0.1,2,8,0.125,0.9,0,0,3,2,165,1148,156,124
"bt","glm",167,25,0.1,8,2,0.15,0.9,0,0,18,8,159,156,88,68
"bt","glm",167,50,0.1,8,2,0.15,0.9,0,0,19,5,162,266,141,125
"bt","glm",167,100,0.1,8,2,0.15,0.9,0,0,10,7,160,325,163,162
"bt","glm",167,25,0.1,2,8,0.15,0.9,0,0,3,3,164,648,118,47
"bt","glm",167,50,0.1,2,8,0.15,0.9,0,0,3,2,165,982,139,98
"bt","glm",167,100,0.1,2,8,0.15,0.9,0,0,5,3,164,1295,166,154
"bt","glm",167,25,0.1,8,2,0.175,0.9,0,0,7,3,164,232,124,108
"bt","glm",167,50,0.1,8,2,0.175,0.9,0,0,18,7,160,315,162,153
"bt","glm",167,100,0.1,8,2,0.175,0.9,0,0,17,5,162,334,167,167
"bt","glm",167,25,0.1,2,8,0.175,0.9,0,0,4,2,165,876,132,81
"bt","glm",167,50,0.1,2,8,0.175,0.9,0,0,7,5,162,1198,161,132
"bt","glm",167,100,0.1,2,8,0.175,0.9,0,0,6,5,162,1334,167,166
"bt","glm",167,25,0.1,8,2,0.2,0.9,0,0,18,5,162,262,138,124
"bt","glm",167,50,0.1,8,2,0.2,0.9,0,0,19,7,160,328,167,161
"bt","glm",167,100,0.1,8,2,0.2,0.9,0,0,19,8,159,334,167,167
"bt","glm",167,25,0.1,2,8,0.2,0.9,0,0,5,3,164,1053,150,105
"bt","glm",167,50,0.1,2,8,0.2,0.9,0,0,1,1,166,1316,167,159
"bt","glm",167,100,0.1,2,8,0.2,0.9,0,0,4,2,165,1336,167,167
"bt","glm",167,25,0.1,8,2,0.001,0,0,0,8,8,159,1,1,0
"bt","glm",167,50,0.1,8,2,0.001,0,0,0,8,8,159,1,1,0
"bt","glm",167,100,0.1,8,2,0.001,0,0,0,8,8,159,2,2,0
"bt","glm",167,25,0.1,2,8,0.001,0,0,0,3,3,164,7,7,0
"bt","glm",167,50,0.1,2,8,0.001,0,0,0,1,1,166,8,8,0
"bt","glm",167,100,0.1,2,8,0.001,0,0,0,1,1,166,8,7,0
"bt","glm",167,25,0.1,8,2,0.025,0,0,0,6,6,161,2,2,0
