"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",10000,100,0.1,2,8,0.001,0.5,0,0,74,72,9928,288,232,0
"bonf","glm",10000,25,0.1,8,2,0.025,0.5,0,0,85,76,9924,51,50,1
"bonf","glm",10000,50,0.1,8,2,0.025,0.5,0,0,210,172,9828,138,129,9
"bonf","glm",10000,100,0.1,8,2,0.025,0.5,0,0,256,202,9798,259,233,26
"bonf","glm",10000,25,0.1,2,8,0.025,0.5,0,0,21,20,9980,257,200,0
"bonf","glm",10000,50,0.1,2,8,0.025,0.5,0,0,44,41,9959,568,421,0
"bonf","glm",10000,100,0.1,2,8,0.025,0.5,0,0,63,62,9938,970,681,0
"bonf","glm",10000,25,0.1,8,2,0.05,0.5,0,0,77,64,9936,166,159,7
"bonf","glm",10000,50,0.1,8,2,0.05,0.5,0,0,193,160,9840,480,436,44
"bonf","glm",10000,100,0.1,8,2,0.05,0.5,0,0,273,222,9778,1181,1041,140
"bonf","glm",10000,25,0.1,2,8,0.05,0.5,0,0,15,15,9985,717,494,0
"bonf","glm",10000,50,0.1,2,8,0.05,0.5,0,0,41,40,9960,1913,1232,1
"bonf","glm",10000,100,0.1,2,8,0.05,0.5,0,0,74,69,9931,4539,2390,10
"bonf","glm",10000,25,0.1,8,2,0.075,0.5,0,0,83,70,9930,471,429,42
"bonf","glm",10000,50,0.1,8,2,0.075,0.5,0,0,185,153,9847,1291,1102,189
"bonf","glm",10000,100,0.1,8,2,0.075,0.5,0,0,270,228,9772,3796,2932,864
"bonf","glm",10000,25,0.1,2,8,0.075,0.5,0,0,21,20,9980,1826,1131,2
"bonf","glm",10000,50,0.1,2,8,0.075,0.5,0,0,48,47,9953,5659,2857,10
"bonf","glm",10000,100,0.1,2,8,0.075,0.5,0,0,73,69,9931,15456,5607,97
"bonf","glm",10000,25,0.1,8,2,0.1,0.5,0,0,87,75,9925,1137,982,155
"bonf","glm",10000,50,0.1,8,2,0.1,0.5,0,0,220,187,9813,3479,2781,698
"bonf","glm",10000,100,0.1,8,2,0.1,0.5,0,0,255,223,9777,9242,6244,2998
"bonf","glm",10000,25,0.1,2,8,0.1,0.5,0,0,23,23,9977,4322,2297,3
"bonf","glm",10000,50,0.1,2,8,0.1,0.5,0,0,53,52,9948,13570,5207,65
"bonf","glm",10000,100,0.1,2,8,0.1,0.5,0,0,57,56,9944,37130,8652,875
"bonf","glm",10000,25,0.1,8,2,0.125,0.5,0,0,87,70,9930,2387,1991,396
"bonf","glm",10000,50,0.1,8,2,0.125,0.5,0,0,218,173,9827,7273,5179,2094
"bonf","glm",10000,100,0.1,8,2,0.125,0.5,0,0,315,253,9747,15172,8844,6328
"bonf","glm",10000,25,0.1,2,8,0.125,0.5,0,0,25,25,9975,9858,4158,40
"bonf","glm",10000,50,0.1,2,8,0.125,0.5,0,0,46,42,9958,28700,7782,436
"bonf","glm",10000,100,0.1,2,8,0.125,0.5,0,0,68,68,9932,61012,9834,3606
"bonf","glm",10000,25,0.1,8,2,0.15,0.5,0,0,64,58,9942,4587,3552,1035
"bonf","glm",10000,50,0.1,8,2,0.15,0.5,0,0,173,147,9853,12105,7657,4448
"bonf","glm",10000,100,0.1,8,2,0.15,0.5,0,0,281,215,9785,18872,9867,9005
"bonf","glm",10000,25,0.1,2,8,0.15,0.5,0,0,19,19,9981,18554,6162,147
"bonf","glm",10000,50,0.1,2,8,0.15,0.5,0,0,57,56,9944,48234,9331,1783
"bonf","glm",10000,100,0.1,2,8,0.15,0.5,0,0,57,55,9945,75458,9991,7589
"bonf","glm",10000,25,0.1,8,2,0.175,0.5,0,0,79,66,9934,7828,5506,2322
"bonf","glm",10000,50,0.1,8,2,0.175,0.5,0,0,199,162,9838,16460,9290,7170
