"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bonf","glm",10000,0.125,10,100,0.5,0,0,301,387
"bonf","glm",10000,0.25,10,100,0.5,0,0,377,474
"bonf","glm",10000,0.375,10,100,0.5,0,0,377,502
"bonf","glm",10000,0.5,10,100,0.5,0,0,362,454
"bonf","glm",10000,0.01,3,25,0.9,0,0,0,0
"bonf","glm",10000,0.0625,3,25,0.9,0,0,65,117
"bonf","glm",10000,0.125,3,25,0.9,0,0,154,264
"bonf","glm",10000,0.25,3,25,0.9,0,0,249,415
"bonf","glm",10000,0.375,3,25,0.9,0,0,242,415
"bonf","glm",10000,0.5,3,25,0.9,0,0,270,474
"bonf","glm",10000,0.01,5,25,0.9,0,0,0,0
"bonf","glm",10000,0.0625,5,25,0.9,0,0,26,75
"bonf","glm",10000,0.125,5,25,0.9,0,0,96,218
"bonf","glm",10000,0.25,5,25,0.9,0,0,155,322
"bonf","glm",10000,0.375,5,25,0.9,0,0,208,472
"bonf","glm",10000,0.5,5,25,0.9,0,0,198,440
"bonf","glm",10000,0.01,10,25,0.9,0,0,0,0
"bonf","glm",10000,0.0625,10,25,0.9,0,0,8,38
"bonf","glm",10000,0.125,10,25,0.9,0,0,44,130
"bonf","glm",10000,0.25,10,25,0.9,0,0,84,241
"bonf","glm",10000,0.375,10,25,0.9,0,0,139,336
"bonf","glm",10000,0.5,10,25,0.9,0,0,110,324
"bonf","glm",10000,0.01,3,50,0.9,0,0,2,3
"bonf","glm",10000,0.0625,3,50,0.9,0,0,156,264
"bonf","glm",10000,0.125,3,50,0.9,0,0,244,419
"bonf","glm",10000,0.25,3,50,0.9,0,0,273,456
"bonf","glm",10000,0.375,3,50,0.9,0,0,289,501
"bonf","glm",10000,0.5,3,50,0.9,0,0,280,466
"bonf","glm",10000,0.01,5,50,0.9,0,0,0,0
"bonf","glm",10000,0.0625,5,50,0.9,0,0,100,221
"bonf","glm",10000,0.125,5,50,0.9,0,0,156,333
"bonf","glm",10000,0.25,5,50,0.9,0,0,203,441
"bonf","glm",10000,0.375,5,50,0.9,0,0,216,469
"bonf","glm",10000,0.5,5,50,0.9,0,0,211,443
"bonf","glm",10000,0.01,10,50,0.9,0,0,0,0
"bonf","glm",10000,0.0625,10,50,0.9,0,0,37,119
"bonf","glm",10000,0.125,10,50,0.9,0,0,99,293
"bonf","glm",10000,0.25,10,50,0.9,0,0,136,439
"bonf","glm",10000,0.375,10,50,0.9,0,0,153,493
"bonf","glm",10000,0.5,10,50,0.9,0,0,147,482
"bonf","glm",10000,0.01,3,100,0.9,0,0,6,9
"bonf","glm",10000,0.0625,3,100,0.9,0,0,209,344
"bonf","glm",10000,0.125,3,100,0.9,0,0,272,459
"bonf","glm",10000,0.25,3,100,0.9,0,0,259,452
"bonf","glm",10000,0.375,3,100,0.9,0,0,275,458
"bonf","glm",10000,0.5,3,100,0.9,0,0,290,485
"bonf","glm",10000,0.01,5,100,0.9,0,0,2,7
"bonf","glm",10000,0.0625,5,100,0.9,0,0,166,321
"bonf","glm",10000,0.125,5,100,0.9,0,0,193,381
"bonf","glm",10000,0.25,5,100,0.9,0,0,209,409
"bonf","glm",10000,0.375,5,100,0.9,0,0,220,484
"bonf","glm",10000,0.5,5,100,0.9,0,0,235,548
"bonf","glm",10000,0.01,10,100,0.9,0,0,0,0
"bonf","glm",10000,0.0625,10,100,0.9,0,0,117,323
"bonf","glm",10000,0.125,10,100,0.9,0,0,117,347
"bonf","glm",10000,0.25,10,100,0.9,0,0,144,462
"bonf","glm",10000,0.375,10,100,0.9,0,0,150,471
"bonf","glm",10000,0.5,10,100,0.9,0,0,174,548
