"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,30,30,1637,0,0,0,NA
"2","mmm","bglm",1667,50,0,0,1667,39,37,1630,0,0,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,47,25,1642,0,0,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,94,37,1630,0,0,0,NA
"5","mmm","bglm",1667,25,0,0,1667,23,22,1645,0,0,0,NA
"6","mmm","bglm",1667,50,0,0,1667,43,43,1624,0,0,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,66,28,1639,0,0,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,90,34,1633,0,0,0,NA
"9","mmm","bglm",1667,25,0,0,1667,19,19,1648,0,0,0,NA
"10","mmm","bglm",1667,50,0,0,1667,48,45,1622,0,0,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,58,22,1645,0,0,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,109,35,1632,0,0,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,29,27,1640,0,0,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,49,35,1632,0,0,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,25,24,1643,0,0,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,64,51,1616,0,0,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,26,23,1644,0,0,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,71,55,1612,0,0,0,NA
"19","mmm","bglm",1667,25,0,0,1667,16,16,1651,0,0,0,NA
"20","mmm","bglm",1667,50,0,0,1667,42,39,1628,0,0,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,105,32,1635,0,0,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,156,55,1612,0,0,0,NA
"23","mmm","bglm",1667,25,0,0,1667,29,28,1639,0,0,0,NA
"24","mmm","bglm",1667,50,0,0,1667,43,42,1625,0,0,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,80,26,1641,0,0,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,133,36,1631,0,0,0,NA
"27","mmm","bglm",1667,25,0,0,1667,22,22,1645,0,0,0,NA
"28","mmm","bglm",1667,50,0,0,1667,49,47,1620,0,0,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,67,25,1642,0,0,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,119,46,1621,0,0,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,30,28,1639,0,0,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,40,35,1632,0,0,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,28,20,1647,0,0,0,NA
"34","mmm","bglm",1667,50,0.5,0,1667,45,33,1634,0,0,0,NA
"35","mmm","bglm",1667,25,0.5,0,1667,27,21,1646,0,0,0,NA
"36","mmm","bglm",1667,50,0.5,0,1667,47,43,1624,0,0,0,NA
"37","bonf","glm",1667,25,0,0,1667,31,28,1639,0,0,0,1
"38","bt","glm",1667,25,0,0,1667,77,69,1598,0,0,0,2
"39","bonf","bglm",1667,25,0,0,1667,24,24,1643,0,0,0,3
"40","bt","bglm",1667,25,0,0,1667,64,63,1604,0,0,0,4
"41","bonf","glm",1667,50,0,0,1667,60,54,1613,0,0,0,5
"42","bt","glm",1667,50,0,0,1667,97,90,1577,0,0,0,6
"43","bonf","bglm",1667,50,0,0,1667,34,33,1634,0,0,0,7
"44","bt","bglm",1667,50,0,0,1667,61,55,1612,0,0,0,8
"45","bonf","glm",1667,25,0.9,0,1667,30,9,1658,0,0,0,9
"46","bt","glm",1667,25,0.9,0,1667,172,69,1598,0,0,0,10
"47","bonf","bglm",1667,25,0.9,0,1667,36,13,1654,0,0,0,11
"48","bt","bglm",1667,25,0.9,0,1667,222,71,1596,0,0,0,12
"49","bonf","glm",1667,50,0.9,0,1667,54,25,1642,0,0,0,13
"50","bt","glm",1667,50,0.9,0,1667,242,82,1585,0,0,0,14
"51","bonf","bglm",1667,50,0.9,0,1667,31,20,1647,0,0,0,15
"52","bt","bglm",1667,50,0.9,0,1667,229,82,1585,0,0,0,16
"53","bonf","glm",1667,25,0,0,1667,24,23,1644,0,0,0,17
"54","bt","glm",1667,25,0,0,1667,100,93,1574,0,0,0,18
"55","bonf","bglm",1667,25,0,0,1667,28,28,1639,0,0,0,19
"56","bt","bglm",1667,25,0,0,1667,75,70,1597,0,0,0,20
"57","bonf","glm",1667,50,0,0,1667,47,44,1623,0,0,0,21
"58","bt","glm",1667,50,0,0,1667,99,93,1574,0,0,0,22
"59","bonf","bglm",1667,50,0,0,1667,40,38,1629,0,0,0,23
"60","bt","bglm",1667,50,0,0,1667,60,59,1608,0,0,0,24
"61","bonf","glm",1667,25,0.9,0,1667,22,11,1656,0,0,0,25
"62","bt","glm",1667,25,0.9,0,1667,272,87,1580,0,0,0,26
"63","bonf","bglm",1667,25,0.9,0,1667,16,9,1658,0,0,0,27
"64","bt","bglm",1667,25,0.9,0,1667,150,56,1611,0,0,0,28
"65","bonf","glm",1667,50,0.9,0,1667,84,31,1636,0,0,0,29
"66","bt","glm",1667,50,0.9,0,1667,241,82,1585,0,0,0,30
"67","bonf","bglm",1667,50,0.9,0,1667,44,18,1649,0,0,0,31
"68","bt","bglm",1667,50,0.9,0,1667,206,69,1598,0,0,0,32
"69","bonf","glm",1667,25,0,0,1667,23,22,1645,0,0,0,33
"70","bt","glm",1667,25,0,0,1667,70,65,1602,0,0,0,34
"71","bonf","bglm",1667,25,0,0,1667,22,22,1645,0,0,0,35
"72","bt","bglm",1667,25,0,0,1667,63,58,1609,0,0,0,36
"73","bonf","glm",1667,50,0,0,1667,66,61,1606,0,0,0,37
"74","bt","glm",1667,50,0,0,1667,93,84,1583,0,0,0,38
"75","bonf","bglm",1667,50,0,0,1667,29,28,1639,0,0,0,39
"76","bt","bglm",1667,50,0,0,1667,73,69,1598,0,0,0,40
"77","bonf","glm",1667,25,0.9,0,1667,37,14,1653,0,0,0,41
"78","bt","glm",1667,25,0.9,0,1667,241,74,1593,0,0,0,42
"79","bonf","bglm",1667,25,0.9,0,1667,31,10,1657,0,0,0,43
"80","bt","bglm",1667,25,0.9,0,1667,204,59,1608,0,0,0,44
"81","bonf","glm",1667,50,0.9,0,1667,42,22,1645,0,0,0,45
"82","bt","glm",1667,50,0.9,0,1667,254,68,1599,0,0,0,46
"83","bonf","bglm",1667,50,0.9,0,1667,43,12,1655,0,0,0,47
"84","bt","bglm",1667,50,0.9,0,1667,173,61,1606,0,0,0,48
"85","bonf","glm",1667,25,0.5,0,1667,34,28,1639,0,0,0,49
