"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,9,8,1659,15,15,0,NA
"2","mmm","bglm",1667,50,0,0,1667,8,8,1659,185,174,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,21,16,1651,92,28,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,21,18,1649,428,129,0,NA
"5","mmm","bglm",1667,25,0,0,1667,4,4,1663,20,20,0,NA
"6","mmm","bglm",1667,50,0,0,1667,15,15,1652,203,193,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,15,10,1657,77,26,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,26,19,1648,420,109,0,NA
"9","mmm","bglm",1667,25,0,0,1667,3,3,1664,14,14,0,NA
"10","mmm","bglm",1667,50,0,0,1667,11,11,1656,196,188,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,16,14,1653,110,30,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,24,16,1651,501,149,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,5,5,1662,22,17,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,16,16,1651,272,167,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,9,9,1658,21,17,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,10,10,1657,201,126,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,8,7,1660,24,21,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,15,14,1653,201,128,0,NA
"19","mmm","bglm",1667,25,0,0,1667,6,6,1661,14,14,0,NA
"20","mmm","bglm",1667,50,0,0,1667,9,9,1658,171,163,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,11,10,1657,82,25,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,32,19,1648,387,111,0,NA
"23","mmm","bglm",1667,25,0,0,1667,4,4,1663,12,12,0,NA
"24","mmm","bglm",1667,50,0,0,1667,12,12,1655,180,172,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,19,13,1654,92,30,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,30,22,1645,471,130,0,NA
"27","mmm","bglm",1667,25,0,0,1667,4,4,1663,15,15,0,NA
"28","mmm","bglm",1667,50,0,0,1667,9,8,1659,154,148,0,NA
