"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"1","bonf","glm",1667,25,0,0,0,0,0,1667,16,16,0
"2","mmm","glm",1667,25,0,0,1514,0,0,153,0,0,0
"3","bt","glm",1667,25,0,0,0,0,0,1667,177,159,16
"4","bonf","bglm",1667,25,0,0,0,0,0,1667,13,13,0
"5","mmm","bglm",1667,25,0,0,0,0,0,1667,18,17,1
"6","bt","bglm",1667,25,0,0,0,0,0,1667,118,106,12
"7","bonf","glm",1667,50,0,0,0,0,0,1667,65,61,4
"8","mmm","glm",1667,50,0,0,1488,0,0,179,7,6,1
"9","bt","glm",1667,50,0,0,0,0,0,1667,240,215,23
"10","bonf","bglm",1667,50,0,0,0,0,0,1667,44,43,1
"11","mmm","bglm",1667,50,0,0,0,0,0,1667,47,47,0
"12","bt","bglm",1667,50,0,0,0,0,0,1667,194,182,12
"13","bonf","glm",1667,25,0.5,0,0,0,0,1667,17,16,1
"14","mmm","glm",1667,25,0.5,0,1204,0,0,463,12,10,2
"15","bt","glm",1667,25,0.5,0,0,0,0,1667,187,150,25
"16","bonf","bglm",1667,25,0.5,0,0,0,0,1667,15,15,0
"17","mmm","bglm",1667,25,0.5,0,0,0,0,1667,40,36,4
"18","bt","bglm",1667,25,0.5,0,0,0,0,1667,105,90,13
"19","bonf","glm",1667,50,0.5,0,0,0,0,1667,56,49,7
"20","mmm","glm",1667,50,0.5,0,1184,0,0,483,16,15,1
"21","bt","glm",1667,50,0.5,0,0,0,0,1667,239,196,28
"22","bonf","bglm",1667,50,0.5,0,0,0,0,1667,35,32,3
"23","mmm","bglm",1667,50,0.5,0,0,0,0,1667,74,64,10
"24","bt","bglm",1667,50,0.5,0,0,0,0,1667,223,183,24
"25","bonf","glm",1667,25,0.9,0,0,0,0,1667,18,12,6
"26","mmm","glm",1667,25,0.9,0,673,0,0,994,54,36,16
"27","bt","glm",1667,25,0.9,0,0,0,0,1667,194,127,46
"28","bonf","bglm",1667,25,0.9,0,0,0,0,1667,14,10,4
"29","mmm","bglm",1667,25,0.9,0,0,0,0,1667,58,41,15
"30","bt","bglm",1667,25,0.9,0,0,0,0,1667,196,121,54
"31","bonf","glm",1667,50,0.9,0,0,0,0,1667,44,34,10
"32","mmm","glm",1667,50,0.9,0,736,0,0,931,100,62,34
"33","bt","glm",1667,50,0.9,0,0,0,0,1667,320,201,75
"34","bonf","bglm",1667,50,0.9,0,0,0,0,1667,30,22,6
"35","mmm","bglm",1667,50,0.9,0,0,0,0,1667,138,96,38
"36","bt","bglm",1667,50,0.9,0,0,0,0,1667,289,179,82
"37","bonf","glm",1667,25,0,0,0,0,0,1667,21,21,0
"38","mmm","glm",1667,25,0,0,1534,0,0,133,1,1,0
"39","bt","glm",1667,25,0,0,0,0,0,1667,156,138,11
"40","bonf","bglm",1667,25,0,0,0,0,0,1667,16,16,0
"41","mmm","bglm",1667,25,0,0,0,0,0,1667,23,21,2
"42","bt","bglm",1667,25,0,0,0,0,0,1667,106,100,6
"43","bonf","glm",1667,50,0,0,0,0,0,1667,66,62,4
