"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"1","bonf","glm",1667,25,0,0,0,0,0,1667,98,97,1
"2","mmm","glm",1667,25,0,0,380,0,0,1287,74,71,3
"3","bt","glm",1667,25,0,0,0,1,1,1666,430,377,43
"4","bonf","bglm",1667,25,0,0,0,0,0,1667,96,92,4
"5","mmm","bglm",1667,25,0,0,0,0,0,1667,87,86,1
"6","bt","bglm",1667,25,0,0,0,23,23,1644,393,358,31
"7","bonf","glm",1667,50,0,0,0,0,0,1667,398,367,31
"8","mmm","glm",1667,50,0,0,29,0,0,1638,440,402,38
"9","bt","glm",1667,50,0,0,0,12,11,1656,868,744,114
"10","bonf","bglm",1667,50,0,0,0,1,1,1666,306,291,15
"11","mmm","bglm",1667,50,0,0,0,2,2,1665,331,313,18
"12","bt","bglm",1667,50,0,0,0,29,29,1638,831,736,91
"13","bonf","glm",1667,25,0.5,0,0,0,0,1667,86,78,8
"14","mmm","glm",1667,25,0.5,0,342,0,0,1325,74,63,11
"15","bt","glm",1667,25,0.5,0,0,0,0,1667,442,355,75
"16","bonf","bglm",1667,25,0.5,0,0,0,0,1667,88,78,10
"17","mmm","bglm",1667,25,0.5,0,0,0,0,1667,96,85,11
"18","bt","bglm",1667,25,0.5,0,0,31,23,1644,377,311,57
"19","bonf","glm",1667,50,0.5,0,0,0,0,1667,413,334,76
"20","mmm","glm",1667,50,0.5,0,22,0,0,1645,438,355,77
"21","bt","glm",1667,50,0.5,0,0,9,7,1660,962,681,239
"22","bonf","bglm",1667,50,0.5,0,0,0,0,1667,317,262,55
"23","mmm","bglm",1667,50,0.5,0,0,2,2,1665,420,349,67
"24","bt","bglm",1667,50,0.5,0,0,41,36,1631,900,675,197
"25","bonf","glm",1667,25,0.9,0,0,0,0,1667,90,65,25
"26","mmm","glm",1667,25,0.9,0,157,0,0,1510,167,101,57
"27","bt","glm",1667,25,0.9,0,0,0,0,1667,558,328,185
"28","bonf","bglm",1667,25,0.9,0,0,3,1,1666,99,69,28
"29","mmm","bglm",1667,25,0.9,0,0,0,0,1667,190,129,61
"30","bt","bglm",1667,25,0.9,0,0,45,13,1654,425,259,142
"31","bonf","glm",1667,50,0.9,0,0,0,0,1667,403,261,142
"32","mmm","glm",1667,50,0.9,0,13,9,3,1651,670,411,251
"33","bt","glm",1667,50,0.9,0,0,8,3,1664,1051,609,379
"34","bonf","bglm",1667,50,0.9,0,0,0,0,1667,334,208,126
"35","mmm","bglm",1667,50,0.9,0,0,10,6,1661,627,382,229
"36","bt","bglm",1667,50,0.9,0,0,50,19,1648,972,578,350
"37","bonf","glm",1667,25,0,0,0,0,0,1667,117,115,2
"38","mmm","glm",1667,25,0,0,365,0,0,1302,64,61,3
"39","bt","glm",1667,25,0,0,0,0,0,1667,419,370,38
"40","bonf","bglm",1667,25,0,0,0,0,0,1667,91,90,1
"41","mmm","bglm",1667,25,0,0,0,0,0,1667,91,91,0
"42","bt","bglm",1667,25,0,0,0,30,30,1637,373,337,34
"43","bonf","glm",1667,50,0,0,0,0,0,1667,407,380,27
"44","mmm","glm",1667,50,0,0,34,0,0,1633,417,397,20
