"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1000,25,0,0,1000,12,12,988,5,5,0,NA
"2","mmm","bglm",1000,50,0,0,1000,26,25,975,54,53,0,NA
"3","mmm","bglm",1000,25,0.5,0,1000,23,20,980,4,4,0,NA
"4","mmm","bglm",1000,50,0.5,0,1000,21,19,981,46,41,0,NA
"5","mmm","bglm",1000,25,0.9,0,1000,47,17,983,19,15,0,NA
"6","mmm","bglm",1000,50,0.9,0,1000,79,17,983,116,74,0,NA
"7","mmm","bglm",1000,25,0,0,1000,13,13,987,2,2,0,NA
"8","mmm","bglm",1000,50,0,0,1000,32,31,969,46,46,0,NA
"9","mmm","bglm",1000,25,0.5,0,1000,22,18,982,4,4,0,NA
"10","mmm","bglm",1000,50,0.5,0,1000,26,22,978,57,54,0,NA
"11","mmm","bglm",1000,25,0.9,0,1000,39,13,987,12,8,0,NA
"12","mmm","bglm",1000,50,0.9,0,1000,54,24,976,103,69,0,NA
"13","mmm","bglm",1000,25,0,0,1000,16,16,984,1,1,0,NA
"14","mmm","bglm",1000,50,0,0,1000,28,28,972,39,39,0,NA
"15","mmm","bglm",1000,25,0.5,0,1000,19,19,981,3,3,0,NA
"16","mmm","bglm",1000,50,0.5,0,1000,33,28,972,52,47,0,NA
"17","mmm","bglm",1000,25,0.9,0,1000,38,13,987,11,10,0,NA
"18","mmm","bglm",1000,50,0.9,0,1000,64,21,979,109,68,0,NA
"19","mmm","bglm",1000,25,0,0,1000,10,10,990,2,2,0,NA
"20","mmm","bglm",1000,50,0,0,1000,20,20,980,47,45,0,NA
"21","mmm","bglm",1000,25,0.5,0,1000,19,16,984,4,4,0,NA
"22","mmm","bglm",1000,50,0.5,0,1000,32,28,972,52,47,0,NA
"23","mmm","bglm",1000,25,0.9,0,1000,24,15,985,16,13,0,NA
"24","mmm","bglm",1000,50,0.9,0,1000,61,24,976,107,71,0,NA
"25","mmm","bglm",1000,25,0,0,1000,12,11,989,3,3,0,NA
"26","mmm","bglm",1000,50,0,0,1000,13,13,987,34,33,0,NA
"27","mmm","bglm",1000,25,0.5,0,1000,15,13,987,6,6,0,NA
"28","mmm","bglm",1000,50,0.5,0,1000,29,25,975,53,47,0,NA
"29","mmm","bglm",1000,25,0.9,0,1000,43,14,986,10,7,0,NA
"30","mmm","bglm",1000,50,0.9,0,1000,60,16,984,80,52,0,NA
"31","mmm","bglm",1000,25,0,0,1000,13,12,988,6,6,0,NA
"32","mmm","bglm",1000,50,0,0,1000,24,23,977,45,45,0,NA
"33","mmm","bglm",1000,25,0.5,0,1000,10,9,991,4,4,0,NA
"34","mmm","bglm",1000,50,0.5,0,1000,29,24,976,43,41,0,NA
"35","mmm","bglm",1000,25,0.9,0,1000,35,13,987,17,12,0,NA
"36","mmm","bglm",1000,50,0.9,0,1000,74,33,967,98,69,0,NA
"37","mmm","bglm",1000,25,0,0,1000,16,14,986,1,1,0,NA
"38","mmm","bglm",1000,50,0,0,1000,24,23,977,55,55,0,NA
"39","mmm","bglm",1000,25,0.5,0,1000,7,6,994,2,2,0,NA
"40","mmm","bglm",1000,50,0.5,0,1000,32,26,974,46,40,0,NA
"41","mmm","bglm",1000,25,0.9,0,1000,49,21,979,5,3,0,NA
"42","mmm","bglm",1000,50,0.9,0,1000,75,25,975,106,68,0,NA
"43","mmm","bglm",1000,25,0,0,1000,13,13,987,1,1,0,NA
"44","mmm","bglm",1000,50,0,0,1000,16,16,984,40,40,0,NA
"45","mmm","bglm",1000,25,0.5,0,1000,11,11,989,8,8,0,NA
"46","mmm","bglm",1000,50,0.5,0,1000,42,37,963,47,44,0,NA
"47","mmm","bglm",1000,25,0.9,0,1000,85,30,970,14,9,0,NA
"48","mmm","bglm",1000,50,0.9,0,1000,75,25,975,93,65,0,NA
"49","mmm","bglm",1000,25,0,0,1000,14,14,986,1,1,0,NA
"50","mmm","bglm",1000,50,0,0,1000,12,12,988,47,47,0,NA
"51","mmm","bglm",1000,25,0.5,0,1000,16,15,985,3,2,0,NA
"52","mmm","bglm",1000,50,0.5,0,1000,26,21,979,47,43,0,NA
"53","mmm","bglm",1000,25,0.9,0,1000,32,13,987,21,13,0,NA
"54","mmm","bglm",1000,50,0.9,0,1000,58,26,974,117,80,0,NA
"55","mmm","bglm",1000,25,0,0,1000,15,14,986,0,0,0,NA
"56","mmm","bglm",1000,50,0,0,1000,26,25,975,38,37,0,NA
"57","mmm","bglm",1000,25,0.5,0,1000,20,19,981,5,4,0,NA
"58","mmm","bglm",1000,50,0.5,0,1000,29,21,979,49,41,0,NA
"59","mmm","bglm",1000,25,0.9,0,1000,24,14,986,11,8,0,NA
"60","mmm","bglm",1000,50,0.9,0,1000,55,23,977,114,74,0,NA
"61","bonf","glm",1000,25,0,0,1000,22,22,978,0,0,0,1
"62","bt","glm",1000,25,0,0,1000,52,46,954,3,3,0,2
"63","bonf","bglm",1000,25,0,0,1000,18,16,984,6,6,0,3
"64","bt","bglm",1000,25,0,0,1000,36,35,965,21,21,0,4
"65","bonf","glm",1000,50,0,0,1000,32,32,968,12,12,0,5
"66","bt","glm",1000,50,0,0,1000,50,50,950,31,29,0,6
"67","bonf","bglm",1000,50,0,0,1000,23,22,978,38,36,0,7
"68","bt","bglm",1000,50,0,0,1000,36,33,967,73,69,0,8
"69","bonf","glm",1000,25,0.5,0,1000,14,11,989,0,0,0,9
"70","bt","glm",1000,25,0.5,0,1000,56,50,950,3,3,0,10
"71","bonf","bglm",1000,25,0.5,0,1000,11,8,992,1,1,0,11
"72","bt","bglm",1000,25,0.5,0,1000,55,38,962,24,21,0,12
"73","bonf","glm",1000,50,0.5,0,1000,34,29,971,15,15,0,13
"74","bt","glm",1000,50,0.5,0,1000,75,62,938,39,37,0,14
"75","bonf","bglm",1000,50,0.5,0,1000,15,14,986,51,48,0,15
"76","bt","bglm",1000,50,0.5,0,1000,58,46,954,102,90,0,16
"77","bonf","glm",1000,25,0.9,0,1000,13,7,993,0,0,0,17
"78","bt","glm",1000,25,0.9,0,1000,128,46,954,17,12,0,18
"79","bonf","bglm",1000,25,0.9,0,1000,8,1,999,5,4,0,19
"80","bt","bglm",1000,25,0.9,0,1000,143,45,955,62,42,0,20
"81","bonf","glm",1000,50,0.9,0,1000,30,12,988,12,9,0,21
"82","bt","glm",1000,50,0.9,0,1000,92,42,958,124,84,0,22
"83","bonf","bglm",1000,50,0.9,0,1000,24,11,989,45,31,0,23
"84","bt","bglm",1000,50,0.9,0,1000,82,34,966,147,93,0,24
"85","bonf","glm",1000,25,0,0,1000,17,16,984,1,1,0,25
"86","bt","glm",1000,25,0,0,1000,51,47,953,3,3,0,26
"87","bonf","bglm",1000,25,0,0,1000,16,16,984,6,6,0,27
"88","bt","bglm",1000,25,0,0,1000,47,46,954,11,10,0,28
"89","bonf","glm",1000,50,0,0,1000,36,35,965,10,10,0,29
"90","bt","glm",1000,50,0,0,1000,55,51,949,30,30,0,30
"91","bonf","bglm",1000,50,0,0,1000,22,22,978,29,29,0,31
"92","bt","bglm",1000,50,0,0,1000,41,40,960,77,72,0,32
"93","bonf","glm",1000,25,0.5,0,1000,9,8,992,1,1,0,33
"94","bt","glm",1000,25,0.5,0,1000,83,58,942,2,2,0,34
"95","bonf","bglm",1000,25,0.5,0,1000,11,10,990,0,0,0,35
"96","bt","bglm",1000,25,0.5,0,1000,55,43,957,25,24,0,36
"97","bonf","glm",1000,50,0.5,0,1000,32,25,975,10,10,0,37
"98","bt","glm",1000,50,0.5,0,1000,59,53,947,42,38,0,38
"99","bonf","bglm",1000,50,0.5,0,1000,26,21,979,37,36,0,39
"100","bt","bglm",1000,50,0.5,0,1000,31,28,972,101,83,0,40
"101","bonf","glm",1000,25,0.9,0,1000,6,4,996,1,1,0,41
"102","bt","glm",1000,25,0.9,0,1000,147,55,945,4,4,0,42
"103","bonf","bglm",1000,25,0.9,0,1000,19,7,993,1,1,0,43
"104","bt","bglm",1000,25,0.9,0,1000,166,52,948,76,50,0,44
"105","bonf","glm",1000,50,0.9,0,1000,42,10,990,15,12,0,45
"106","bt","glm",1000,50,0.9,0,1000,180,50,950,128,92,0,46
"107","bonf","bglm",1000,50,0.9,0,1000,22,7,993,30,21,0,47
"108","bt","bglm",1000,50,0.9,0,1000,111,43,957,168,109,0,48
"109","bonf","glm",1000,25,0,0,1000,26,25,975,0,0,0,49
"110","bt","glm",1000,25,0,0,1000,55,52,948,3,3,0,50
"111","bonf","bglm",1000,25,0,0,1000,5,5,995,4,4,0,51
"112","bt","bglm",1000,25,0,0,1000,48,43,957,15,15,0,52
"113","bonf","glm",1000,50,0,0,1000,40,37,963,13,13,0,53
"114","bt","glm",1000,50,0,0,1000,48,47,953,36,35,0,54
"115","bonf","bglm",1000,50,0,0,1000,20,19,981,38,37,0,55
"116","bt","bglm",1000,50,0,0,1000,33,31,969,72,68,0,56
"117","bonf","glm",1000,25,0.5,0,1000,14,12,988,0,0,0,57
"118","bt","glm",1000,25,0.5,0,1000,80,59,941,2,2,0,58
"119","bonf","bglm",1000,25,0.5,0,1000,13,11,989,9,8,0,59
"120","bt","bglm",1000,25,0.5,0,1000,51,42,958,21,19,0,60
"121","bonf","glm",1000,50,0.5,0,1000,52,34,966,16,15,0,61
"122","bt","glm",1000,50,0.5,0,1000,76,50,950,36,33,0,62
"123","bonf","bglm",1000,50,0.5,0,1000,27,22,978,37,36,0,63
