"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,4,4,1663,1,1,0,NA
"2","mmm","bglm",1667,50,0,0,1667,9,9,1658,73,72,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,23,16,1651,24,5,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,32,24,1643,549,131,0,NA
"5","mmm","bglm",1667,25,0,0,1667,10,9,1658,0,0,0,NA
"6","mmm","bglm",1667,50,0,0,1667,8,8,1659,75,71,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,27,22,1645,18,3,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,31,26,1641,567,131,0,NA
"9","mmm","bglm",1667,25,0,0,1667,3,3,1664,0,0,0,NA
"10","mmm","bglm",1667,50,0,0,1667,11,10,1657,84,81,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,19,15,1652,14,5,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,30,24,1643,513,134,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,8,7,1660,2,2,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,21,20,1647,180,115,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,10,10,1657,3,3,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,14,14,1653,130,91,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,17,16,1651,1,1,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,9,9,1658,153,99,0,NA
"19","mmm","bglm",1667,25,0,0,1667,8,8,1659,0,0,0,NA
"20","mmm","bglm",1667,50,0,0,1667,11,11,1656,61,61,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,20,15,1652,27,6,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,28,21,1646,630,152,0,NA
"23","mmm","bglm",1667,25,0,0,1667,11,11,1656,1,1,0,NA
"24","mmm","bglm",1667,50,0,0,1667,13,13,1654,64,64,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,24,19,1648,41,11,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,30,24,1643,549,132,0,NA
"27","mmm","bglm",1667,25,0,0,1667,1,1,1666,1,1,0,NA
"28","mmm","bglm",1667,50,0,0,1667,8,8,1659,72,72,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,34,21,1646,14,4,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,47,31,1636,572,134,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,8,8,1659,2,2,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,7,7,1660,159,115,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,12,12,1655,0,0,0,NA
"34","mmm","bglm",1667,50,0.5,0,1667,12,11,1656,192,121,0,NA
"35","mmm","bglm",1667,25,0.5,0,1667,8,8,1659,9,6,0,NA
"36","mmm","bglm",1667,50,0.5,0,1667,8,7,1660,169,112,0,NA
"37","bonf","glm",1667,25,0,0,1667,16,14,1653,0,0,0,1
"38","bt","glm",1667,25,0,0,1667,105,90,1577,0,0,0,2
"39","bonf","bglm",1667,25,0,0,1667,5,5,1662,1,1,0,3
"40","bt","bglm",1667,25,0,0,1667,61,56,1611,174,160,0,4
