"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,1,1,1666,14,13,0,NA
"2","mmm","bglm",1667,50,0,0,1667,0,0,1667,24,24,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,7,2,1665,46,30,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,9,2,1665,89,60,0,NA
"5","mmm","bglm",1667,25,0,0,1667,0,0,1667,14,14,0,NA
"6","mmm","bglm",1667,50,0,0,1667,0,0,1667,27,25,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,32,23,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,2,1,1666,72,48,0,NA
"9","mmm","bglm",1667,25,0,0,1667,0,0,1667,10,9,0,NA
"10","mmm","bglm",1667,50,0,0,1667,3,3,1664,43,41,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,27,21,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,6,2,1665,80,55,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,14,14,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,2,2,1665,37,34,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,19,17,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,37,33,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,1,1,1666,11,11,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,46,39,0,NA
"19","mmm","bglm",1667,25,0,0,1667,0,0,1667,21,21,0,NA
"20","mmm","bglm",1667,50,0,0,1667,0,0,1667,24,21,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,1,1,1666,41,33,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,11,4,1663,98,71,0,NA
"23","mmm","bglm",1667,25,0,0,1667,0,0,1667,17,17,0,NA
"24","mmm","bglm",1667,50,0,0,1667,0,0,1667,27,25,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,35,26,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,16,4,1663,78,48,0,NA
"27","mmm","bglm",1667,25,0,0,1667,1,1,1666,17,16,0,NA
"28","mmm","bglm",1667,50,0,0,1667,1,1,1666,26,25,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,55,34,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,1,1,1666,72,50,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,15,15,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,3,3,1664,41,38,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,19,17,0,NA
"34","mmm","bglm",1667,50,0.5,0,1667,1,1,1666,35,33,0,NA
"35","mmm","bglm",1667,25,0.5,0,1667,1,1,1666,23,22,0,NA
"36","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,34,33,0,NA
