"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"71","bonf","bglm",1000,25,0.5,0,0,7,7,993,0,0,0,11
"72","bt","bglm",1000,25,0.5,0,0,36,33,967,0,0,0,12
"73","bonf","glm",1000,50,0.5,0,0,24,23,977,0,0,0,13
"74","bt","glm",1000,50,0.5,0,0,53,46,954,0,0,0,14
"75","bonf","bglm",1000,50,0.5,0,0,19,19,981,0,0,0,15
"76","bt","bglm",1000,50,0.5,0,0,41,36,964,0,0,0,16
"77","bonf","glm",1000,25,0.9,0,0,6,4,996,0,0,0,17
"78","bt","glm",1000,25,0.9,0,0,72,49,951,0,0,0,18
"79","bonf","bglm",1000,25,0.9,0,0,5,5,995,0,0,0,19
"80","bt","bglm",1000,25,0.9,0,0,57,44,956,0,0,0,20
"81","bonf","glm",1000,50,0.9,0,0,16,13,987,0,0,0,21
"82","bt","glm",1000,50,0.9,0,0,77,56,944,0,0,0,22
"83","bonf","bglm",1000,50,0.9,0,0,17,14,986,0,0,0,23
"84","bt","bglm",1000,50,0.9,0,0,66,46,954,0,0,0,24
"85","bonf","glm",1000,25,0,0,0,9,9,991,0,0,0,25
"86","bt","glm",1000,25,0,0,0,47,45,955,0,0,0,26
"87","bonf","bglm",1000,25,0,0,0,6,6,994,0,0,0,27
"88","bt","bglm",1000,25,0,0,0,41,38,962,0,0,0,28
"89","bonf","glm",1000,50,0,0,0,21,19,981,0,0,0,29
"90","bt","glm",1000,50,0,0,0,65,58,942,0,0,0,30
"91","bonf","bglm",1000,50,0,0,0,14,14,986,0,0,0,31
"92","bt","bglm",1000,50,0,0,0,55,50,950,0,0,0,32
"93","bonf","glm",1000,25,0.5,0,0,9,9,991,0,0,0,33
"94","bt","glm",1000,25,0.5,0,0,47,45,955,0,0,0,34
"95","bonf","bglm",1000,25,0.5,0,0,6,6,994,0,0,0,35
"96","bt","bglm",1000,25,0.5,0,0,44,42,958,0,0,0,36
"97","bonf","glm",1000,50,0.5,0,0,31,27,973,0,0,0,37
"98","bt","glm",1000,50,0.5,0,0,51,47,953,0,0,0,38
"99","bonf","bglm",1000,50,0.5,0,0,10,10,990,0,0,0,39
"100","bt","bglm",1000,50,0.5,0,0,58,52,948,0,0,0,40
"101","bonf","glm",1000,25,0.9,0,0,6,6,994,0,0,0,41
"102","bt","glm",1000,25,0.9,0,0,69,53,947,0,0,0,42
"103","bonf","bglm",1000,25,0.9,0,0,7,5,995,0,0,0,43
"104","bt","bglm",1000,25,0.9,0,0,56,41,959,0,0,0,44
"105","bonf","glm",1000,50,0.9,0,0,21,14,986,0,0,0,45
"106","bt","glm",1000,50,0.9,0,0,82,52,948,0,0,0,46
"107","bonf","bglm",1000,50,0.9,0,0,12,10,990,0,0,0,47
"108","bt","bglm",1000,50,0.9,0,0,53,45,955,0,0,0,48
"109","bonf","glm",1000,25,0,0,0,12,11,989,0,0,0,49
"110","bt","glm",1000,25,0,0,0,46,42,958,0,0,0,50
"111","bonf","bglm",1000,25,0,0,0,13,12,988,0,0,0,51
"112","bt","bglm",1000,25,0,0,0,35,35,965,0,0,0,52
"113","bonf","glm",1000,50,0,0,0,18,17,983,0,0,0,53
"114","bt","glm",1000,50,0,0,0,72,65,935,0,0,0,54
"115","bonf","bglm",1000,50,0,0,0,18,18,982,0,0,0,55
"116","bt","bglm",1000,50,0,0,0,47,45,955,0,0,0,56
