"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,0,0,1667,59,55,0,NA
"2","mmm","bglm",1667,50,0,0,1667,0,0,1667,119,112,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,141,46,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,2,2,1665,323,105,0,NA
"5","mmm","bglm",1667,25,0,0,1667,0,0,1667,55,53,0,NA
"6","mmm","bglm",1667,50,0,0,1667,0,0,1667,109,105,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,148,57,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,1,1,1666,307,94,0,NA
"9","mmm","bglm",1667,25,0,0,1667,0,0,1667,64,61,0,NA
"10","mmm","bglm",1667,50,0,0,1667,0,0,1667,123,112,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,2,1,1666,138,48,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,0,0,1667,347,101,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,66,57,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,157,104,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,54,42,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,158,107,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,63,50,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,116,91,0,NA
"19","mmm","bglm",1667,25,0,0,1667,0,0,1667,50,46,0,NA
"20","mmm","bglm",1667,50,0,0,1667,0,0,1667,105,98,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,119,43,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,3,2,1665,348,100,0,NA
"23","mmm","bglm",1667,25,0,0,1667,0,0,1667,43,41,0,NA
"24","mmm","bglm",1667,50,0,0,1667,1,1,1666,106,100,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,129,52,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,1,1,1666,320,84,0,NA
"27","mmm","bglm",1667,25,0,0,1667,0,0,1667,59,54,0,NA
"28","mmm","bglm",1667,50,0,0,1667,1,1,1666,108,98,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,170,55,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,2,2,1665,271,80,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,67,48,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,159,115,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,77,56,0,NA
"34","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,137,106,0,NA
"35","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,55,47,0,NA
"36","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,141,100,0,NA
"37","bonf","glm",1667,25,0,0,1667,0,0,1667,84,78,0,1
"38","bt","glm",1667,25,0,0,1667,0,0,1667,175,155,0,2
"39","bonf","bglm",1667,25,0,0,1667,0,0,1667,44,43,0,3
"40","bt","bglm",1667,25,0,0,1667,1,1,1666,119,108,0,4
"41","bonf","glm",1667,50,0,0,1667,0,0,1667,166,156,0,5
"42","bt","glm",1667,50,0,0,1667,0,0,1667,251,220,0,6
"43","bonf","bglm",1667,50,0,0,1667,1,1,1666,97,90,0,7
"44","bt","bglm",1667,50,0,0,1667,2,2,1665,180,164,0,8
"45","bonf","glm",1667,25,0.9,0,1667,0,0,1667,57,19,0,9
"46","bt","glm",1667,25,0.9,0,1667,0,0,1667,363,111,0,10
"47","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,58,21,0,11
"48","bt","bglm",1667,25,0.9,0,1667,2,1,1666,316,96,0,12
"49","bonf","glm",1667,50,0.9,0,1667,0,0,1667,199,65,0,13
"50","bt","glm",1667,50,0.9,0,1667,4,3,1664,571,152,0,14
"51","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,111,38,0,15
"52","bt","bglm",1667,50,0.9,0,1667,7,4,1663,498,133,0,16
"53","bonf","glm",1667,25,0,0,1667,0,0,1667,64,63,0,17
"54","bt","glm",1667,25,0,0,1667,0,0,1667,178,163,0,18
"55","bonf","bglm",1667,25,0,0,1667,0,0,1667,62,62,0,19
"56","bt","bglm",1667,25,0,0,1667,1,1,1666,122,110,0,20
"57","bonf","glm",1667,50,0,0,1667,0,0,1667,174,154,0,21
"58","bt","glm",1667,50,0,0,1667,0,0,1667,247,214,0,22
"59","bonf","bglm",1667,50,0,0,1667,0,0,1667,104,98,0,23
"60","bt","bglm",1667,50,0,0,1667,2,2,1665,182,169,0,24
"61","bonf","glm",1667,25,0.9,0,1667,0,0,1667,78,26,0,25
"62","bt","glm",1667,25,0.9,0,1667,0,0,1667,384,137,0,26
"63","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,55,16,0,27
"64","bt","bglm",1667,25,0.9,0,1667,7,5,1662,393,104,0,28
"65","bonf","glm",1667,50,0.9,0,1667,0,0,1667,188,48,0,29
"66","bt","glm",1667,50,0.9,0,1667,4,2,1665,590,162,0,30
"67","bonf","bglm",1667,50,0.9,0,1667,1,1,1666,98,39,0,31
"68","bt","bglm",1667,50,0.9,0,1667,9,7,1660,461,124,0,32
"69","bonf","glm",1667,25,0,0,1667,0,0,1667,65,62,0,33
"70","bt","glm",1667,25,0,0,1667,0,0,1667,165,141,0,34
"71","bonf","bglm",1667,25,0,0,1667,0,0,1667,40,40,0,35
"72","bt","bglm",1667,25,0,0,1667,0,0,1667,121,111,0,36
"73","bonf","glm",1667,50,0,0,1667,0,0,1667,181,158,0,37
"74","bt","glm",1667,50,0,0,1667,0,0,1667,255,216,0,38
"75","bonf","bglm",1667,50,0,0,1667,1,1,1666,103,99,0,39
"76","bt","bglm",1667,50,0,0,1667,1,1,1666,214,185,0,40
"77","bonf","glm",1667,25,0.9,0,1667,0,0,1667,43,22,0,41
"78","bt","glm",1667,25,0.9,0,1667,0,0,1667,458,122,0,42
"79","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,54,20,0,43
"80","bt","bglm",1667,25,0.9,0,1667,2,1,1666,257,90,0,44
"81","bonf","glm",1667,50,0.9,0,1667,0,0,1667,146,57,0,45
"82","bt","glm",1667,50,0.9,0,1667,4,3,1664,776,173,0,46
"83","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,142,44,0,47
"84","bt","bglm",1667,50,0.9,0,1667,4,4,1663,466,123,0,48
"85","bonf","glm",1667,25,0.5,0,1667,0,0,1667,56,50,0,49
"86","bt","glm",1667,25,0.5,0,1667,0,0,1667,182,131,0,50
"87","bonf","bglm",1667,25,0.5,0,1667,0,0,1667,48,38,0,51
"88","bt","bglm",1667,25,0.5,0,1667,0,0,1667,174,117,0,52
"89","bonf","glm",1667,50,0.5,0,1667,0,0,1667,215,144,0,53
"90","bt","glm",1667,50,0.5,0,1667,1,1,1666,348,206,0,54
"91","bonf","bglm",1667,50,0.5,0,1667,0,0,1667,100,68,0,55
"92","bt","bglm",1667,50,0.5,0,1667,1,1,1666,180,129,0,56
"93","bonf","glm",1667,25,0.5,0,1667,0,0,1667,47,39,0,57
"94","bt","glm",1667,25,0.5,0,1667,0,0,1667,205,142,0,58
"95","bonf","bglm",1667,25,0.5,0,1667,0,0,1667,49,40,0,59
"96","bt","bglm",1667,25,0.5,0,1667,0,0,1667,171,113,0,60
"97","bonf","glm",1667,50,0.5,0,1667,0,0,1667,188,121,0,61
"98","bt","glm",1667,50,0.5,0,1667,1,1,1666,315,199,0,62
"99","bonf","bglm",1667,50,0.5,0,1667,0,0,1667,83,60,0,63
"100","bt","bglm",1667,50,0.5,0,1667,3,3,1664,184,134,0,64
"101","bonf","glm",1667,25,0.5,0,1667,0,0,1667,64,50,0,65
"102","bt","glm",1667,25,0.5,0,1667,0,0,1667,215,144,0,66
"103","bonf","bglm",1667,25,0.5,0,1667,0,0,1667,48,40,0,67
"104","bt","bglm",1667,25,0.5,0,1667,0,0,1667,153,93,0,68
"105","bonf","glm",1667,50,0.5,0,1667,0,0,1667,172,119,0,69
"106","bt","glm",1667,50,0.5,0,1667,0,0,1667,327,200,0,70
"107","bonf","bglm",1667,50,0.5,0,1667,0,0,1667,120,97,0,71
"108","bt","bglm",1667,50,0.5,0,1667,1,1,1666,206,139,0,72
"109","bonf","glm",1667,25,0,0,1667,0,0,1667,66,61,0,73
"110","bt","glm",1667,25,0,0,1667,0,0,1667,149,131,0,74
"111","bonf","bglm",1667,25,0,0,1667,0,0,1667,48,47,0,75
"112","bt","bglm",1667,25,0,0,1667,1,1,1666,133,118,0,76
"113","bonf","glm",1667,50,0,0,1667,0,0,1667,183,163,0,77
"114","bt","glm",1667,50,0,0,1667,0,0,1667,273,223,0,78
"115","bonf","bglm",1667,50,0,0,1667,0,0,1667,96,86,0,79
"116","bt","bglm",1667,50,0,0,1667,1,1,1666,187,168,0,80
"117","bonf","glm",1667,25,0.9,0,1667,0,0,1667,57,20,0,81
"118","bt","glm",1667,25,0.9,0,1667,0,0,1667,387,114,0,82
"119","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,43,24,0,83
"120","bt","bglm",1667,25,0.9,0,1667,4,2,1665,334,93,0,84
"121","bonf","glm",1667,50,0.9,0,1667,0,0,1667,172,59,0,85
"122","bt","glm",1667,50,0.9,0,1667,2,1,1666,572,152,0,86
"123","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,116,40,0,87
"124","bt","bglm",1667,50,0.9,0,1667,6,4,1663,495,143,0,88
