"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,0,0,1667,61,60,0,NA
"2","mmm","bglm",1667,50,0,0,1667,0,0,1667,117,110,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,162,47,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,0,0,1667,307,96,0,NA
"5","mmm","bglm",1667,25,0,0,1667,0,0,1667,62,58,0,NA
"6","mmm","bglm",1667,50,0,0,1667,0,0,1667,129,117,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,172,55,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,0,0,1667,278,95,0,NA
"9","mmm","bglm",1667,25,0,0,1667,0,0,1667,63,57,0,NA
"10","mmm","bglm",1667,50,0,0,1667,0,0,1667,110,102,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,165,50,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,0,0,1667,269,90,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,79,60,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,169,128,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,75,57,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,167,117,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,66,57,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,154,103,0,NA
"19","mmm","bglm",1667,25,0,0,1667,0,0,1667,60,55,0,NA
"20","mmm","bglm",1667,50,0,0,1667,0,0,1667,101,93,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,143,54,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,0,0,1667,390,103,0,NA
"23","mmm","bglm",1667,25,0,0,1667,0,0,1667,54,51,0,NA
"24","mmm","bglm",1667,50,0,0,1667,0,0,1667,100,93,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,136,52,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,0,0,1667,358,102,0,NA
"27","mmm","bglm",1667,25,0,0,1667,0,0,1667,66,64,0,NA
"28","mmm","bglm",1667,50,0,0,1667,0,0,1667,116,109,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,147,50,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,0,0,1667,274,94,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,66,54,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,169,115,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,73,56,0,NA
"34","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,167,119,0,NA
"35","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,54,44,0,NA
"36","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,159,119,0,NA
"37","bonf","glm",1667,25,0,0,1667,0,0,1667,57,53,0,1
"38","bt","glm",1667,25,0,0,1667,0,0,1667,163,147,0,2
"39","bonf","bglm",1667,25,0,0,1667,0,0,1667,46,46,0,3
"40","bt","bglm",1667,25,0,0,1667,0,0,1667,113,104,0,4
"41","bonf","glm",1667,50,0,0,1667,0,0,1667,167,152,0,5
"42","bt","glm",1667,50,0,0,1667,0,0,1667,263,225,0,6
"43","bonf","bglm",1667,50,0,0,1667,0,0,1667,91,85,0,7
"44","bt","bglm",1667,50,0,0,1667,0,0,1667,199,180,0,8
"45","bonf","glm",1667,25,0.9,0,1667,0,0,1667,61,23,0,9
"46","bt","glm",1667,25,0.9,0,1667,0,0,1667,448,130,0,10
"47","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,39,14,0,11
"48","bt","bglm",1667,25,0.9,0,1667,0,0,1667,306,92,0,12
"49","bonf","glm",1667,50,0.9,0,1667,0,0,1667,213,60,0,13
"50","bt","glm",1667,50,0.9,0,1667,0,0,1667,616,154,0,14
"51","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,137,36,0,15
"52","bt","bglm",1667,50,0.9,0,1667,0,0,1667,386,114,0,16
"53","bonf","glm",1667,25,0,0,1667,0,0,1667,48,47,0,17
"54","bt","glm",1667,25,0,0,1667,0,0,1667,167,147,0,18
"55","bonf","bglm",1667,25,0,0,1667,0,0,1667,46,44,0,19
"56","bt","bglm",1667,25,0,0,1667,0,0,1667,127,115,0,20
"57","bonf","glm",1667,50,0,0,1667,0,0,1667,180,165,0,21
"58","bt","glm",1667,50,0,0,1667,0,0,1667,269,223,0,22
"59","bonf","bglm",1667,50,0,0,1667,0,0,1667,102,92,0,23
"60","bt","bglm",1667,50,0,0,1667,0,0,1667,187,169,0,24
"61","bonf","glm",1667,25,0.9,0,1667,0,0,1667,72,26,0,25
"62","bt","glm",1667,25,0.9,0,1667,0,0,1667,469,129,0,26
"63","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,44,21,0,27
"64","bt","bglm",1667,25,0.9,0,1667,0,0,1667,328,97,0,28
"65","bonf","glm",1667,50,0.9,0,1667,0,0,1667,182,56,0,29
"66","bt","glm",1667,50,0.9,0,1667,0,0,1667,659,185,0,30
"67","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,143,40,0,31
"68","bt","bglm",1667,50,0.9,0,1667,0,0,1667,520,139,0,32
"69","bonf","glm",1667,25,0,0,1667,0,0,1667,73,69,0,33
"70","bt","glm",1667,25,0,0,1667,0,0,1667,179,166,0,34
"71","bonf","bglm",1667,25,0,0,1667,0,0,1667,47,47,0,35
"72","bt","bglm",1667,25,0,0,1667,0,0,1667,110,103,0,36
"73","bonf","glm",1667,50,0,0,1667,0,0,1667,196,172,0,37
"74","bt","glm",1667,50,0,0,1667,0,0,1667,261,219,0,38
"75","bonf","bglm",1667,50,0,0,1667,0,0,1667,93,87,0,39
"76","bt","bglm",1667,50,0,0,1667,0,0,1667,185,164,0,40
"77","bonf","glm",1667,25,0.9,0,1667,0,0,1667,52,23,0,41
"78","bt","glm",1667,25,0.9,0,1667,0,0,1667,384,111,0,42
"79","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,71,27,0,43
"80","bt","bglm",1667,25,0.9,0,1667,0,0,1667,328,96,0,44
"81","bonf","glm",1667,50,0.9,0,1667,0,0,1667,159,56,0,45
"82","bt","glm",1667,50,0.9,0,1667,0,0,1667,676,166,0,46
"83","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,89,28,0,47
"84","bt","bglm",1667,50,0.9,0,1667,0,0,1667,424,129,0,48
