"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"1","bonf","glm",1667,25,0,0,0,0,0,1667,21,20,1
"2","mmm","glm",1667,25,0,0,387,0,0,1280,15,15,0
"3","bt","glm",1667,25,0,0,0,3,2,1665,152,134,18
"4","bonf","bglm",1667,25,0,0,0,0,0,1667,14,14,0
"5","mmm","bglm",1667,25,0,0,0,0,0,1667,14,14,0
"6","bt","bglm",1667,25,0,0,0,23,23,1644,102,96,6
"7","bonf","glm",1667,50,0,0,0,0,0,1667,61,60,1
"8","mmm","glm",1667,50,0,0,22,0,0,1645,60,57,3
"9","bt","glm",1667,50,0,0,0,11,11,1656,213,187,24
"10","bonf","bglm",1667,50,0,0,0,0,0,1667,37,37,0
"11","mmm","bglm",1667,50,0,0,0,1,1,1666,47,46,1
"12","bt","bglm",1667,50,0,0,0,42,39,1628,188,177,11
"13","bonf","glm",1667,25,0.5,0,0,0,0,1667,15,15,0
"14","mmm","glm",1667,25,0.5,0,327,0,0,1340,15,14,1
"15","bt","glm",1667,25,0.5,0,0,1,1,1666,145,123,16
"16","bonf","bglm",1667,25,0.5,0,0,0,0,1667,12,12,0
"17","mmm","bglm",1667,25,0.5,0,0,0,0,1667,28,22,6
"18","bt","bglm",1667,25,0.5,0,0,24,22,1645,130,117,9
"19","bonf","glm",1667,50,0.5,0,0,0,0,1667,64,52,12
"20","mmm","glm",1667,50,0.5,0,21,0,0,1646,62,57,5
"21","bt","glm",1667,50,0.5,0,0,7,6,1661,223,186,33
"22","bonf","bglm",1667,50,0.5,0,0,1,1,1666,37,34,3
"23","mmm","bglm",1667,50,0.5,0,0,2,2,1665,54,53,1
"24","bt","bglm",1667,50,0.5,0,0,39,34,1633,194,157,28
"25","bonf","glm",1667,25,0.9,0,0,0,0,1667,25,19,6
"26","mmm","glm",1667,25,0.9,0,171,0,0,1496,51,38,11
"27","bt","glm",1667,25,0.9,0,0,0,0,1667,193,119,41
"28","bonf","bglm",1667,25,0.9,0,0,0,0,1667,19,13,4
"29","mmm","bglm",1667,25,0.9,0,0,0,0,1667,50,37,13
"30","bt","bglm",1667,25,0.9,0,0,42,17,1650,177,119,53
"31","bonf","glm",1667,50,0.9,0,0,0,0,1667,68,47,19
"32","mmm","glm",1667,50,0.9,0,16,0,0,1651,107,71,24
"33","bt","glm",1667,50,0.9,0,0,43,15,1652,290,178,80
"34","bonf","bglm",1667,50,0.9,0,0,0,0,1667,47,32,12
"35","mmm","bglm",1667,50,0.9,0,0,14,4,1663,99,69,28
"36","bt","bglm",1667,50,0.9,0,0,58,25,1642,225,144,66
"37","bonf","glm",1667,25,0,0,0,0,0,1667,22,22,0
"38","mmm","glm",1667,25,0,0,372,0,0,1295,20,20,0
"39","bt","glm",1667,25,0,0,0,4,3,1664,151,136,13
"40","bonf","bglm",1667,25,0,0,0,1,1,1666,16,16,0
"41","mmm","bglm",1667,25,0,0,0,0,0,1667,15,15,0
"42","bt","bglm",1667,25,0,0,0,22,22,1645,106,98,6
"43","bonf","glm",1667,50,0,0,0,0,0,1667,75,71,2
"44","mmm","glm",1667,50,0,0,34,0,0,1633,67,62,5
"45","bt","glm",1667,50,0,0,0,14,12,1655,212,187,21
"46","bonf","bglm",1667,50,0,0,0,1,1,1666,39,38,1
"47","mmm","bglm",1667,50,0,0,0,1,1,1666,47,46,1
"48","bt","bglm",1667,50,0,0,0,34,34,1633,172,162,6
"49","bonf","glm",1667,25,0.5,0,0,0,0,1667,14,14,0
"50","mmm","glm",1667,25,0.5,0,291,0,0,1376,17,15,2
