"method","model","ntrt","corr","nsim","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","setting","N","cor"
"bt","glm",50,0.5,10002,0.0001999600079984,0.0001999600079984,0.999800039992002,0.177864427114577,0.112677464507099,0,1,0,"h02_01_ha8_04_s01",200,0.5
"bt","glm",50,0.9,10002,0.0016996600679864,0.000999800039992002,0.999000199960008,0.350829834033193,0.092881423715257,0,1,0,"h02_01_ha8_04_s01",200,0.9
"mmm","bglm",25,0,10002,0,0,1,0.0329934013197361,0.030993801239752,0,1,0,"h02_01_ha8_04_s01",100,0
"mmm","bglm",25,0.5,10002,0,0,1,0.0381923615276945,0.02999400119976,0,1,0,"h02_01_ha8_04_s01",100,0.5
"mmm","bglm",25,0.9,10002,0.0001999600079984,9.99800039992002e-05,0.999900019996001,0.0844831033793241,0.0300939812037592,0,1,0,"h02_01_ha8_04_s01",100,0.9
"mmm","bglm",50,0,10002,0.0001999600079984,0.0001999600079984,0.999800039992002,0.0669866026794641,0.0624875024995001,0,1,0,"h02_01_ha8_04_s01",200,0
"mmm","bglm",50,0.5,10002,0,0,1,0.0867826434713057,0.0622875424915017,0,1,0,"h02_01_ha8_04_s01",200,0.5
"mmm","bglm",50,0.9,10002,0.000899820035992801,0.000799840031993601,0.999200159968006,0.191561687662468,0.0563887222555489,0,1,0,"h02_01_ha8_04_s01",200,0.9
"mmm","glm",25,0,10000,0,0,0.9392,0.0386,0.0363,0,0.0608,0,"h02_01_ha8_04_s01",100,0
"mmm","glm",25,0.5,10000,0,0,0.9377,0.0393,0.0296,0,0.0623,0,"h02_01_ha8_04_s01",100,0.5
"mmm","glm",25,0.9,10000,0,0,0.9474,0.1077,0.0319,0.0024,0.0526,0,"h02_01_ha8_04_s01",100,0.9
"mmm","glm",50,0,10000,0,0,0.9952,0.1129,0.1011,0,0.0048,0,"h02_01_ha8_04_s01",200,0
"mmm","glm",50,0.5,10000,0,0,0.9965,0.112,0.0732,0,0.0035,0,"h02_01_ha8_04_s01",200,0.5
"mmm","glm",50,0.9,10000,1e-04,1e-04,0.9963,0.2174,0.0621,0.0038,0.0036,0,"h02_01_ha8_04_s01",200,0.9
"bonf","bglm",25,0,10002,0,0,1,0.0995800839832034,0.0920815836832633,0,1,0,"h02_01_ha8_04_s02",100,0
"bonf","bglm",25,0.5,10002,0,0,1,0.098380323935213,0.0700859828034393,0,1,0,"h02_01_ha8_04_s02",100,0.5
"bonf","bglm",25,0.9,10002,0,0,1,0.102079584083183,0.0307938412317536,0,1,0,"h02_01_ha8_04_s02",100,0.9
"bonf","bglm",50,0,10002,0,0,1,0.341931613677265,0.279744051189762,0,1,0,"h02_01_ha8_04_s02",200,0
"bonf","bglm",50,0.5,10002,9.99800039992002e-05,9.99800039992002e-05,0.999900019996001,0.339932013597281,0.18996200759848,0,1,0,"h02_01_ha8_04_s02",200,0.5
"bonf","bglm",50,0.9,10002,0,0,1,0.354629074185163,0.0900819836032793,0,1,0,"h02_01_ha8_04_s02",200,0.9
"bonf","glm",25,0,10002,0,0,1,0.1374725054989,0.123575284943011,0,1,0,"h02_01_ha8_04_s02",100,0
"bonf","glm",25,0.5,10002,0,0,1,0.142071585682863,0.0931813637272546,0,1,0,"h02_01_ha8_04_s02",100,0.5
"bonf","glm",25,0.9,10002,0,0,1,0.138972205558888,0.0420915816836633,0,1,0,"h02_01_ha8_04_s02",100,0.9
"bonf","glm",50,0,10002,0,0,1,0.526394721055789,0.388522295540892,0,1,0,"h02_01_ha8_04_s02",200,0
"bonf","glm",50,0.5,10002,0,0,1,0.528394321135773,0.25754849030194,0,1,0,"h02_01_ha8_04_s02",200,0.5
"bonf","glm",50,0.9,10002,0,0,1,0.543891221755649,0.135272945410918,0,1,0,"h02_01_ha8_04_s02",200,0.9
"bt","bglm",25,0,10002,0,0,1,0.186962607478504,0.159368126374725,0,1,0,"h02_01_ha8_04_s02",100,0
"bt","bglm",25,0.5,10002,0.000899820035992801,0.000899820035992801,0.999100179964007,0.263547290541892,0.154869026194761,0,1,0,"h02_01_ha8_04_s02",100,0.5
"bt","bglm",25,0.9,10002,0.0018996200759848,0.001499700059988,0.998500299940012,0.515596880623875,0.125974805038992,0,1,0,"h02_01_ha8_04_s02",100,0.9
"bt","bglm",50,0,10002,0.000399920015996801,0.000399920015996801,0.999600079984003,0.54629074185163,0.403219356128774,0,1,0,"h02_01_ha8_04_s02",200,0
"bt","bglm",50,0.5,10002,0.0012997400519896,0.0011997600479904,0.99880023995201,0.574385122975405,0.277244551089782,0,1,0,"h02_01_ha8_04_s02",200,0.5
"bt","bglm",50,0.9,10002,0.00399920015996801,0.0025994801039792,0.997400519896021,1.04489102179564,0.226454709058188,0,1,0,"h02_01_ha8_04_s02",200,0.9
"bt","glm",25,0,10002,0,0,1,0.280943811237752,0.229754049190162,0,1,0,"h02_01_ha8_04_s02",100,0
"bt","glm",25,0.5,10002,0,0,1,0.329134173165367,0.186762647470506,0,1,0,"h02_01_ha8_04_s02",100,0.5
"bt","glm",25,0.9,10002,0,0,1,0.694561087782444,0.154469106178764,0,1,0,"h02_01_ha8_04_s02",100,0.9
"bt","glm",50,0,10002,0.0001999600079984,0.0001999600079984,0.999800039992002,0.660067986402719,0.449410117976405,0,1,0,"h02_01_ha8_04_s02",200,0
"bt","glm",50,0.5,10002,0,0,1,0.747350529894021,0.331033793241352,0,1,0,"h02_01_ha8_04_s02",200,0.5
"bt","glm",50,0.9,10002,0.0010997800439912,0.000899820035992801,0.999100179964007,1.25854829034193,0.253849230153969,0,1,0,"h02_01_ha8_04_s02",200,0.9
"mmm","bglm",25,0,10002,0,0,1,0.122875424915017,0.110377924415117,0,1,0,"h02_01_ha8_04_s02",100,0
"mmm","bglm",25,0.5,10002,0,0,1,0.147070585882823,0.0939812037592481,0,1,0,"h02_01_ha8_04_s02",100,0.5
"mmm","bglm",25,0.9,10002,9.99800039992002e-05,9.99800039992002e-05,0.999900019996001,0.250549890021996,0.0690861827634473,0,1,0,"h02_01_ha8_04_s02",100,0.9
"mmm","bglm",50,0,10002,0.0001999600079984,0.0001999600079984,0.999800039992002,0.359628074385123,0.289442111577684,0,1,0,"h02_01_ha8_04_s02",200,0
"mmm","bglm",50,0.5,10002,0.0001999600079984,0.0001999600079984,0.999800039992002,0.428514297140572,0.226854629074185,0,1,0,"h02_01_ha8_04_s02",200,0.5
"mmm","bglm",50,0.9,10002,0.0015996800639872,0.0011997600479904,0.99880023995201,0.754749050189962,0.171965606878624,0,1,0,"h02_01_ha8_04_s02",200,0.9
"mmm","glm",25,0,10000,0,0,0.94,0.1315,0.1174,0,0.06,0,"h02_01_ha8_04_s02",100,0
"mmm","glm",25,0.5,10000,0,0,0.9439,0.1325,0.0842,3e-04,0.0561,0,"h02_01_ha8_04_s02",100,0.5
"mmm","glm",25,0.9,10000,0,0,0.9462,0.3149,0.0782,0.0051,0.0538,0,"h02_01_ha8_04_s02",100,0.9
"mmm","glm",50,0,10000,0,0,0.9962,0.5464,0.3985,0,0.0038,0,"h02_01_ha8_04_s02",200,0
"mmm","glm",50,0.5,10000,0,0,0.9954,0.5804,0.2746,0.0019,0.0046,0,"h02_01_ha8_04_s02",200,0.5
"mmm","glm",50,0.9,10000,3e-04,2e-04,0.9955,0.9077,0.204,0.0207,0.0043,0,"h02_01_ha8_04_s02",200,0.9
"bonf","bglm",25,0,10002,0,0,1,0.0407918416316737,0.0396920615876825,0,1,0,"h02_002_ha8_04_d01",100,0
"bonf","bglm",25,0.5,10002,0,0,1,0.0389922015596881,0.031493701259748,0,1,0,"h02_002_ha8_04_d01",100,0.5
"bonf","bglm",25,0.9,10002,0,0,1,0.0426914617076585,0.0162967406518696,0,1,0,"h02_002_ha8_04_d01",100,0.9
"bonf","bglm",50,0,10002,0,0,1,0.0907818436312737,0.0848830233953209,0,1,0,"h02_002_ha8_04_d01",200,0
"bonf","bglm",50,0.5,10002,0,0,1,0.0926814637072585,0.0651869626074785,0,1,0,"h02_002_ha8_04_d01",200,0.5
"bonf","bglm",50,0.9,10002,0,0,1,0.100579884023195,0.0325934813037392,0,1,0,"h02_002_ha8_04_d01",200,0.9
"bonf","glm",25,0,10002,0,0,1,0.0434913017396521,0.0415916816636673,0,1,0,"h02_002_ha8_04_d01",100,0
"bonf","glm",25,0.5,10002,0,0,1,0.0532893421315737,0.0405918816236753,0,1,0,"h02_002_ha8_04_d01",100,0.5
"bonf","glm",25,0.9,10002,0,0,1,0.0402919416116777,0.0152969406118776,0,1,0,"h02_002_ha8_04_d01",100,0.9
"bonf","glm",50,0,10002,0,0,1,0.147370525894821,0.135472905418916,0,1,0,"h02_002_ha8_04_d01",200,0
"bonf","glm",50,0.5,10002,0,0,1,0.150469906018796,0.0976804639072186,0,1,0,"h02_002_ha8_04_d01",200,0.5
"bonf","glm",50,0.9,10002,0,0,1,0.139072185562887,0.0441911617676465,0,1,0,"h02_002_ha8_04_d01",200,0.9
"bt","bglm",25,0,10002,0,0,1,0.0898820235952809,0.0837832433513297,0,1,0,"h02_002_ha8_04_d01",100,0
"bt","bglm",25,0.5,10002,0,0,1,0.106178764247151,0.0782843431313737,0,1,0,"h02_002_ha8_04_d01",100,0.5
"bt","bglm",25,0.9,10002,0,0,1,0.242351529694061,0.0710857828434313,0,1,0,"h02_002_ha8_04_d01",100,0.9
"bt","bglm",50,0,10002,0,0,1,0.154769046190762,0.142271545690862,0,1,0,"h02_002_ha8_04_d01",200,0
"bt","bglm",50,0.5,10002,0,0,1,0.182063587282543,0.119676064787043,0,1,0,"h02_002_ha8_04_d01",200,0.5
"bt","bglm",50,0.9,10002,9.99800039992002e-05,9.99800039992002e-05,0.999900019996001,0.386322735452909,0.105378924215157,0,1,0,"h02_002_ha8_04_d01",200,0.9
"bt","glm",25,0,10002,0,0,1,0.109478104379124,0.100979804039192,0,1,0,"h02_002_ha8_04_d01",100,0
"bt","glm",25,0.5,10002,0,0,1,0.133473305338932,0.091881623675265,0,1,0,"h02_002_ha8_04_d01",100,0.5
"bt","glm",25,0.9,10002,0,0,1,0.276444711057788,0.0827834433113377,0,1,0,"h02_002_ha8_04_d01",100,0.9
"bt","glm",50,0,10002,0,0,1,0.188262347530494,0.165366926614677,0,1,0,"h02_002_ha8_04_d01",200,0
"bt","glm",50,0.5,10002,0,0,1,0.230453909218156,0.144771045790842,0,1,0,"h02_002_ha8_04_d01",200,0.5
"bt","glm",50,0.9,10002,0,0,1,0.409718056388722,0.114677064587083,0,1,0,"h02_002_ha8_04_d01",200,0.9
"mmm","bglm",25,0,10002,0,0,1,0.0433913217356529,0.0414917016596681,0,1,0,"h02_002_ha8_04_d01",100,0
"mmm","bglm",25,0.5,10002,0,0,1,0.0461907618476305,0.0369926014797041,0,1,0,"h02_002_ha8_04_d01",100,0.5
"mmm","bglm",25,0.9,10002,0,0,1,0.112377524495101,0.0359928014397121,0,1,0,"h02_002_ha8_04_d01",100,0.9
"mmm","bglm",50,0,10002,0,0,1,0.107778444311138,0.10127974405119,0,1,0,"h02_002_ha8_04_d01",200,0
"mmm","bglm",50,0.5,10002,0,0,1,0.143971205758848,0.0947810437912417,0,1,0,"h02_002_ha8_04_d01",200,0.5
"mmm","bglm",50,0.9,10002,0,0,1,0.246450709858028,0.0742851429714057,0,1,0,"h02_002_ha8_04_d01",200,0.9
"mmm","glm",25,0,10000,0,0,0.559,0.0236,0.0226,0,0.441,0,"h02_002_ha8_04_d01",100,0
"mmm","glm",25,0.5,10000,0,0,0.5933,0.0298,0.0229,0,0.4067,0,"h02_002_ha8_04_d01",100,0.5
"mmm","glm",25,0.9,10000,0,0,0.6877,0.0688,0.0231,0.0014,0.3123,0,"h02_002_ha8_04_d01",100,0.9
"mmm","glm",50,0,10000,0,0,0.5673,0.0859,0.0789,0,0.4327,0,"h02_002_ha8_04_d01",200,0
"mmm","glm",50,0.5,10000,0,0,0.6126,0.0895,0.0609,2e-04,0.3874,0,"h02_002_ha8_04_d01",200,0.5
"mmm","glm",50,0.9,10000,0,0,0.7038,0.1956,0.0576,0.0051,0.2962,0,"h02_002_ha8_04_d01",200,0.9
"bonf","bglm",25,0,10002,0,0,1,0.217356528694261,0.196560687862428,0,1,0,"h02_002_ha8_04_d02",100,0
"bonf","bglm",25,0.5,10002,0,0,1,0.21505698860228,0.132573485302939,0,1,0,"h02_002_ha8_04_d02",100,0.5
"bonf","bglm",25,0.9,10002,0,0,1,0.206458708258348,0.0591881623675265,0,1,0,"h02_002_ha8_04_d02",100,0.9
"bonf","bglm",50,0,10002,0,0,1,0.788442311537693,0.567986402719456,0,1,0,"h02_002_ha8_04_d02",200,0
"bonf","bglm",50,0.5,10002,0,0,1,0.802139572085583,0.368826234753049,0,1,0,"h02_002_ha8_04_d02",200,0.5
"bonf","bglm",50,0.9,10002,0,0,1,0.780943811237752,0.191461707658468,0,1,0,"h02_002_ha8_04_d02",200,0.9
"bonf","glm",25,0,10002,0,0,1,0.2375524895021,0.212157568486303,0,1,0,"h02_002_ha8_04_d02",100,0
"bonf","glm",25,0.5,10002,0,0,1,0.235352929414117,0.145670865826835,0,1,0,"h02_002_ha8_04_d02",100,0.5
"bonf","glm",25,0.9,10002,0,0,1,0.219656068786243,0.0654869026194761,0,1,0,"h02_002_ha8_04_d02",100,0.9
"bonf","glm",50,0,10002,0,0,1,1.01809638072386,0.660667866426715,0,1,0,"h02_002_ha8_04_d02",200,0
"bonf","glm",50,0.5,10002,0,0,1,1.00469906018796,0.433613277344531,0,1,0,"h02_002_ha8_04_d02",200,0.5
"bonf","glm",50,0.9,10002,0,0,1,1.01419716056789,0.240151969606079,0,1,0,"h02_002_ha8_04_d02",200,0.9
"bt","bglm",25,0,10002,0,0,1,0.337432513497301,0.284543091381724,0,1,0,"h02_002_ha8_04_d02",100,0
"bt","bglm",25,0.5,10002,0,0,1,0.434313137372525,0.233353329334133,0,1,0,"h02_002_ha8_04_d02",100,0.5
"bt","bglm",25,0.9,10002,0,0,1,0.774745050989802,0.188262347530494,0,1,0,"h02_002_ha8_04_d02",100,0.9
"bt","bglm",50,0,10002,0,0,1,1.10827834433113,0.687162567486503,0,1,0,"h02_002_ha8_04_d02",200,0
"bt","bglm",50,0.5,10002,0,0,1,1.19336132773445,0.484603079384123,0,1,0,"h02_002_ha8_04_d02",200,0.5
"bt","bglm",50,0.9,10002,0,0,1,1.84033193361328,0.384123175364927,0,1,0,"h02_002_ha8_04_d02",200,0.9
"bt","glm",25,0,10002,0,0,1,0.434513097380524,0.35502899420116,0,1,0,"h02_002_ha8_04_d02",100,0
"bt","glm",25,0.5,10002,0,0,1,0.501899620075985,0.264647070585883,0,1,0,"h02_002_ha8_04_d02",100,0.5
"bt","glm",25,0.9,10002,0,0,1,0.933313337332534,0.22005598880224,0,1,0,"h02_002_ha8_04_d02",100,0.9
"bt","glm",50,0,10002,0,0,1,1.15436912617477,0.706458708258348,0,1,0,"h02_002_ha8_04_d02",200,0
"bt","glm",50,0.5,10002,0,0,1,1.30653869226155,0.517796440711858,0,1,0,"h02_002_ha8_04_d02",200,0.5
"bt","glm",50,0.9,10002,0,0,1,2.06028794241152,0.412417516496701,0,1,0,"h02_002_ha8_04_d02",200,0.9
"mmm","bglm",25,0,10002,0,0,1,0.22255548890222,0.201859628074385,0,1,0,"h02_002_ha8_04_d02",100,0
"mmm","bglm",25,0.5,10002,0,0,1,0.243351329734053,0.147970405918816,0,1,0,"h02_002_ha8_04_d02",100,0.5
"mmm","bglm",25,0.9,10002,0,0,1,0.441011797640472,0.120775844831034,0,1,0,"h02_002_ha8_04_d02",100,0.9
"mmm","bglm",50,0,10002,0,0,1,0.87122575484903,0.592781443711258,0,1,0,"h02_002_ha8_04_d02",200,0
"mmm","bglm",50,0.5,10002,0,0,1,0.999200159968006,0.437612477504499,0,1,0,"h02_002_ha8_04_d02",200,0.5
"mmm","bglm",50,0.9,10002,0,0,1,1.50049990002,0.32623475304939,0,1,0,"h02_002_ha8_04_d02",200,0.9
"mmm","glm",25,0,10000,0,0,0.5493,0.1243,0.1111,0,0.4507,0,"h02_002_ha8_04_d02",100,0
"mmm","glm",25,0.5,10000,0,0,0.5857,0.1368,0.0818,0,0.4143,0,"h02_002_ha8_04_d02",100,0.5
"mmm","glm",25,0.9,10000,0,0,0.6912,0.2662,0.0733,0.009,0.3088,0,"h02_002_ha8_04_d02",100,0.9
"mmm","glm",50,0,10000,0,0,0.5709,0.6148,0.3888,0,0.4291,0,"h02_002_ha8_04_d02",200,0
"mmm","glm",50,0.5,10000,0,0,0.609,0.6442,0.2709,0.0026,0.391,0,"h02_002_ha8_04_d02",200,0.5
"mmm","glm",50,0.9,10000,0,0,0.7027,0.966,0.2089,0.0503,0.2973,0,"h02_002_ha8_04_d02",200,0.9
"bonf","bglm",25,0,10002,0,0,1,0.0286942611477704,0.0272945410917816,0,1,0,"h02_002_ha8_04_s01",100,0
"bonf","bglm",25,0.5,10002,0,0,1,0.0287942411517696,0.0243951209758048,0,1,0,"h02_002_ha8_04_s01",100,0.5
"bonf","bglm",25,0.9,10002,0,0,1,0.0240951809638072,0.00999800039992002,0,1,0,"h02_002_ha8_04_s01",100,0.9
"bonf","bglm",50,0,10002,0,0,1,0.0581883623275345,0.0535892821435713,0,1,0,"h02_002_ha8_04_s01",200,0
"bonf","bglm",50,0.5,10002,0,0,1,0.0641871625674865,0.0460907818436313,0,1,0,"h02_002_ha8_04_s01",200,0.5
"bonf","bglm",50,0.9,10002,0,0,1,0.0738852229554089,0.0231953609278144,0,1,0,"h02_002_ha8_04_s01",200,0.9
"bonf","glm",25,0,10002,0,0,1,0.0361927614477105,0.0345930813837233,0,1,0,"h02_002_ha8_04_s01",100,0
"bonf","glm",25,0.5,10002,0,0,1,0.0376924615076985,0.02999400119976,0,1,0,"h02_002_ha8_04_s01",100,0.5
"bonf","glm",25,0.9,10002,0,0,1,0.0377924415116977,0.0131973605278944,0,1,0,"h02_002_ha8_04_s01",100,0.9
"bonf","glm",50,0,10002,0,0,1,0.108878224355129,0.0982803439312138,0,1,0,"h02_002_ha8_04_s01",200,0
"bonf","glm",50,0.5,10002,0,0,1,0.107278544291142,0.0732853429314137,0,1,0,"h02_002_ha8_04_s01",200,0.5
"bonf","glm",50,0.9,10002,0,0,1,0.111677664467107,0.0333933213357329,0,1,0,"h02_002_ha8_04_s01",200,0.9
"bt","bglm",25,0,10002,0,0,1,0.0682863427314537,0.0634873025394921,0,1,0,"h02_002_ha8_04_s01",100,0
"bt","bglm",25,0.5,10002,0,0,1,0.0901819636072786,0.0657868426314737,0,1,0,"h02_002_ha8_04_s01",100,0.5
"bt","bglm",25,0.9,10002,0,0,1,0.190061987602479,0.0565886822635473,0,1,0,"h02_002_ha8_04_s01",100,0.9
"bt","bglm",50,0,10002,0,0,1,0.109078184363127,0.0977804439112178,0,1,0,"h02_002_ha8_04_s01",200,0
"bt","bglm",50,0.5,10002,0,0,1,0.11747650469906,0.0795840831833633,0,1,0,"h02_002_ha8_04_s01",200,0.5
"bt","bglm",50,0.9,10002,0,0,1,0.279544091181764,0.0791841631673665,0,1,0,"h02_002_ha8_04_s01",200,0.9
"bt","glm",25,0,10002,0,0,1,0.0959808038392322,0.0881823635272945,0,1,0,"h02_002_ha8_04_s01",100,0
"bt","glm",25,0.5,10002,0,0,1,0.111677664467107,0.0767846430713857,0,1,0,"h02_002_ha8_04_s01",100,0.5
"bt","glm",25,0.9,10002,0,0,1,0.258448310337932,0.0737852429514097,0,1,0,"h02_002_ha8_04_s01",100,0.9
"bt","glm",50,0,10002,0,0,1,0.155868826234753,0.132773445310938,0,1,0,"h02_002_ha8_04_s01",200,0
"bt","glm",50,0.5,10002,0,0,1,0.175264947010598,0.114277144571086,0,1,0,"h02_002_ha8_04_s01",200,0.5
"bt","glm",50,0.9,10002,0,0,1,0.401419716056789,0.100579884023195,0,1,0,"h02_002_ha8_04_s01",200,0.9
"mmm","bglm",25,0,10002,0,0,1,0.0365926814637073,0.0344931013797241,0,1,0,"h02_002_ha8_04_s01",100,0
"mmm","bglm",25,0.5,10002,0,0,1,0.0412917416516697,0.0327934413117376,0,1,0,"h02_002_ha8_04_s01",100,0.5
"mmm","bglm",25,0.9,10002,0,0,1,0.0924815036992601,0.0307938412317536,0,1,0,"h02_002_ha8_04_s01",100,0.9
"mmm","bglm",50,0,10002,0,0,1,0.0672865426914617,0.0623875224955009,0,1,0,"h02_002_ha8_04_s01",200,0
"mmm","bglm",50,0.5,10002,0,0,1,0.0984803039392122,0.0700859828034393,0,1,0,"h02_002_ha8_04_s01",200,0.5
"mmm","bglm",50,0.9,10002,0,0,1,0.187562487502499,0.0579884023195361,0,1,0,"h02_002_ha8_04_s01",200,0.9
"mmm","glm",25,0,10000,0,0,0.5629,0.0191,0.0185,0,0.4371,0,"h02_002_ha8_04_s01",100,0
"mmm","glm",25,0.5,10000,0,0,0.5892,0.0213,0.0171,0,0.4108,0,"h02_002_ha8_04_s01",100,0.5
"mmm","glm",25,0.9,10000,0,0,0.6909,0.0798,0.0248,0.0014,0.3091,0,"h02_002_ha8_04_s01",100,0.9
"mmm","glm",50,0,10000,0,0,0.5653,0.063,0.0556,0,0.4347,0,"h02_002_ha8_04_s01",200,0
"mmm","glm",50,0.5,10000,0,0,0.6181,0.0694,0.0458,0,0.3819,0,"h02_002_ha8_04_s01",200,0.5
"mmm","glm",50,0.9,10000,0,0,0.7115,0.1652,0.0455,0.0033,0.2885,0,"h02_002_ha8_04_s01",200,0.9
"bonf","bglm",25,0,10002,0,0,1,0.098380323935213,0.0915816836632673,0,1,0,"h02_002_ha8_04_s02",100,0
"bonf","bglm",25,0.5,10002,0,0,1,0.0955808838232353,0.0658868226354729,0,1,0,"h02_002_ha8_04_s02",100,0.5
"bonf","bglm",25,0.9,10002,0,0,1,0.102579484103179,0.0316936612677464,0,1,0,"h02_002_ha8_04_s02",100,0.9
"bonf","bglm",50,0,10002,0,0,1,0.343831233753249,0.27624475104979,0,1,0,"h02_002_ha8_04_s02",200,0
"bonf","bglm",50,0.5,10002,0,0,1,0.340531893621276,0.188662267546491,0,1,0,"h02_002_ha8_04_s02",200,0.5
"bonf","bglm",50,0.9,10002,0,0,1,0.344031193761248,0.0900819836032793,0,1,0,"h02_002_ha8_04_s02",200,0.9
"bonf","glm",25,0,10002,0,0,1,0.138972205558888,0.122575484903019,0,1,0,"h02_002_ha8_04_s02",100,0
"bonf","glm",25,0.5,10002,0,0,1,0.130773845230954,0.0885822835432913,0,1,0,"h02_002_ha8_04_s02",100,0.5
"bonf","glm",25,0.9,10002,0,0,1,0.139472105578884,0.0406918616276745,0,1,0,"h02_002_ha8_04_s02",100,0.9
"bonf","glm",50,0,10002,0,0,1,0.530793841231754,0.391721655668866,0,1,0,"h02_002_ha8_04_s02",200,0
"bonf","glm",50,0.5,10002,0,0,1,0.518196360727854,0.258948210357928,0,1,0,"h02_002_ha8_04_s02",200,0.5
"bonf","glm",50,0.9,10002,0,0,1,0.519296140771846,0.128674265146971,0,1,0,"h02_002_ha8_04_s02",200,0.9
"bt","bglm",25,0,10002,0,0,1,0.182563487302539,0.157068586282743,0,1,0,"h02_002_ha8_04_s02",100,0
"bt","bglm",25,0.5,10002,0,0,1,0.276644671065787,0.159568086382723,0,1,0,"h02_002_ha8_04_s02",100,0.5
"bt","bglm",25,0.9,10002,0,0,1,0.505098980203959,0.123175364927015,0,1,0,"h02_002_ha8_04_s02",100,0.9
"bt","bglm",50,0,10002,0,0,1,0.553089382123575,0.4000199960008,0,1,0,"h02_002_ha8_04_s02",200,0
"bt","bglm",50,0.5,10002,0,0,1,0.569886022795441,0.275144971005799,0,1,0,"h02_002_ha8_04_s02",200,0.5
"bt","bglm",50,0.9,10002,0,0,1,1.10467906418716,0.234553089382124,0,1,0,"h02_002_ha8_04_s02",200,0.9
"bt","glm",25,0,10002,0,0,1,0.271345730853829,0.21755648870226,0,1,0,"h02_002_ha8_04_s02",100,0
"bt","glm",25,0.5,10002,0,0,1,0.31873625274945,0.178064387122575,0,1,0,"h02_002_ha8_04_s02",100,0.5
"bt","glm",25,0.9,10002,0,0,1,0.64497100579884,0.149570085982803,0,1,0,"h02_002_ha8_04_s02",100,0.9
"bt","glm",50,0,10002,0,0,1,0.644471105778844,0.444111177764447,0,1,0,"h02_002_ha8_04_s02",200,0
"bt","glm",50,0.5,10002,0,0,1,0.721555688862228,0.319736052789442,0,1,0,"h02_002_ha8_04_s02",200,0.5
"bt","glm",50,0.9,10002,0,0,1,1.31553689262148,0.257848430313937,0,1,0,"h02_002_ha8_04_s02",200,0.9
"mmm","bglm",25,0,10002,0,0,1,0.118276344731054,0.106778644271146,0,1,0,"h02_002_ha8_04_s02",100,0
"mmm","bglm",25,0.5,10002,0,0,1,0.137372525494901,0.0906818636272745,0,1,0,"h02_002_ha8_04_s02",100,0.5
"mmm","bglm",25,0.9,10002,0,0,1,0.286042791441712,0.0767846430713857,0,1,0,"h02_002_ha8_04_s02",100,0.9
"mmm","bglm",50,0,10002,0,0,1,0.363127374525095,0.290741851629674,0,1,0,"h02_002_ha8_04_s02",200,0
"mmm","bglm",50,0.5,10002,0,0,1,0.441111777644471,0.236352729454109,0,1,0,"h02_002_ha8_04_s02",200,0.5
"mmm","bglm",50,0.9,10002,0,0,1,0.80503899220156,0.182263547290542,0,1,0,"h02_002_ha8_04_s02",200,0.9
"mmm","glm",25,0,10000,0,0,0.5571,0.0714,0.0632,0,0.4429,0,"h02_002_ha8_04_s02",100,0
"mmm","glm",25,0.5,10000,0,0,0.5864,0.0786,0.0501,0,0.4136,0,"h02_002_ha8_04_s02",100,0.5
"mmm","glm",25,0.9,10000,0,0,0.6965,0.2162,0.0531,0.0043,0.3035,0,"h02_002_ha8_04_s02",100,0.9
"mmm","glm",50,0,10000,0,0,0.5678,0.3133,0.2273,0,0.4322,0,"h02_002_ha8_04_s02",200,0
"mmm","glm",50,0.5,10000,0,0,0.6215,0.3337,0.1604,0.0014,0.3785,0,"h02_002_ha8_04_s02",200,0.5
"mmm","glm",50,0.9,10000,0,0,0.7003,0.5805,0.1228,0.0136,0.2997,0,"h02_002_ha8_04_s02",200,0.9
"bonf","bglm",25,0,10002,0.00339932013597281,0.00329934013197361,0.996700659868026,0.00829834033193361,0.00829834033193361,0,1,0,"h02_04_ha8_01_d01",100,0
"bonf","bglm",25,0.5,10002,0.0028994201159768,0.0028994201159768,0.997100579884023,0.00469906018796241,0.00399920015996801,0,1,0,"h02_04_ha8_01_d01",100,0.5
"bonf","bglm",25,0.9,10002,0.0022995400919816,0.0015996800639872,0.998400319936013,0.00679864027194561,0.0020995800839832,0,1,0,"h02_04_ha8_01_d01",100,0.9
"bonf","bglm",50,0,10002,0.00469906018796241,0.00449910017996401,0.995500899820036,0.101579684063187,0.0966806638672266,0,1,0,"h02_04_ha8_01_d01",200,0
"bonf","bglm",50,0.5,10002,0.00529894021195761,0.00509898020395921,0.994901019796041,0.0916816636672665,0.0652869426114777,0,1,0,"h02_04_ha8_01_d01",200,0.5
"bonf","bglm",50,0.9,10002,0.00419916016796641,0.0031993601279744,0.996800639872026,0.103179364127175,0.0310937812437512,0,1,0,"h02_04_ha8_01_d01",200,0.9
"bonf","glm",25,0,10002,0.00519896020795841,0.00509898020395921,0.994901019796041,9.99800039992002e-05,9.99800039992002e-05,0,1,0,"h02_04_ha8_01_d01",100,0
"bonf","glm",25,0.5,10002,0.00449910017996401,0.00429914017196561,0.995700859828034,0.0001999600079984,0.0001999600079984,0,1,0,"h02_04_ha8_01_d01",100,0.5
"bonf","glm",25,0.9,10002,0.0030993801239752,0.0026994601079784,0.997300539892022,0.0001999600079984,0.0001999600079984,0,1,0,"h02_04_ha8_01_d01",100,0.9
