"method","model","ntrt","corr","nsim","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","setting","N","cor"
"bt","bglm",50,0.5,10000,0.0523,0.0445,0.9555,0,0,0,0,0,"h010_4x001_3x025_3x05",200,0.5
"bt","bglm",50,0.9,10000,0.0679,0.0384,0.9616,0,0,0,0,0,"h010_4x001_3x025_3x05",200,0.9
"bt","glm",25,0,10000,0.0535,0.0476,0.9524,0,0,0,0,0,"h010_4x001_3x025_3x05",100,0
"bt","glm",25,0.5,10000,0.0629,0.0523,0.9477,0,0,0,0,0,"h010_4x001_3x025_3x05",100,0.5
"bt","glm",25,0.9,10000,0.0893,0.05,0.95,0,0,0,0,0,"h010_4x001_3x025_3x05",100,0.9
"bt","glm",50,0,10000,0.0542,0.0501,0.9499,0,0,0,0,0,"h010_4x001_3x025_3x05",200,0
"bt","glm",50,0.5,10000,0.064,0.0535,0.9465,0,0,0,0,0,"h010_4x001_3x025_3x05",200,0.5
"bt","glm",50,0.9,10000,0.0895,0.0523,0.9477,0,0,0,0,0,"h010_4x001_3x025_3x05",200,0.9
"mmm","bglm",25,0,10000,0.009,0.0087,0.9913,0,0,0,0,0,"h010_4x001_3x025_3x05",100,0
"mmm","bglm",25,0.5,10000,0.0092,0.0087,0.9913,0,0,0,0,0,"h010_4x001_3x025_3x05",100,0.5
"mmm","bglm",25,0.9,10000,0.0246,0.0147,0.9853,0,0,0,0,0,"h010_4x001_3x025_3x05",100,0.9
"mmm","bglm",50,0,10000,0.017,0.0165,0.9835,0,0,0,0,0,"h010_4x001_3x025_3x05",200,0
"mmm","bglm",50,0.5,10000,0.0239,0.0213,0.9787,0,0,0,0,0,"h010_4x001_3x025_3x05",200,0.5
"mmm","bglm",50,0.9,10000,0.0345,0.0219,0.9781,0,0,0,0,0,"h010_4x001_3x025_3x05",200,0.9
"mmm","glm",25,0,10000,0.0017,0.0017,0.3302,0,0,0,0.6681,0,"h010_4x001_3x025_3x05",100,0
"mmm","glm",25,0.5,10000,0.0056,0.0053,0.4892,0,0,0,0.5055,0,"h010_4x001_3x025_3x05",100,0.5
"mmm","glm",25,0.9,10000,0.0187,0.0117,0.6901,0,0,0,0.2982,0,"h010_4x001_3x025_3x05",100,0.9
"mmm","glm",50,0,10000,0.0024,0.0022,0.193,0,0,0,0.8048,0,"h010_4x001_3x025_3x05",200,0
"mmm","glm",50,0.5,10000,0.0055,0.0051,0.3406,0,0,0,0.6543,0,"h010_4x001_3x025_3x05",200,0.5
"mmm","glm",50,0.9,10000,0.0224,0.0138,0.5635,0,0,0,0.4227,0,"h010_4x001_3x025_3x05",200,0.9
"bonf","bglm",25,0,10000,0.0064,0.0064,0.9936,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0
"bonf","bglm",25,0.5,10000,0.0077,0.0073,0.9927,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.5
"bonf","bglm",25,0.9,10000,0.0082,0.0057,0.9943,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.9
"bonf","bglm",50,0,10000,0.0147,0.0141,0.9859,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0
"bonf","bglm",50,0.5,10000,0.0175,0.0156,0.9844,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.5
"bonf","bglm",50,0.9,10000,0.0129,0.0083,0.9917,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.9
"bonf","glm",25,0,10000,0.0105,0.0101,0.9899,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0
"bonf","glm",25,0.5,10000,0.0128,0.012,0.988,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.5
"bonf","glm",25,0.9,10000,0.0105,0.0064,0.9936,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.9
"bonf","glm",50,0,10000,0.0202,0.0192,0.9808,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0
"bonf","glm",50,0.5,10000,0.0224,0.0204,0.9796,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.5
"bonf","glm",50,0.9,10000,0.0228,0.0132,0.9868,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.9
"bt","bglm",25,0,10000,0.0413,0.0382,0.9618,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0
"bt","bglm",25,0.5,10000,0.0434,0.0393,0.9607,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.5
"bt","bglm",25,0.9,10000,0.0797,0.0461,0.9539,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.9
"bt","bglm",50,0,10000,0.0448,0.0418,0.9582,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0
"bt","bglm",50,0.5,10000,0.049,0.0436,0.9564,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.5
"bt","bglm",50,0.9,10000,0.0681,0.0398,0.9602,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.9
"bt","glm",25,0,10000,0.0551,0.051,0.949,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0
"bt","glm",25,0.5,10000,0.0562,0.0492,0.9508,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.5
"bt","glm",25,0.9,10000,0.0916,0.0507,0.9493,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.9
"bt","glm",50,0,10000,0.0567,0.052,0.948,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0
"bt","glm",50,0.5,10000,0.058,0.0496,0.9504,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.5
"bt","glm",50,0.9,10000,0.0901,0.0496,0.9504,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.9
"mmm","bglm",25,0,10000,0.0087,0.0087,0.9913,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0
"mmm","bglm",25,0.5,10000,0.0123,0.0111,0.9889,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.5
"mmm","bglm",25,0.9,10000,0.0152,0.0106,0.9894,0,0,0,0,0,"h010_4x01_3x03_3x05",100,0.9
"mmm","bglm",50,0,10000,0.0157,0.0152,0.9848,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0
"mmm","bglm",50,0.5,10000,0.0178,0.0156,0.9844,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.5
"mmm","bglm",50,0.9,10000,0.0364,0.022,0.978,0,0,0,0,0,"h010_4x01_3x03_3x05",200,0.9
"mmm","glm",25,0,10000,0.0107,0.0102,0.8729,0,0,0,0.1169,0,"h010_4x01_3x03_3x05",100,0
"mmm","glm",25,0.5,10000,0.0083,0.0076,0.882,0,0,0,0.1104,0,"h010_4x01_3x03_3x05",100,0.5
"mmm","glm",25,0.9,10000,0.0293,0.0171,0.9066,0,0,0,0.0763,0,"h010_4x01_3x03_3x05",100,0.9
