"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"127","bonf","glm",1667,50,0.5,0,0,61,49,1618,382,312,70
"128","mmm","glm",1667,50,0.5,0,7,52,48,1612,534,424,110
"129","bt","glm",1667,50,0.5,0,0,112,90,1577,712,540,172
"130","bonf","bglm",1667,50,0.5,0,0,32,29,1638,652,514,138
"131","mmm","bglm",1667,50,0.5,0,0,34,31,1636,676,521,155
"132","bt","bglm",1667,50,0.5,0,0,68,46,1621,869,665,204
"133","bonf","glm",1667,25,0.9,0,0,23,12,1655,13,10,3
"134","mmm","glm",1667,25,0.9,0,84,92,30,1553,62,40,22
"135","bt","glm",1667,25,0.9,0,0,319,94,1573,158,109,49
"136","bonf","bglm",1667,25,0.9,0,0,13,6,1661,85,58,27
"137","mmm","bglm",1667,25,0.9,0,0,64,25,1642,201,132,69
"138","bt","bglm",1667,25,0.9,0,0,182,63,1604,486,304,182
"139","bonf","glm",1667,50,0.9,0,0,62,22,1645,440,278,162
"140","mmm","glm",1667,50,0.9,0,7,137,40,1620,749,467,282
"141","bt","glm",1667,50,0.9,0,0,165,61,1606,1070,656,414
"142","bonf","bglm",1667,50,0.9,0,0,28,14,1653,671,415,256
"143","mmm","bglm",1667,50,0.9,0,0,129,43,1624,975,584,391
"144","bt","bglm",1667,50,0.9,0,0,164,47,1620,1290,747,540
"145","bonf","glm",1667,25,0,0,0,24,23,1644,9,9,0
"146","mmm","glm",1667,25,0,0,77,27,26,1564,4,4,0
"147","bt","glm",1667,25,0,0,0,100,91,1576,51,51,0
"148","bonf","bglm",1667,25,0,0,0,26,26,1641,88,87,1
"149","mmm","bglm",1667,25,0,0,0,20,20,1647,91,91,0
"150","bt","bglm",1667,25,0,0,0,62,61,1606,213,209,4
"151","bonf","glm",1667,50,0,0,0,44,40,1627,389,366,23
"152","mmm","glm",1667,50,0,0,5,73,64,1598,462,425,37
"153","bt","glm",1667,50,0,0,0,80,74,1593,635,574,61
"154","bonf","bglm",1667,50,0,0,0,38,36,1631,634,574,60
"155","mmm","bglm",1667,50,0,0,0,34,34,1633,663,594,69
"156","bt","bglm",1667,50,0,0,0,79,71,1596,809,710,99
"157","bonf","glm",1667,25,0.5,0,0,27,23,1644,2,2,0
"158","mmm","glm",1667,25,0.5,0,88,42,32,1547,15,13,2
"159","bt","glm",1667,25,0.5,0,0,113,79,1588,63,61,2
"160","bonf","bglm",1667,25,0.5,0,0,17,16,1651,61,57,4
"161","mmm","bglm",1667,25,0.5,0,0,24,22,1645,114,94,20
"162","bt","bglm",1667,25,0.5,0,0,84,72,1595,243,211,32
"163","bonf","glm",1667,50,0.5,0,0,57,49,1618,381,310,71
"164","mmm","glm",1667,50,0.5,0,7,58,51,1609,536,428,108
"165","bt","glm",1667,50,0.5,0,0,93,80,1587,633,498,135
"166","bonf","bglm",1667,50,0.5,0,0,26,23,1644,625,486,139
"167","mmm","bglm",1667,50,0.5,0,0,30,26,1641,707,538,169
"168","bt","bglm",1667,50,0.5,0,0,77,61,1606,933,691,242
"169","bonf","glm",1667,25,0.9,0,0,37,12,1655,8,5,3
"170","mmm","glm",1667,25,0.9,0,82,57,27,1558,49,31,18
"171","bt","glm",1667,25,0.9,0,0,291,73,1594,182,128,54
"172","bonf","bglm",1667,25,0.9,0,0,32,9,1658,57,39,18
"173","mmm","bglm",1667,25,0.9,0,0,79,30,1637,217,142,75
"174","bt","bglm",1667,25,0.9,0,0,240,80,1587,462,291,167
"175","bonf","glm",1667,50,0.9,0,0,51,22,1645,401,259,142
"176","mmm","glm",1667,50,0.9,0,3,158,43,1621,767,470,297
"177","bt","glm",1667,50,0.9,0,0,224,85,1582,1041,623,418
"178","bonf","bglm",1667,50,0.9,0,0,38,16,1651,649,403,246
"179","mmm","bglm",1667,50,0.9,0,0,118,42,1625,1034,618,416
"180","bt","bglm",1667,50,0.9,0,0,199,66,1601,1302,772,527
"181","bonf","glm",1667,25,0,0,0,28,26,1641,12,12,0
"182","mmm","glm",1667,25,0,0,85,24,23,1559,12,12,0
"183","bt","glm",1667,25,0,0,0,94,86,1581,44,44,0
"184","bonf","bglm",1667,25,0,0,0,31,29,1638,95,91,4
"185","mmm","bglm",1667,25,0,0,0,29,29,1638,57,57,0
"186","bt","bglm",1667,25,0,0,0,61,57,1610,233,219,14
"187","bonf","glm",1667,50,0,0,0,60,56,1611,386,360,26
"188","mmm","glm",1667,50,0,0,9,63,58,1600,436,405,31
"189","bt","glm",1667,50,0,0,0,77,70,1597,629,563,66
"190","bonf","bglm",1667,50,0,0,0,38,36,1631,624,568,56
"191","mmm","bglm",1667,50,0,0,0,36,33,1634,640,575,65
"192","bt","bglm",1667,50,0,0,0,71,70,1597,835,737,98
"193","bonf","glm",1667,25,0.5,0,0,22,20,1647,10,9,1
"194","mmm","glm",1667,25,0.5,0,76,28,25,1566,8,8,0
"195","bt","glm",1667,25,0.5,0,0,111,93,1574,82,76,6
"196","bonf","bglm",1667,25,0.5,0,0,23,21,1646,68,63,5
"197","mmm","bglm",1667,25,0.5,0,0,33,25,1642,118,106,12
"198","bt","bglm",1667,25,0.5,0,0,94,76,1591,232,197,35
"199","bonf","glm",1667,50,0.5,0,0,46,41,1626,350,290,60
"200","mmm","glm",1667,50,0.5,0,5,62,44,1618,487,398,89
"201","bt","glm",1667,50,0.5,0,0,123,89,1578,730,564,166
"202","bonf","bglm",1667,50,0.5,0,0,30,28,1639,632,496,136
"203","mmm","bglm",1667,50,0.5,0,0,56,42,1625,667,525,142
"204","bt","bglm",1667,50,0.5,0,0,85,68,1599,901,694,207
"205","bonf","glm",1667,25,0.9,0,0,28,10,1657,14,10,4
"206","mmm","glm",1667,25,0.9,0,80,88,33,1554,49,34,15
"207","bt","glm",1667,25,0.9,0,0,275,82,1585,150,99,51
"208","bonf","bglm",1667,25,0.9,0,0,16,7,1660,71,48,23
"209","mmm","bglm",1667,25,0.9,0,0,84,34,1633,221,140,81
"210","bt","bglm",1667,25,0.9,0,0,173,59,1608,444,284,160
"211","bonf","glm",1667,50,0.9,0,0,58,25,1642,407,261,146
"212","mmm","glm",1667,50,0.9,0,9,126,47,1611,884,546,338
"213","bt","glm",1667,50,0.9,0,0,195,79,1588,1049,632,415
"214","bonf","bglm",1667,50,0.9,0,0,28,11,1656,675,409,266
"215","mmm","bglm",1667,50,0.9,0,0,104,41,1626,975,580,390
"216","bt","bglm",1667,50,0.9,0,0,144,55,1612,1245,728,512
