"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"1","bonf","glm",1667,25,0,0,0,21,19,1648,6,6,0
"2","mmm","glm",1667,25,0,0,98,30,29,1540,8,8,0
"3","bt","glm",1667,25,0,0,0,99,92,1575,49,49,0
"4","bonf","bglm",1667,25,0,0,0,14,13,1654,67,65,2
"5","mmm","bglm",1667,25,0,0,0,31,30,1637,98,96,2
"6","bt","bglm",1667,25,0,0,0,55,54,1613,232,225,7
"7","bonf","glm",1667,50,0,0,0,40,38,1629,401,375,26
"8","mmm","glm",1667,50,0,0,9,54,52,1606,443,413,30
"9","bt","glm",1667,50,0,0,0,91,82,1585,645,576,69
"10","bonf","bglm",1667,50,0,0,0,32,31,1636,627,561,66
"11","mmm","bglm",1667,50,0,0,0,36,34,1633,633,569,64
"12","bt","bglm",1667,50,0,0,0,61,56,1611,838,730,108
"13","bonf","glm",1667,25,0.5,0,0,20,18,1649,9,8,1
"14","mmm","glm",1667,25,0.5,0,77,25,24,1566,15,15,0
"15","bt","glm",1667,25,0.5,0,0,114,85,1582,85,75,10
"16","bonf","bglm",1667,25,0.5,0,0,29,25,1642,102,87,15
"17","mmm","bglm",1667,25,0.5,0,0,32,27,1640,98,87,11
"18","bt","bglm",1667,25,0.5,0,0,66,49,1618,256,215,41
"19","bonf","glm",1667,50,0.5,0,0,39,33,1634,363,306,57
"20","mmm","glm",1667,50,0.5,0,9,52,44,1614,495,400,95
"21","bt","glm",1667,50,0.5,0,0,124,90,1577,685,539,146
"22","bonf","bglm",1667,50,0.5,0,0,34,31,1636,662,506,156
"23","mmm","bglm",1667,50,0.5,0,0,34,31,1636,721,549,172
"24","bt","bglm",1667,50,0.5,0,0,91,75,1592,882,658,224
"25","bonf","glm",1667,25,0.9,0,0,37,16,1651,12,9,3
"26","mmm","glm",1667,25,0.9,0,75,97,28,1564,46,32,14
"27","bt","glm",1667,25,0.9,0,0,312,92,1575,146,103,43
"28","bonf","bglm",1667,25,0.9,0,0,28,10,1657,100,66,34
"29","mmm","bglm",1667,25,0.9,0,0,43,18,1649,210,139,71
"30","bt","bglm",1667,25,0.9,0,0,224,76,1591,469,303,166
"31","bonf","glm",1667,50,0.9,0,0,67,25,1642,373,241,132
"32","mmm","glm",1667,50,0.9,0,14,87,36,1617,883,543,340
"33","bt","glm",1667,50,0.9,0,0,268,72,1595,1087,650,437
"34","bonf","bglm",1667,50,0.9,0,0,34,14,1653,626,394,232
"35","mmm","bglm",1667,50,0.9,0,0,96,37,1630,1019,605,414
"36","bt","bglm",1667,50,0.9,0,0,161,55,1612,1242,729,513
"37","bonf","glm",1667,25,0,0,0,37,32,1635,8,8,0
"38","mmm","glm",1667,25,0,0,86,24,22,1559,11,11,0
"39","bt","glm",1667,25,0,0,0,104,94,1573,45,45,0
"40","bonf","bglm",1667,25,0,0,0,29,28,1639,77,76,1
"41","mmm","bglm",1667,25,0,0,0,22,22,1645,64,63,1
"42","bt","bglm",1667,25,0,0,0,89,79,1588,233,227,6
"43","bonf","glm",1667,50,0,0,0,69,66,1601,382,359,23
"44","mmm","glm",1667,50,0,0,3,85,79,1585,439,413,26
"45","bt","glm",1667,50,0,0,0,93,90,1577,604,547,57
"46","bonf","bglm",1667,50,0,0,0,38,38,1629,607,563,44
"47","mmm","bglm",1667,50,0,0,0,46,44,1623,664,602,62
"48","bt","bglm",1667,50,0,0,0,72,68,1599,850,742,108
"49","bonf","glm",1667,25,0.5,0,0,38,31,1636,8,7,1
"50","mmm","glm",1667,25,0.5,0,78,38,31,1558,10,10,0
"51","bt","glm",1667,25,0.5,0,0,93,76,1591,82,76,6
"52","bonf","bglm",1667,25,0.5,0,0,23,20,1647,72,66,6
"53","mmm","bglm",1667,25,0.5,0,0,27,22,1645,103,94,9
"54","bt","bglm",1667,25,0.5,0,0,92,78,1589,263,230,33
"55","bonf","glm",1667,50,0.5,0,0,49,43,1624,370,298,72
"56","mmm","glm",1667,50,0.5,0,9,72,55,1603,525,427,98
"57","bt","glm",1667,50,0.5,0,0,90,67,1600,653,513,140
"58","bonf","bglm",1667,50,0.5,0,0,31,26,1641,646,499,147
"59","mmm","bglm",1667,50,0.5,0,0,53,43,1624,704,555,149
"60","bt","bglm",1667,50,0.5,0,0,77,64,1603,944,720,224
"61","bonf","glm",1667,25,0.9,0,0,22,12,1655,6,5,1
"62","mmm","glm",1667,25,0.9,0,90,90,27,1550,41,30,11
"63","bt","glm",1667,25,0.9,0,0,339,94,1573,137,94,43
"64","bonf","bglm",1667,25,0.9,0,0,31,14,1653,64,44,20
"65","mmm","bglm",1667,25,0.9,0,0,54,20,1647,206,140,66
"66","bt","bglm",1667,25,0.9,0,0,165,47,1620,433,273,160
"67","bonf","glm",1667,50,0.9,0,0,39,21,1646,361,236,125
"68","mmm","glm",1667,50,0.9,0,7,151,53,1607,778,493,285
"69","bt","glm",1667,50,0.9,0,0,294,88,1579,1080,644,436
"70","bonf","bglm",1667,50,0.9,0,0,50,23,1644,609,384,225
"71","mmm","bglm",1667,50,0.9,0,0,105,37,1630,1006,600,406
"72","bt","bglm",1667,50,0.9,0,0,176,61,1606,1228,737,486
"73","bonf","glm",1667,25,0,0,0,24,24,1643,6,6,0
"74","mmm","glm",1667,25,0,0,92,29,29,1546,13,13,0
"75","bt","glm",1667,25,0,0,0,105,100,1567,56,56,0
"76","bonf","bglm",1667,25,0,0,0,25,25,1642,78,77,1
"77","mmm","bglm",1667,25,0,0,0,26,25,1642,91,89,2
"78","bt","bglm",1667,25,0,0,0,63,57,1610,231,218,13
"79","bonf","glm",1667,50,0,0,0,52,48,1619,385,365,20
"80","mmm","glm",1667,50,0,0,6,61,58,1603,480,455,25
"81","bt","glm",1667,50,0,0,0,103,98,1569,607,555,52
"82","bonf","bglm",1667,50,0,0,0,44,42,1625,613,552,61
"83","mmm","bglm",1667,50,0,0,0,38,36,1631,648,593,55
"84","bt","bglm",1667,50,0,0,0,69,65,1602,804,706,98
"85","bonf","glm",1667,25,0.5,0,0,39,36,1631,13,13,0
"86","mmm","glm",1667,25,0.5,0,78,24,24,1565,14,13,1
"87","bt","glm",1667,25,0.5,0,0,124,85,1582,81,77,4
"88","bonf","bglm",1667,25,0.5,0,0,38,33,1634,82,73,9
"89","mmm","bglm",1667,25,0.5,0,0,30,27,1640,83,77,6
"90","bt","bglm",1667,25,0.5,0,0,86,66,1601,232,198,34
"91","bonf","glm",1667,50,0.5,0,0,56,48,1619,375,311,64
"92","mmm","glm",1667,50,0.5,0,6,64,49,1612,506,413,93
"93","bt","glm",1667,50,0.5,0,0,127,99,1568,682,533,149
"94","bonf","bglm",1667,50,0.5,0,0,41,36,1631,656,515,141
"95","mmm","bglm",1667,50,0.5,0,0,60,50,1617,680,549,131
"96","bt","bglm",1667,50,0.5,0,0,79,58,1609,921,694,227
"97","bonf","glm",1667,25,0.9,0,0,26,9,1658,8,6,2
"98","mmm","glm",1667,25,0.9,0,84,73,28,1555,55,39,16
"99","bt","glm",1667,25,0.9,0,0,266,91,1576,152,104,45
"100","bonf","bglm",1667,25,0.9,0,0,24,13,1654,76,57,19
"101","mmm","bglm",1667,25,0.9,0,0,104,32,1635,222,146,76
"102","bt","bglm",1667,25,0.9,0,0,221,65,1602,454,285,169
"103","bonf","glm",1667,50,0.9,0,0,61,23,1644,366,239,127
"104","mmm","glm",1667,50,0.9,0,4,122,49,1614,885,535,350
"105","bt","glm",1667,50,0.9,0,0,231,77,1590,1086,655,431
"106","bonf","bglm",1667,50,0.9,0,0,20,12,1655,622,385,237
"107","mmm","bglm",1667,50,0.9,0,0,89,34,1633,984,585,399
"108","bt","bglm",1667,50,0.9,0,0,214,61,1606,1238,730,501
"109","bonf","glm",1667,25,0,0,0,23,21,1646,7,7,0
"110","mmm","glm",1667,25,0,0,76,33,30,1561,8,8,0
"111","bt","glm",1667,25,0,0,0,98,87,1580,54,54,0
"112","bonf","bglm",1667,25,0,0,0,26,26,1641,77,77,0
"113","mmm","bglm",1667,25,0,0,0,22,21,1646,60,59,1
"114","bt","bglm",1667,25,0,0,0,72,68,1599,231,220,11
"115","bonf","glm",1667,50,0,0,0,61,58,1609,362,340,22
"116","mmm","glm",1667,50,0,0,8,73,70,1589,445,413,32
"117","bt","glm",1667,50,0,0,0,81,78,1589,604,550,54
"118","bonf","bglm",1667,50,0,0,0,36,34,1633,636,574,62
"119","mmm","bglm",1667,50,0,0,0,29,29,1638,685,611,74
"120","bt","bglm",1667,50,0,0,0,62,56,1611,838,728,110
"121","bonf","glm",1667,25,0.5,0,0,20,17,1650,16,16,0
"122","mmm","glm",1667,25,0.5,0,93,23,19,1555,15,14,1
"123","bt","glm",1667,25,0.5,0,0,91,72,1595,73,67,6
"124","bonf","bglm",1667,25,0.5,0,0,31,24,1643,61,58,3
"125","mmm","bglm",1667,25,0.5,0,0,30,27,1640,95,87,8
"126","bt","bglm",1667,25,0.5,0,0,67,55,1612,250,212,38
