"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,0,0,1667,48,44,0,NA
"2","mmm","bglm",1667,50,0,0,1667,1,1,1666,174,152,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,7,2,1665,145,89,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,2,2,1665,303,178,0,NA
"5","mmm","bglm",1667,25,0,0,1667,0,0,1667,40,38,0,NA
"6","mmm","bglm",1667,50,0,0,1667,0,0,1667,163,146,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,133,86,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,15,6,1661,323,187,0,NA
"9","mmm","bglm",1667,25,0,0,1667,0,0,1667,48,46,0,NA
"10","mmm","bglm",1667,50,0,0,1667,1,1,1666,160,144,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,117,80,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,12,4,1663,305,180,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,68,62,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,2,2,1665,200,159,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,50,45,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,3,3,1664,170,144,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,65,59,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,179,152,0,NA
"19","mmm","bglm",1667,25,0,0,1667,0,0,1667,43,41,0,NA
"20","mmm","bglm",1667,50,0,0,1667,4,4,1663,134,120,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,2,1,1666,114,75,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,1,1,1666,308,185,0,NA
"23","mmm","bglm",1667,25,0,0,1667,0,0,1667,57,55,0,NA
"24","mmm","bglm",1667,50,0,0,1667,0,0,1667,157,141,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,121,77,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,4,1,1666,351,206,0,NA
"27","mmm","bglm",1667,25,0,0,1667,0,0,1667,49,46,0,NA
"28","mmm","bglm",1667,50,0,0,1667,1,1,1666,145,133,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,1,1,1666,107,69,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,11,6,1661,312,183,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,58,52,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,1,1,1666,171,145,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,61,53,0,NA
"34","mmm","bglm",1667,50,0.5,0,1667,1,1,1666,191,151,0,NA
"35","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,51,48,0,NA
"36","mmm","bglm",1667,50,0.5,0,1667,2,2,1665,150,130,0,NA
"37","bonf","glm",1667,25,0,0,1667,0,0,1667,44,44,0,1
"38","bt","glm",1667,25,0,0,1667,3,2,1665,317,252,0,2
"39","bonf","bglm",1667,25,0,0,1667,0,0,1667,49,47,0,3
"40","bt","bglm",1667,25,0,0,1667,16,16,1651,265,230,0,4
"41","bonf","glm",1667,50,0,0,1667,0,0,1667,205,176,0,5
"42","bt","glm",1667,50,0,0,1667,15,14,1653,601,452,0,6
"43","bonf","bglm",1667,50,0,0,1667,2,2,1665,167,148,0,7
"44","bt","bglm",1667,50,0,0,1667,45,44,1623,457,370,0,8
"45","bonf","glm",1667,25,0.9,0,1667,0,0,1667,59,42,0,9
"46","bt","glm",1667,25,0.9,0,1667,8,1,1666,431,240,0,10
"47","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,39,28,0,11
"48","bt","bglm",1667,25,0.9,0,1667,27,10,1657,333,194,0,12
"49","bonf","glm",1667,50,0.9,0,1667,0,0,1667,220,141,0,13
"50","bt","glm",1667,50,0.9,0,1667,25,7,1660,711,362,0,14
"51","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,174,110,0,15
"52","bt","bglm",1667,50,0.9,0,1667,54,25,1642,615,322,0,16
"53","bonf","glm",1667,25,0,0,1667,0,0,1667,68,65,0,17
"54","bt","glm",1667,25,0,0,1667,2,2,1665,305,243,0,18
"55","bonf","bglm",1667,25,0,0,1667,0,0,1667,34,33,0,19
"56","bt","bglm",1667,25,0,0,1667,18,18,1649,287,253,0,20
"57","bonf","glm",1667,50,0,0,1667,0,0,1667,233,204,0,21
"58","bt","glm",1667,50,0,0,1667,9,8,1659,616,472,0,22
"59","bonf","bglm",1667,50,0,0,1667,2,2,1665,147,133,0,23
"60","bt","bglm",1667,50,0,0,1667,46,44,1623,506,396,0,24
"61","bonf","glm",1667,25,0.9,0,1667,0,0,1667,60,39,0,25
"62","bt","glm",1667,25,0.9,0,1667,0,0,1667,445,245,0,26
"63","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,54,38,0,27
"64","bt","bglm",1667,25,0.9,0,1667,33,12,1655,309,180,0,28
"65","bonf","glm",1667,50,0.9,0,1667,0,0,1667,212,132,0,29
