"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"79","bonf","bglm",1667,25,0.9,0,1667,1,1,1666,133,36,0,43
"80","bt","bglm",1667,25,0.9,0,1667,105,67,1600,3367,583,0,44
"81","bonf","glm",1667,50,0.9,0,1667,8,5,1662,182,52,0,45
"82","bt","glm",1667,50,0.9,0,1667,134,89,1578,3670,639,0,46
"83","bonf","bglm",1667,50,0.9,0,1667,4,3,1664,3037,569,0,47
"84","bt","bglm",1667,50,0.9,0,1667,73,50,1617,10210,1455,0,48
"85","bonf","glm",1667,25,0.5,0,1667,8,8,1659,0,0,0,49
"86","bt","glm",1667,25,0.5,0,1667,108,89,1578,126,91,0,50
"87","bonf","bglm",1667,25,0.5,0,1667,7,6,1661,90,60,0,51
"88","bt","bglm",1667,25,0.5,0,1667,75,67,1600,2521,903,0,52
"89","bonf","glm",1667,50,0.5,0,1667,10,9,1658,182,120,0,53
"90","bt","glm",1667,50,0.5,0,1667,111,93,1574,2885,1000,0,54
"91","bonf","bglm",1667,50,0.5,0,1667,9,9,1658,3159,1056,0,55
"92","bt","bglm",1667,50,0.5,0,1667,71,60,1607,9298,1615,0,56
"93","bonf","glm",1667,25,0.5,0,1667,5,5,1662,0,0,0,57
"94","bt","glm",1667,25,0.5,0,1667,96,82,1585,96,76,0,58
"95","bonf","bglm",1667,25,0.5,0,1667,10,10,1657,89,60,0,59
"96","bt","bglm",1667,25,0.5,0,1667,52,46,1621,2643,907,0,60
"97","bonf","glm",1667,50,0.5,0,1667,17,16,1651,191,133,0,61
"98","bt","glm",1667,50,0.5,0,1667,88,77,1590,2973,1031,0,62
"99","bonf","bglm",1667,50,0.5,0,1667,11,11,1656,3178,1038,0,63
"100","bt","bglm",1667,50,0.5,0,1667,56,50,1617,9301,1608,0,64
"101","bonf","glm",1667,25,0.5,0,1667,9,9,1658,0,0,0,65
"102","bt","glm",1667,25,0.5,0,1667,96,82,1585,122,79,0,66
"103","bonf","bglm",1667,25,0.5,0,1667,6,6,1661,108,79,0,67
"104","bt","bglm",1667,25,0.5,0,1667,82,71,1596,2790,927,0,68
"105","bonf","glm",1667,50,0.5,0,1667,14,11,1656,182,118,0,69
"106","bt","glm",1667,50,0.5,0,1667,83,72,1595,2743,985,0,70
"107","bonf","bglm",1667,50,0.5,0,1667,11,9,1658,3155,1037,0,71
"108","bt","bglm",1667,50,0.5,0,1667,79,64,1603,9475,1623,0,72
"109","bonf","glm",1667,25,0,0,1667,5,5,1662,0,0,0,73
"110","bt","glm",1667,25,0,0,1667,98,87,1580,117,115,0,74
"111","bonf","bglm",1667,25,0,0,1667,10,9,1658,106,102,0,75
"112","bt","bglm",1667,25,0,0,1667,71,64,1603,2578,1372,0,76
"113","bonf","glm",1667,50,0,0,1667,14,14,1653,182,173,0,77
"114","bt","glm",1667,50,0,0,1667,106,93,1574,2612,1360,0,78
"115","bonf","bglm",1667,50,0,0,1667,10,10,1657,3226,1470,0,79
"116","bt","bglm",1667,50,0,0,1667,69,66,1601,9343,1667,0,80
"117","bonf","glm",1667,25,0.9,0,1667,3,3,1664,0,0,0,81
"118","bt","glm",1667,25,0.9,0,1667,130,88,1579,207,44,0,82
"119","bonf","bglm",1667,25,0.9,0,1667,4,4,1663,103,28,0,83
"120","bt","bglm",1667,25,0.9,0,1667,100,74,1593,3529,615,0,84
"121","bonf","glm",1667,50,0.9,0,1667,10,7,1660,200,56,0,85
"122","bt","glm",1667,50,0.9,0,1667,132,83,1584,3725,655,0,86
"123","bonf","bglm",1667,50,0.9,0,1667,9,5,1662,3178,595,0,87
"124","bt","bglm",1667,50,0.9,0,1667,115,72,1595,9945,1443,0,88
"125","bonf","glm",1667,25,0,0,1667,6,6,1661,1,1,0,89
"126","bt","glm",1667,25,0,0,1667,88,82,1585,120,115,0,90
"127","bonf","bglm",1667,25,0,0,1667,7,7,1660,108,102,0,91
"128","bt","bglm",1667,25,0,0,1667,60,55,1612,2509,1335,0,92
"129","bonf","glm",1667,50,0,0,1667,6,6,1661,186,178,0,93
"130","bt","glm",1667,50,0,0,1667,91,80,1587,2605,1379,0,94
"131","bonf","bglm",1667,50,0,0,1667,10,9,1658,3225,1478,0,95
"132","bt","bglm",1667,50,0,0,1667,63,58,1609,9242,1667,0,96
"133","bonf","glm",1667,25,0.9,0,1667,5,4,1663,0,0,0,97
"134","bt","glm",1667,25,0.9,0,1667,145,95,1572,245,52,0,98
"135","bonf","bglm",1667,25,0.9,0,1667,3,3,1664,84,27,0,99
"136","bt","bglm",1667,25,0.9,0,1667,77,54,1613,3614,622,0,100
"137","bonf","glm",1667,50,0.9,0,1667,15,12,1655,191,48,0,101
"138","bt","glm",1667,50,0.9,0,1667,123,86,1581,3885,666,0,102
"139","bonf","bglm",1667,50,0.9,0,1667,8,6,1661,3233,625,0,103
"140","bt","bglm",1667,50,0.9,0,1667,110,71,1596,10152,1449,0,104
"141","bonf","glm",1667,25,0,0,1667,8,8,1659,1,1,0,105
"142","bt","glm",1667,25,0,0,1667,111,100,1567,126,123,0,106
"143","bonf","bglm",1667,25,0,0,1667,2,2,1665,105,100,0,107
"144","bt","bglm",1667,25,0,0,1667,66,61,1606,2632,1367,0,108
"145","bonf","glm",1667,50,0,0,1667,20,20,1647,167,164,0,109
"146","bt","glm",1667,50,0,0,1667,94,86,1581,2561,1360,0,110
"147","bonf","bglm",1667,50,0,0,1667,7,7,1660,3216,1503,0,111
"148","bt","bglm",1667,50,0,0,1667,70,60,1607,9215,1667,0,112
"149","bonf","glm",1667,25,0.9,0,1667,11,8,1659,0,0,0,113
"150","bt","glm",1667,25,0.9,0,1667,154,101,1566,196,39,0,114
"151","bonf","bglm",1667,25,0.9,0,1667,4,3,1664,75,19,0,115
