"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"144","bt","bglm",1667,50,0.9,0,0,178,60,1607,270,176,94
"145","bonf","glm",1667,25,0,0,0,24,24,1643,0,0,0
"146","mmm","glm",1667,25,0,0,628,18,17,1022,0,0,0
"147","bt","glm",1667,25,0,0,0,86,82,1585,0,0,0
"148","bonf","bglm",1667,25,0,0,0,20,20,1647,0,0,0
"149","mmm","bglm",1667,25,0,0,0,16,15,1652,0,0,0
"150","bt","bglm",1667,25,0,0,0,74,71,1596,7,7,0
"151","bonf","glm",1667,50,0,0,0,57,54,1613,0,0,0
"152","mmm","glm",1667,50,0,0,457,46,43,1167,0,0,0
"153","bt","glm",1667,50,0,0,0,86,82,1585,1,1,0
"154","bonf","bglm",1667,50,0,0,0,42,40,1627,14,14,0
"155","mmm","bglm",1667,50,0,0,0,40,39,1628,19,19,0
"156","bt","bglm",1667,50,0,0,0,62,57,1610,58,58,0
"157","bonf","glm",1667,25,0.5,0,0,30,23,1644,0,0,0
"158","mmm","glm",1667,25,0.5,0,675,14,13,979,0,0,0
"159","bt","glm",1667,25,0.5,0,0,119,88,1579,0,0,0
"160","bonf","bglm",1667,25,0.5,0,0,31,24,1643,0,0,0
"161","mmm","bglm",1667,25,0.5,0,0,35,29,1638,0,0,0
"162","bt","bglm",1667,25,0.5,0,0,90,68,1599,1,1,0
"163","bonf","glm",1667,50,0.5,0,0,79,60,1607,0,0,0
"164","mmm","glm",1667,50,0.5,0,443,53,42,1182,0,0,0
"165","bt","glm",1667,50,0.5,0,0,128,103,1564,0,0,0
"166","bonf","bglm",1667,50,0.5,0,0,31,27,1640,15,14,1
"167","mmm","bglm",1667,50,0.5,0,0,32,29,1638,20,19,1
"168","bt","bglm",1667,50,0.5,0,0,95,73,1594,90,82,8
"169","bonf","glm",1667,25,0.9,0,0,41,14,1653,0,0,0
"170","mmm","glm",1667,25,0.9,0,529,32,12,1126,0,0,0
"171","bt","glm",1667,25,0.9,0,0,319,96,1571,0,0,0
"172","bonf","bglm",1667,25,0.9,0,0,29,11,1656,0,0,0
"173","mmm","bglm",1667,25,0.9,0,0,117,42,1625,0,0,0
"174","bt","bglm",1667,25,0.9,0,0,233,78,1589,36,23,13
"175","bonf","glm",1667,50,0.9,0,0,34,18,1649,0,0,0
"176","mmm","glm",1667,50,0.9,0,395,85,28,1244,3,2,1
"177","bt","glm",1667,50,0.9,0,0,308,90,1577,11,9,2
"178","bonf","bglm",1667,50,0.9,0,0,28,9,1658,19,16,3
"179","mmm","bglm",1667,50,0.9,0,0,99,38,1629,94,65,29
"180","bt","bglm",1667,50,0.9,0,0,244,77,1590,293,186,107
"181","bonf","glm",1667,25,0,0,0,30,29,1638,0,0,0
"182","mmm","glm",1667,25,0,0,678,18,17,972,0,0,0
"183","bt","glm",1667,25,0,0,0,82,72,1595,0,0,0
"184","bonf","bglm",1667,25,0,0,0,26,26,1641,0,0,0
"185","mmm","bglm",1667,25,0,0,0,21,20,1647,0,0,0
"186","bt","bglm",1667,25,0,0,0,66,62,1605,5,5,0
"187","bonf","glm",1667,50,0,0,0,47,44,1623,0,0,0
"188","mmm","glm",1667,50,0,0,451,46,44,1172,0,0,0
"189","bt","glm",1667,50,0,0,0,102,88,1579,0,0,0
"190","bonf","bglm",1667,50,0,0,0,29,29,1638,10,10,0
"191","mmm","bglm",1667,50,0,0,0,39,37,1630,16,16,0
"192","bt","bglm",1667,50,0,0,0,67,62,1605,54,53,1
"193","bonf","glm",1667,25,0.5,0,0,18,17,1650,0,0,0
"194","mmm","glm",1667,25,0.5,0,668,28,22,977,0,0,0
"195","bt","glm",1667,25,0.5,0,0,114,88,1579,0,0,0
"196","bonf","bglm",1667,25,0.5,0,0,14,14,1653,1,1,0
"197","mmm","bglm",1667,25,0.5,0,0,18,18,1649,0,0,0
"198","bt","bglm",1667,25,0.5,0,0,72,61,1606,4,4,0
"199","bonf","glm",1667,50,0.5,0,0,55,50,1617,0,0,0
"200","mmm","glm",1667,50,0.5,0,509,42,27,1131,0,0,0
"201","bt","glm",1667,50,0.5,0,0,109,82,1585,0,0,0
"202","bonf","bglm",1667,50,0.5,0,0,42,38,1629,16,14,2
"203","mmm","bglm",1667,50,0.5,0,0,61,48,1619,22,21,1
"204","bt","bglm",1667,50,0.5,0,0,84,66,1601,64,57,7
"205","bonf","glm",1667,25,0.9,0,0,42,13,1654,0,0,0
"206","mmm","glm",1667,25,0.9,0,509,36,19,1139,0,0,0
"207","bt","glm",1667,25,0.9,0,0,324,85,1582,0,0,0
"208","bonf","bglm",1667,25,0.9,0,0,17,5,1662,0,0,0
"209","mmm","bglm",1667,25,0.9,0,0,76,24,1643,0,0,0
"210","bt","bglm",1667,25,0.9,0,0,180,67,1600,37,27,10
"211","bonf","glm",1667,50,0.9,0,0,57,21,1646,0,0,0
"212","mmm","glm",1667,50,0.9,0,439,111,42,1186,1,1,0
"213","bt","glm",1667,50,0.9,0,0,252,94,1573,3,3,0
"214","bonf","bglm",1667,50,0.9,0,0,9,7,1660,19,13,6
"215","mmm","bglm",1667,50,0.9,0,0,145,48,1619,127,89,38
"216","bt","bglm",1667,50,0.9,0,0,275,72,1595,284,185,99
