"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,0,0,1667,373,339,0,NA
"2","mmm","bglm",1667,50,0,0,1667,0,0,1667,1351,950,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,1,1,1666,802,207,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,3,3,1664,2334,526,0,NA
"5","mmm","bglm",1667,25,0,0,1667,0,0,1667,394,360,0,NA
"6","mmm","bglm",1667,50,0,0,1667,0,0,1667,1374,963,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,743,208,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,1,1,1666,2415,534,0,NA
"9","mmm","bglm",1667,25,0,0,1667,0,0,1667,399,354,0,NA
"10","mmm","bglm",1667,50,0,0,1667,0,0,1667,1388,990,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,680,194,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,1,1,1666,2564,553,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,1,1,1666,329,213,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,1796,750,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,391,262,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,1,1,1666,1667,730,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,377,238,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,1856,755,0,NA
"19","mmm","bglm",1667,25,0,0,1667,0,0,1667,405,367,0,NA
"20","mmm","bglm",1667,50,0,0,1667,0,0,1667,1396,981,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,1,1,1666,795,220,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,4,4,1663,2487,537,0,NA
"23","mmm","bglm",1667,25,0,0,1667,0,0,1667,389,347,0,NA
"24","mmm","bglm",1667,50,0,0,1667,1,1,1666,1404,969,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,744,190,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,3,2,1665,2339,492,0,NA
"27","mmm","bglm",1667,25,0,0,1667,0,0,1667,391,357,0,NA
"28","mmm","bglm",1667,50,0,0,1667,0,0,1667,1310,948,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,0,0,1667,805,201,0,NA
"30","mmm","bglm",1667,50,0.9,0,1667,3,2,1665,2275,522,0,NA
"31","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,403,254,0,NA
"32","mmm","bglm",1667,50,0.5,0,1667,1,1,1666,1759,747,0,NA
"33","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,427,256,0,NA
"34","mmm","bglm",1667,50,0.5,0,1667,0,0,1667,1575,709,0,NA
"35","mmm","bglm",1667,25,0.5,0,1667,0,0,1667,420,256,0,NA
"36","mmm","bglm",1667,50,0.5,0,1667,3,3,1664,1641,719,0,NA
"37","bonf","glm",1667,25,0,0,1667,0,0,1667,435,379,0,1
"38","bt","glm",1667,25,0,0,1667,0,0,1667,737,587,0,2
"39","bonf","bglm",1667,25,0,0,1667,0,0,1667,392,365,0,3
"40","bt","bglm",1667,25,0,0,1667,0,0,1667,600,507,0,4
"41","bonf","glm",1667,50,0,0,1667,0,0,1667,1717,1109,0,5
"42","bt","glm",1667,50,0,0,1667,0,0,1667,1975,1182,0,6
"43","bonf","bglm",1667,50,0,0,1667,0,0,1667,1363,957,0,7
"44","bt","bglm",1667,50,0,0,1667,1,1,1666,1838,1140,0,8
"45","bonf","glm",1667,25,0.9,0,1667,0,0,1667,388,111,0,9
"46","bt","glm",1667,25,0.9,0,1667,0,0,1667,1533,360,0,10
"47","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,338,107,0,11
"48","bt","bglm",1667,25,0.9,0,1667,3,3,1664,1213,294,0,12
"49","bonf","glm",1667,50,0.9,0,1667,0,0,1667,1718,405,0,13
"50","bt","glm",1667,50,0.9,0,1667,5,4,1663,3432,682,0,14
"51","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,1471,359,0,15
"52","bt","bglm",1667,50,0.9,0,1667,11,8,1659,2973,588,0,16
"53","bonf","glm",1667,25,0,0,1667,0,0,1667,362,317,0,17
"54","bt","glm",1667,25,0,0,1667,0,0,1667,706,577,0,18
"55","bonf","bglm",1667,25,0,0,1667,0,0,1667,396,367,0,19
"56","bt","bglm",1667,25,0,0,1667,0,0,1667,597,491,0,20
"57","bonf","glm",1667,50,0,0,1667,0,0,1667,1640,1085,0,21
"58","bt","glm",1667,50,0,0,1667,0,0,1667,1904,1195,0,22
"59","bonf","bglm",1667,50,0,0,1667,0,0,1667,1275,907,0,23
"60","bt","bglm",1667,50,0,0,1667,1,1,1666,1848,1144,0,24
"61","bonf","glm",1667,25,0.9,0,1667,0,0,1667,365,104,0,25
"62","bt","glm",1667,25,0.9,0,1667,2,1,1666,1450,325,0,26
"63","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,385,106,0,27
"64","bt","bglm",1667,25,0.9,0,1667,0,0,1667,1470,325,0,28
"65","bonf","glm",1667,50,0.9,0,1667,0,0,1667,1789,425,0,29
"66","bt","glm",1667,50,0.9,0,1667,2,2,1665,3239,640,0,30
"67","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,1281,330,0,31
"68","bt","bglm",1667,50,0.9,0,1667,5,4,1663,3146,625,0,32
"69","bonf","glm",1667,25,0,0,1667,0,0,1667,385,342,0,33
"70","bt","glm",1667,25,0,0,1667,0,0,1667,700,563,0,34
"71","bonf","bglm",1667,25,0,0,1667,0,0,1667,381,345,0,35
"72","bt","bglm",1667,25,0,0,1667,0,0,1667,588,490,0,36
"73","bonf","glm",1667,50,0,0,1667,1,1,1666,1644,1084,0,37
"74","bt","glm",1667,50,0,0,1667,0,0,1667,1946,1196,0,38
"75","bonf","bglm",1667,50,0,0,1667,1,1,1666,1286,926,0,39
"76","bt","bglm",1667,50,0,0,1667,2,2,1665,1847,1150,0,40
"77","bonf","glm",1667,25,0.9,0,1667,0,0,1667,399,105,0,41
"78","bt","glm",1667,25,0.9,0,1667,1,1,1666,1466,333,0,42
"79","bonf","bglm",1667,25,0.9,0,1667,0,0,1667,384,107,0,43
"80","bt","bglm",1667,25,0.9,0,1667,5,3,1664,1426,340,0,44
"81","bonf","glm",1667,50,0.9,0,1667,0,0,1667,1772,409,0,45
"82","bt","glm",1667,50,0.9,0,1667,0,0,1667,3419,694,0,46
"83","bonf","bglm",1667,50,0.9,0,1667,0,0,1667,1402,343,0,47
"84","bt","bglm",1667,50,0.9,0,1667,9,7,1660,3236,677,0,48
"85","bonf","glm",1667,25,0.5,0,1667,0,0,1667,418,255,0,49
"86","bt","glm",1667,25,0.5,0,1667,0,0,1667,849,444,0,50
"87","bonf","bglm",1667,25,0.5,0,1667,0,0,1667,344,210,0,51
