"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","X"
"1","mmm","bglm",1667,25,0,0,1667,28,28,1639,0,0,0,NA
"2","mmm","bglm",1667,50,0,0,1667,51,49,1618,0,0,0,NA
"3","mmm","bglm",1667,25,0.9,0,1667,67,19,1648,2,1,0,NA
"4","mmm","bglm",1667,50,0.9,0,1667,106,45,1622,9,7,0,NA
"5","mmm","bglm",1667,25,0,0,1667,21,21,1646,0,0,0,NA
"6","mmm","bglm",1667,50,0,0,1667,36,34,1633,1,1,0,NA
"7","mmm","bglm",1667,25,0.9,0,1667,63,28,1639,1,1,0,NA
"8","mmm","bglm",1667,50,0.9,0,1667,81,30,1637,5,3,0,NA
"9","mmm","bglm",1667,25,0,0,1667,22,22,1645,0,0,0,NA
"10","mmm","bglm",1667,50,0,0,1667,34,34,1633,0,0,0,NA
"11","mmm","bglm",1667,25,0.9,0,1667,57,23,1644,1,1,0,NA
"12","mmm","bglm",1667,50,0.9,0,1667,94,40,1627,12,9,0,NA
"13","mmm","bglm",1667,25,0.5,0,1667,28,24,1643,0,0,0,NA
"14","mmm","bglm",1667,50,0.5,0,1667,54,49,1618,1,1,0,NA
"15","mmm","bglm",1667,25,0.5,0,1667,31,27,1640,0,0,0,NA
"16","mmm","bglm",1667,50,0.5,0,1667,38,35,1632,2,2,0,NA
"17","mmm","bglm",1667,25,0.5,0,1667,23,21,1646,0,0,0,NA
"18","mmm","bglm",1667,50,0.5,0,1667,48,41,1626,1,1,0,NA
"19","mmm","bglm",1667,25,0,0,1667,24,24,1643,0,0,0,NA
"20","mmm","bglm",1667,50,0,0,1667,41,41,1626,2,2,0,NA
"21","mmm","bglm",1667,25,0.9,0,1667,75,31,1636,2,2,0,NA
"22","mmm","bglm",1667,50,0.9,0,1667,120,32,1635,10,6,0,NA
"23","mmm","bglm",1667,25,0,0,1667,26,26,1641,0,0,0,NA
"24","mmm","bglm",1667,50,0,0,1667,37,35,1632,0,0,0,NA
"25","mmm","bglm",1667,25,0.9,0,1667,48,21,1646,0,0,0,NA
"26","mmm","bglm",1667,50,0.9,0,1667,90,31,1636,11,8,0,NA
"27","mmm","bglm",1667,25,0,0,1667,18,18,1649,0,0,0,NA
"28","mmm","bglm",1667,50,0,0,1667,32,31,1636,0,0,0,NA
"29","mmm","bglm",1667,25,0.9,0,1667,50,22,1645,0,0,0,NA
