"","method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"1","bonf","glm",1667,25,0,0,0,0,0,1667,105,103,2
"2","mmm","glm",1667,25,0,0,1535,0,0,132,2,2,0
"3","bt","glm",1667,25,0,0,0,0,0,1667,443,378,49
"4","bonf","bglm",1667,25,0,0,0,0,0,1667,82,80,2
"5","mmm","bglm",1667,25,0,0,0,0,0,1667,100,99,1
"6","bt","bglm",1667,25,0,0,0,0,0,1667,354,326,23
"7","bonf","glm",1667,50,0,0,0,0,0,1667,451,414,37
"8","mmm","glm",1667,50,0,0,1475,0,0,192,47,44,3
"9","bt","glm",1667,50,0,0,0,0,0,1667,938,783,139
"10","bonf","bglm",1667,50,0,0,0,0,0,1667,327,309,18
"11","mmm","bglm",1667,50,0,0,0,0,0,1667,370,343,27
"12","bt","bglm",1667,50,0,0,0,0,0,1667,894,770,110
"13","bonf","glm",1667,25,0.5,0,0,0,0,1667,88,85,3
"14","mmm","glm",1667,25,0.5,0,1225,0,0,442,20,18,2
"15","bt","glm",1667,25,0.5,0,0,0,0,1667,481,372,82
"16","bonf","bglm",1667,25,0.5,0,0,0,0,1667,99,89,10
"17","mmm","bglm",1667,25,0.5,0,0,0,0,1667,140,123,17
"18","bt","bglm",1667,25,0.5,0,0,0,0,1667,343,290,47
"19","bonf","glm",1667,50,0.5,0,0,0,0,1667,425,353,70
"20","mmm","glm",1667,50,0.5,0,1209,0,0,458,99,77,20
"21","bt","glm",1667,50,0.5,0,0,0,0,1667,976,722,235
"22","bonf","bglm",1667,50,0.5,0,0,0,0,1667,311,273,34
"23","mmm","bglm",1667,50,0.5,0,0,0,0,1667,500,400,98
"24","bt","bglm",1667,50,0.5,0,0,0,0,1667,891,644,226
"25","bonf","glm",1667,25,0.9,0,0,0,0,1667,111,73,30
"26","mmm","glm",1667,25,0.9,0,738,0,0,929,150,94,47
"27","bt","glm",1667,25,0.9,0,0,0,0,1667,579,351,186
"28","bonf","bglm",1667,25,0.9,0,0,0,0,1667,106,75,28
"29","mmm","bglm",1667,25,0.9,0,0,0,0,1667,246,166,78
"30","bt","bglm",1667,25,0.9,0,0,0,0,1667,470,300,140
"31","bonf","glm",1667,50,0.9,0,0,0,0,1667,385,243,139
"32","mmm","glm",1667,50,0.9,0,733,0,0,934,348,212,126
"33","bt","glm",1667,50,0.9,0,0,0,0,1667,1095,629,394
"34","bonf","bglm",1667,50,0.9,0,0,0,0,1667,317,214,101
"35","mmm","bglm",1667,50,0.9,0,0,0,0,1667,758,455,280
"36","bt","bglm",1667,50,0.9,0,0,0,0,1667,1064,622,391
"37","bonf","glm",1667,25,0,0,0,0,0,1667,105,103,2
"38","mmm","glm",1667,25,0,0,1522,0,0,145,4,4,0
"39","bt","glm",1667,25,0,0,0,0,0,1667,424,366,48
"40","bonf","bglm",1667,25,0,0,0,0,0,1667,74,74,0
"41","mmm","bglm",1667,25,0,0,0,0,0,1667,102,102,0
"42","bt","bglm",1667,25,0,0,0,0,0,1667,364,338,22
"43","bonf","glm",1667,50,0,0,0,0,0,1667,402,376,24
"44","mmm","glm",1667,50,0,0,1486,0,0,181,38,36,2
"45","bt","glm",1667,50,0,0,0,0,0,1667,963,799,150
"46","bonf","bglm",1667,50,0,0,0,0,0,1667,342,325,17
"47","mmm","bglm",1667,50,0,0,0,0,0,1667,387,362,25
"48","bt","bglm",1667,50,0,0,0,0,0,1667,888,759,122
"49","bonf","glm",1667,25,0.5,0,0,0,0,1667,95,82,13
"50","mmm","glm",1667,25,0.5,0,1243,0,0,424,26,22,4
"51","bt","glm",1667,25,0.5,0,0,0,0,1667,435,343,68
"52","bonf","bglm",1667,25,0.5,0,0,0,0,1667,91,81,8
"53","mmm","bglm",1667,25,0.5,0,0,0,0,1667,164,144,20
"54","bt","bglm",1667,25,0.5,0,0,0,0,1667,368,296,62
"55","bonf","glm",1667,50,0.5,0,0,0,0,1667,393,322,71
"56","mmm","glm",1667,50,0.5,0,1199,0,0,468,110,85,25
"57","bt","glm",1667,50,0.5,0,0,0,0,1667,960,704,223
"58","bonf","bglm",1667,50,0.5,0,0,0,0,1667,363,302,61
"59","mmm","bglm",1667,50,0.5,0,0,0,0,1667,444,354,88
"60","bt","bglm",1667,50,0.5,0,0,0,0,1667,932,697,221
"61","bonf","glm",1667,25,0.9,0,0,0,0,1667,83,57,26
"62","mmm","glm",1667,25,0.9,0,709,0,0,958,135,88,43
"63","bt","glm",1667,25,0.9,0,0,0,0,1667,568,334,163
"64","bonf","bglm",1667,25,0.9,0,0,0,0,1667,90,65,25
"65","mmm","bglm",1667,25,0.9,0,0,0,0,1667,238,158,78
"66","bt","bglm",1667,25,0.9,0,0,0,0,1667,460,291,154
"67","bonf","glm",1667,50,0.9,0,0,0,0,1667,465,289,166
"68","mmm","glm",1667,50,0.9,0,736,0,0,931,409,251,145
"69","bt","glm",1667,50,0.9,0,0,0,0,1667,1125,655,406
"70","bonf","bglm",1667,50,0.9,0,0,0,0,1667,324,212,112
"71","mmm","bglm",1667,50,0.9,0,0,0,0,1667,669,411,236
"72","bt","bglm",1667,50,0.9,0,0,0,0,1667,1043,605,395
"73","bonf","glm",1667,25,0,0,0,0,0,1667,110,105,5
"74","mmm","glm",1667,25,0,0,1539,0,0,128,3,3,0
"75","bt","glm",1667,25,0,0,0,0,0,1667,425,386,35
"76","bonf","bglm",1667,25,0,0,0,0,0,1667,85,85,0
"77","mmm","bglm",1667,25,0,0,0,0,0,1667,113,111,2
"78","bt","bglm",1667,25,0,0,0,0,0,1667,351,326,19
"79","bonf","glm",1667,50,0,0,0,0,0,1667,439,412,27
"80","mmm","glm",1667,50,0,0,1485,0,0,182,53,50,3
"81","bt","glm",1667,50,0,0,0,0,0,1667,935,778,141
"82","bonf","bglm",1667,50,0,0,0,0,0,1667,306,282,24
"83","mmm","bglm",1667,50,0,0,0,0,0,1667,377,356,21
"84","bt","bglm",1667,50,0,0,0,0,0,1667,876,756,114
"85","bonf","glm",1667,25,0.5,0,0,0,0,1667,90,82,8
"86","mmm","glm",1667,25,0.5,0,1236,0,0,431,30,27,3
"87","bt","glm",1667,25,0.5,0,0,0,0,1667,482,376,87
"88","bonf","bglm",1667,25,0.5,0,0,0,0,1667,86,75,9
"89","mmm","bglm",1667,25,0.5,0,0,0,0,1667,168,150,18
"90","bt","bglm",1667,25,0.5,0,0,0,0,1667,370,315,49
"91","bonf","glm",1667,50,0.5,0,0,0,0,1667,425,352,73
"92","mmm","glm",1667,50,0.5,0,1193,0,0,474,106,81,25
