"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","bglm",1000,25,0.5,0,0,36,28,972,0,0,0
"bonf","glm",1000,50,0.5,0,0,26,24,976,0,0,0
"bt","glm",1000,50,0.5,0,0,64,55,945,0,0,0
"bonf","bglm",1000,50,0.5,0,0,11,9,991,0,0,0
"bt","bglm",1000,50,0.5,0,0,60,52,948,0,0,0
"bonf","glm",1000,25,0.9,0,0,7,6,994,0,0,0
"bt","glm",1000,25,0.9,0,0,74,44,956,0,0,0
"bonf","bglm",1000,25,0.9,0,0,3,3,997,0,0,0
"bt","bglm",1000,25,0.9,0,0,85,49,951,0,0,0
"bonf","glm",1000,50,0.9,0,0,11,10,990,0,0,0
"bt","glm",1000,50,0.9,0,0,71,46,954,0,0,0
"bonf","bglm",1000,50,0.9,0,0,22,14,986,0,0,0
"bt","bglm",1000,50,0.9,0,0,58,34,966,0,0,0
"bonf","glm",1000,25,0,0,0,8,7,993,0,0,0
"bt","glm",1000,25,0,0,0,47,40,960,0,0,0
"bonf","bglm",1000,25,0,0,0,10,9,991,0,0,0
"bt","bglm",1000,25,0,0,0,28,28,972,0,0,0
"bonf","glm",1000,50,0,0,0,25,23,977,0,0,0
"bt","glm",1000,50,0,0,0,43,42,958,0,0,0
"bonf","bglm",1000,50,0,0,0,12,12,988,0,0,0
"bt","bglm",1000,50,0,0,0,49,47,953,0,0,0
"bonf","glm",1000,25,0.5,0,0,6,6,994,0,0,0
"bt","glm",1000,25,0.5,0,0,79,67,933,0,0,0
"bonf","bglm",1000,25,0.5,0,0,5,5,995,0,0,0
"bt","bglm",1000,25,0.5,0,0,37,31,969,0,0,0
"bonf","glm",1000,50,0.5,0,0,18,17,983,0,0,0
"bt","glm",1000,50,0.5,0,0,69,51,949,0,0,0
"bonf","bglm",1000,50,0.5,0,0,18,13,987,0,0,0
"bt","bglm",1000,50,0.5,0,0,60,53,947,0,0,0
"bonf","glm",1000,25,0.9,0,0,5,4,996,0,0,0
"bt","glm",1000,25,0.9,0,0,106,64,936,0,0,0
"bonf","bglm",1000,25,0.9,0,0,6,5,995,0,0,0
"bt","bglm",1000,25,0.9,0,0,69,42,958,0,0,0
"bonf","glm",1000,50,0.9,0,0,18,12,988,0,0,0
"bt","glm",1000,50,0.9,0,0,87,49,951,0,0,0
"bonf","bglm",1000,50,0.9,0,0,1,1,999,0,0,0
"bt","bglm",1000,50,0.9,0,0,55,37,963,0,0,0
"bonf","glm",1000,25,0,0,0,11,11,989,0,0,0
"bt","glm",1000,25,0,0,0,65,58,942,0,0,0
"bonf","bglm",1000,25,0,0,0,7,7,993,0,0,0
"bt","bglm",1000,25,0,0,0,32,31,969,0,0,0
"bonf","glm",1000,50,0,0,0,18,18,982,0,0,0
"bt","glm",1000,50,0,0,0,50,43,957,0,0,0
"bonf","bglm",1000,50,0,0,0,8,8,992,0,0,0
"bt","bglm",1000,50,0,0,0,28,26,974,0,0,0
"bonf","glm",1000,25,0.5,0,0,13,13,987,0,0,0
"bt","glm",1000,25,0.5,0,0,59,51,949,0,0,0
"bonf","bglm",1000,25,0.5,0,0,7,6,994,0,0,0
"bt","bglm",1000,25,0.5,0,0,38,35,965,0,0,0
"bonf","glm",1000,50,0.5,0,0,14,14,986,0,0,0
"bt","glm",1000,50,0.5,0,0,69,61,939,0,0,0
"bonf","bglm",1000,50,0.5,0,0,14,14,986,0,0,0
"bt","bglm",1000,50,0.5,0,0,63,53,947,0,0,0
"bonf","glm",1000,25,0.9,0,0,4,2,998,0,0,0
"bt","glm",1000,25,0.9,0,0,106,55,945,0,0,0
"bonf","bglm",1000,25,0.9,0,0,8,5,995,0,0,0
"bt","bglm",1000,25,0.9,0,0,56,35,965,0,0,0
"bonf","glm",1000,50,0.9,0,0,18,9,991,0,0,0
"bt","glm",1000,50,0.9,0,0,96,54,946,0,0,0
"bonf","bglm",1000,50,0.9,0,0,9,6,994,0,0,0
"bt","bglm",1000,50,0.9,0,0,86,48,952,0,0,0
"bonf","glm",1000,25,0,0,0,13,13,987,0,0,0
"bt","glm",1000,25,0,0,0,64,52,948,0,0,0
"bonf","bglm",1000,25,0,0,0,7,7,993,0,0,0
"bt","bglm",1000,25,0,0,0,33,33,967,0,0,0
"bonf","glm",1000,50,0,0,0,23,21,979,0,0,0
"bt","glm",1000,50,0,0,0,53,50,950,0,0,0
"bonf","bglm",1000,50,0,0,0,14,14,986,0,0,0
"bt","bglm",1000,50,0,0,0,46,40,960,0,0,0
"bonf","glm",1000,25,0.5,0,0,8,8,992,0,0,0
"bt","glm",1000,25,0.5,0,0,66,49,951,0,0,0
"bonf","bglm",1000,25,0.5,0,0,6,6,994,0,0,0
"bt","bglm",1000,25,0.5,0,0,41,35,965,0,0,0
"bonf","glm",1000,50,0.5,0,0,30,26,974,0,0,0
"bt","glm",1000,50,0.5,0,0,68,60,940,0,0,0
"bonf","bglm",1000,50,0.5,0,0,10,10,990,0,0,0
"bt","bglm",1000,50,0.5,0,0,58,43,957,0,0,0
"bonf","glm",1000,25,0.9,0,0,9,6,994,0,0,0
"bt","glm",1000,25,0.9,0,0,81,51,949,0,0,0
"bonf","bglm",1000,25,0.9,0,0,4,3,997,0,0,0
"bt","bglm",1000,25,0.9,0,0,85,44,956,0,0,0
"bonf","glm",1000,50,0.9,0,0,17,11,989,0,0,0
"bt","glm",1000,50,0.9,0,0,86,49,951,0,0,0
"bonf","bglm",1000,50,0.9,0,0,9,7,993,0,0,0
"bt","bglm",1000,50,0.9,0,0,92,48,952,0,0,0
"bonf","glm",1000,25,0,0,0,6,6,994,0,0,0
"bt","glm",1000,25,0,0,0,57,51,949,0,0,0
"bonf","bglm",1000,25,0,0,0,7,7,993,0,0,0
"bt","bglm",1000,25,0,0,0,25,24,976,0,0,0
"bonf","glm",1000,50,0,0,0,13,13,987,0,0,0
"bt","glm",1000,50,0,0,0,52,46,954,0,0,0
"bonf","bglm",1000,50,0,0,0,9,9,991,0,0,0
"bt","bglm",1000,50,0,0,0,48,43,957,0,0,0
"bonf","glm",1000,25,0.5,0,0,6,6,994,0,0,0
"bt","glm",1000,25,0.5,0,0,64,53,947,0,0,0
"bonf","bglm",1000,25,0.5,0,0,5,5,995,0,0,0
"bt","bglm",1000,25,0.5,0,0,46,42,958,0,0,0
"bonf","glm",1000,50,0.5,0,0,20,19,981,0,0,0
"bt","glm",1000,50,0.5,0,0,56,45,955,0,0,0
"bonf","bglm",1000,50,0.5,0,0,9,8,992,0,0,0
"bt","bglm",1000,50,0.5,0,0,58,49,951,0,0,0
"bonf","glm",1000,25,0.9,0,0,6,4,996,0,0,0
"bt","glm",1000,25,0.9,0,0,75,49,951,0,0,0
"bonf","bglm",1000,25,0.9,0,0,16,11,989,0,0,0
"bt","bglm",1000,25,0.9,0,0,91,54,946,0,0,0
"bonf","glm",1000,50,0.9,0,0,15,11,989,0,0,0
"bt","glm",1000,50,0.9,0,0,84,54,946,0,0,0
"bonf","bglm",1000,50,0.9,0,0,20,14,986,0,0,0
"bt","bglm",1000,50,0.9,0,0,53,29,971,0,0,0
"bonf","glm",1000,25,0,0,0,11,11,989,0,0,0
"bt","glm",1000,25,0,0,0,57,53,947,0,0,0
"bonf","bglm",1000,25,0,0,0,5,4,996,0,0,0
"bt","bglm",1000,25,0,0,0,40,38,962,0,0,0
"bonf","glm",1000,50,0,0,0,20,20,980,0,0,0
"bt","glm",1000,50,0,0,0,55,53,947,0,0,0
"bonf","bglm",1000,50,0,0,0,11,10,990,0,0,0
"bt","bglm",1000,50,0,0,0,54,50,950,0,0,0
"bonf","glm",1000,25,0.5,0,0,6,6,994,0,0,0
"bt","glm",1000,25,0.5,0,0,63,54,946,0,0,0
"bonf","bglm",1000,25,0.5,0,0,11,8,992,0,0,0
"bt","bglm",1000,25,0.5,0,0,47,42,958,0,0,0
"bonf","glm",1000,50,0.5,0,0,34,25,975,0,0,0
"bt","glm",1000,50,0.5,0,0,54,49,951,0,0,0
"bonf","bglm",1000,50,0.5,0,0,16,15,985,0,0,0
"bt","bglm",1000,50,0.5,0,0,52,41,959,0,0,0
"bonf","glm",1000,25,0.9,0,0,17,9,991,0,0,0
"bt","glm",1000,25,0.9,0,0,91,45,955,0,0,0
"bonf","bglm",1000,25,0.9,0,0,5,5,995,0,0,0
"bt","bglm",1000,25,0.9,0,0,85,48,952,0,0,0
"bonf","glm",1000,50,0.9,0,0,19,10,990,0,0,0
"bt","glm",1000,50,0.9,0,0,91,50,950,0,0,0
"bonf","bglm",1000,50,0.9,0,0,9,7,993,0,0,0
"bt","bglm",1000,50,0.9,0,0,92,49,951,0,0,0
"bonf","glm",1000,25,0,0,0,7,7,993,0,0,0
"bt","glm",1000,25,0,0,0,45,41,959,0,0,0
"bonf","bglm",1000,25,0,0,0,6,6,994,0,0,0
"bt","bglm",1000,25,0,0,0,46,46,954,0,0,0
"bonf","glm",1000,50,0,0,0,28,27,973,0,0,0
"bt","glm",1000,50,0,0,0,51,49,951,0,0,0
"bonf","bglm",1000,50,0,0,0,9,9,991,0,0,0
"bt","bglm",1000,50,0,0,0,38,35,965,0,0,0
"bonf","glm",1000,25,0.5,0,0,17,13,987,0,0,0
"bt","glm",1000,25,0.5,0,0,48,39,961,0,0,0
"bonf","bglm",1000,25,0.5,0,0,9,9,991,0,0,0
"bt","bglm",1000,25,0.5,0,0,37,34,966,0,0,0
"bonf","glm",1000,50,0.5,0,0,14,14,986,0,0,0
"bt","glm",1000,50,0.5,0,0,61,49,951,0,0,0
"bonf","bglm",1000,50,0.5,0,0,13,12,988,0,0,0
"bt","bglm",1000,50,0.5,0,0,49,44,956,0,0,0
"bonf","glm",1000,25,0.9,0,0,10,7,993,0,0,0
"bt","glm",1000,25,0.9,0,0,94,53,947,0,0,0
"bonf","bglm",1000,25,0.9,0,0,7,6,994,0,0,0
"bt","bglm",1000,25,0.9,0,0,81,50,950,0,0,0
"bonf","glm",1000,50,0.9,0,0,14,12,988,0,0,0
"bt","glm",1000,50,0.9,0,0,109,63,937,0,0,0
"bonf","bglm",1000,50,0.9,0,0,20,10,990,0,0,0
"bt","bglm",1000,50,0.9,0,0,59,34,966,0,0,0
"bonf","glm",1000,25,0,0,0,15,12,988,0,0,0
"bt","glm",1000,25,0,0,0,46,40,960,0,0,0
"bonf","bglm",1000,25,0,0,0,8,8,992,0,0,0
"bt","bglm",1000,25,0,0,0,33,33,967,0,0,0
"bonf","glm",1000,50,0,0,0,24,23,977,0,0,0
