"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1000,25,0,0,1000,0,0,1000,16,16,0
"mmm","bglm",1000,50,0,0,1000,9,8,992,144,135,0
"mmm","bglm",1000,25,0.5,0,1000,4,4,996,16,15,0
"mmm","bglm",1000,50,0.5,0,1000,13,12,988,220,139,0
"mmm","bglm",1000,25,0.9,0,1000,7,5,995,92,27,0
"mmm","bglm",1000,50,0.9,0,1000,12,9,991,470,119,0
"mmm","bglm",1000,25,0,0,1000,3,3,997,15,14,0
"mmm","bglm",1000,50,0,0,1000,8,8,992,173,160,0
"mmm","bglm",1000,25,0.5,0,1000,3,3,997,33,22,0
"mmm","bglm",1000,50,0.5,0,1000,5,5,995,199,121,0
"mmm","bglm",1000,25,0.9,0,1000,19,14,986,75,20,0
"mmm","bglm",1000,50,0.9,0,1000,21,13,987,502,132,0
"mmm","bglm",1000,25,0,0,1000,2,2,998,12,12,0
"mmm","bglm",1000,50,0,0,1000,5,5,995,168,153,0
"mmm","bglm",1000,25,0.5,0,1000,2,2,998,17,15,0
"mmm","bglm",1000,50,0.5,0,1000,9,7,993,196,121,0
"mmm","bglm",1000,25,0.9,0,1000,6,4,996,80,26,0
"mmm","bglm",1000,50,0.9,0,1000,20,16,984,392,112,0
"mmm","bglm",1000,25,0,0,1000,1,1,999,17,17,0
"mmm","bglm",1000,50,0,0,1000,6,6,994,179,166,0
"mmm","bglm",1000,25,0.5,0,1000,6,6,994,13,13,0
"mmm","bglm",1000,50,0.5,0,1000,4,4,996,208,133,0
"mmm","bglm",1000,25,0.9,0,1000,21,15,985,58,17,0
"mmm","bglm",1000,50,0.9,0,1000,18,12,988,402,111,0
"mmm","bglm",1000,25,0,0,1000,5,4,996,18,18,0
"mmm","bglm",1000,50,0,0,1000,5,5,995,166,152,0
"mmm","bglm",1000,25,0.5,0,1000,2,2,998,20,18,0
"mmm","bglm",1000,50,0.5,0,1000,7,6,994,208,134,0
"mmm","bglm",1000,25,0.9,0,1000,6,6,994,79,21,0
"mmm","bglm",1000,50,0.9,0,1000,21,14,986,399,108,0
"mmm","bglm",1000,25,0,0,1000,5,4,996,16,16,0
"mmm","bglm",1000,50,0,0,1000,10,9,991,166,153,0
