"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,3,3,1664,316,290,0
"mmm","bglm",1667,50,0,0,1667,9,9,1658,2604,1383,0
"mmm","bglm",1667,25,0.9,0,1667,15,10,1657,945,229,0
"mmm","bglm",1667,50,0.9,0,1667,32,24,1643,3963,771,0
"mmm","bglm",1667,25,0,0,1667,10,9,1658,302,292,0
"mmm","bglm",1667,50,0,0,1667,9,9,1658,2572,1363,0
"mmm","bglm",1667,25,0.9,0,1667,15,13,1654,947,220,0
"mmm","bglm",1667,50,0.9,0,1667,16,13,1654,4184,827,0
"mmm","bglm",1667,25,0,0,1667,6,6,1661,318,295,0
"mmm","bglm",1667,50,0,0,1667,9,9,1658,2697,1421,0
"mmm","bglm",1667,25,0.9,0,1667,18,15,1652,1018,228,0
"mmm","bglm",1667,50,0.9,0,1667,20,15,1652,3924,769,0
"mmm","bglm",1667,25,0.5,0,1667,11,10,1657,406,249,0
"mmm","bglm",1667,50,0.5,0,1667,4,4,1663,2878,978,0
"mmm","bglm",1667,25,0.5,0,1667,9,8,1659,473,266,0
"mmm","bglm",1667,50,0.5,0,1667,12,12,1655,2786,976,0
"mmm","bglm",1667,25,0.5,0,1667,5,5,1662,433,259,0
"mmm","bglm",1667,50,0.5,0,1667,10,9,1658,2773,988,0
"mmm","bglm",209,25,0,0,0,2,2,207,34,30,0
"mmm","bglm",209,50,0,0,0,3,3,206,350,174,0
"mmm","bglm",209,25,0.9,0,0,7,4,205,116,28,2
"mmm","bglm",209,50,0.9,0,0,5,3,206,510,100,29
"mmm","bglm",209,25,0,0,0,1,1,208,50,44,0
"mmm","bglm",209,50,0,0,0,4,3,206,325,167,0
"mmm","bglm",209,25,0.9,0,0,4,4,205,177,36,8
"mmm","bglm",209,50,0.9,0,0,8,5,204,569,99,39
"mmm","bglm",209,25,0,0,0,3,3,206,40,38,0
"mmm","bglm",209,50,0,0,0,0,0,209,333,173,0
"mmm","bglm",209,25,0.9,0,0,0,0,209,125,27,5
"mmm","bglm",209,50,0.9,0,0,2,1,208,466,88,32
"mmm","bglm",209,25,0,0,0,1,1,208,45,38,0
"mmm","bglm",209,50,0,0,0,0,0,209,332,176,0
"mmm","bglm",209,25,0.9,0,0,5,2,207,145,36,5
"mmm","bglm",209,50,0.9,0,0,0,0,209,497,93,35
"mmm","bglm",1667,25,0,0,1667,7,7,1660,340,307,0
"mmm","bglm",1667,50,0,0,1667,10,10,1657,2573,1380,0
"mmm","bglm",1667,25,0.9,0,1667,20,16,1651,966,222,0
"mmm","bglm",1667,50,0.9,0,1667,27,19,1648,3971,756,0
"mmm","bglm",1667,25,0,0,1667,9,9,1658,341,307,0
