"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,0,0,1667,67,64,0
"mmm","bglm",1667,50,0,0,1667,1,1,1666,185,173,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,195,68,0
"mmm","bglm",1667,50,0.9,0,1667,2,1,1666,399,126,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,76,73,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,152,145,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,206,64,0
"mmm","bglm",1667,50,0.9,0,1667,2,2,1665,364,121,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,68,64,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,152,144,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,256,78,0
"mmm","bglm",1667,50,0.9,0,1667,4,4,1663,445,133,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,94,64,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,197,150,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,66,52,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,261,183,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,81,57,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,246,169,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,62,60,0
"mmm","bglm",1667,50,0,0,1667,1,1,1666,151,144,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,161,57,0
"mmm","bglm",1667,50,0.9,0,1667,3,2,1665,473,147,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,80,79,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,207,196,0
"mmm","bglm",1667,25,0.9,0,1667,1,1,1666,177,52,0
"mmm","bglm",1667,50,0.9,0,1667,1,1,1666,459,129,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,64,62,0
"mmm","bglm",1667,50,0,0,1667,1,1,1666,177,167,0
"mmm","bglm",1667,25,0.9,0,1667,1,1,1666,212,62,0
"mmm","bglm",1667,50,0.9,0,1667,2,1,1666,425,121,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,87,62,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,242,164,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,58,53,0
"mmm","bglm",1667,50,0.5,0,1667,2,2,1665,232,162,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,77,55,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,245,166,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,79,78,0
"bt","glm",1667,25,0,0,1667,0,0,1667,183,171,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,74,68,0
"bt","bglm",1667,25,0,0,1667,2,2,1665,143,138,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,251,236,0
"bt","glm",1667,50,0,0,1667,0,0,1667,335,291,0
"bonf","bglm",1667,50,0,0,1667,0,0,1667,151,144,0
"bt","bglm",1667,50,0,0,1667,1,1,1666,264,238,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,86,28,0
"bt","glm",1667,25,0.9,0,1667,0,0,1667,408,126,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,64,29,0
"bt","bglm",1667,25,0.9,0,1667,2,2,1665,469,121,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,231,74,0
"bt","glm",1667,50,0.9,0,1667,1,1,1666,685,177,0
