"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bt","bglm",1000,25,0.5,0,0,44,42,958,0,0,0
"bonf","glm",1000,50,0.5,0,0,31,27,973,0,0,0
"bt","glm",1000,50,0.5,0,0,51,47,953,0,0,0
"bonf","bglm",1000,50,0.5,0,0,10,10,990,0,0,0
"bt","bglm",1000,50,0.5,0,0,58,52,948,0,0,0
"bonf","glm",1000,25,0.9,0,0,6,6,994,0,0,0
"bt","glm",1000,25,0.9,0,0,69,53,947,0,0,0
"bonf","bglm",1000,25,0.9,0,0,7,5,995,0,0,0
"bt","bglm",1000,25,0.9,0,0,56,41,959,0,0,0
"bonf","glm",1000,50,0.9,0,0,21,14,986,0,0,0
"bt","glm",1000,50,0.9,0,0,82,52,948,0,0,0
"bonf","bglm",1000,50,0.9,0,0,12,10,990,0,0,0
"bt","bglm",1000,50,0.9,0,0,53,45,955,0,0,0
"bonf","glm",1000,25,0,0,0,12,11,989,0,0,0
"bt","glm",1000,25,0,0,0,46,42,958,0,0,0
"bonf","bglm",1000,25,0,0,0,13,12,988,0,0,0
"bt","bglm",1000,25,0,0,0,35,35,965,0,0,0
"bonf","glm",1000,50,0,0,0,18,17,983,0,0,0
"bt","glm",1000,50,0,0,0,72,65,935,0,0,0
"bonf","bglm",1000,50,0,0,0,18,18,982,0,0,0
"bt","bglm",1000,50,0,0,0,47,45,955,0,0,0
"bonf","glm",1000,25,0.5,0,0,11,11,989,0,0,0
"bt","glm",1000,25,0.5,0,0,47,41,959,0,0,0
"bonf","bglm",1000,25,0.5,0,0,12,12,988,0,0,0
"bt","bglm",1000,25,0.5,0,0,33,32,968,0,0,0
"bonf","glm",1000,50,0.5,0,0,17,16,984,0,0,0
"bt","glm",1000,50,0.5,0,0,56,48,952,0,0,0
"bonf","bglm",1000,50,0.5,0,0,19,17,983,0,0,0
"bt","bglm",1000,50,0.5,0,0,54,50,950,0,0,0
"bonf","glm",1000,25,0.9,0,0,11,9,991,0,0,0
"bt","glm",1000,25,0.9,0,0,75,48,952,0,0,0
"bonf","bglm",1000,25,0.9,0,0,5,5,995,0,0,0
"bt","bglm",1000,25,0.9,0,0,49,38,962,0,0,0
"bonf","glm",1000,50,0.9,0,0,16,13,987,0,0,0
"bt","glm",1000,50,0.9,0,0,67,48,952,0,0,0
"bonf","bglm",1000,50,0.9,0,0,16,11,989,0,0,0
"bt","bglm",1000,50,0.9,0,0,79,49,951,0,0,0
"bonf","glm",1000,25,0,0,0,10,9,991,0,0,0
"bt","glm",1000,25,0,0,0,70,62,938,0,0,0
"bonf","bglm",1000,25,0,0,0,6,6,994,0,0,0
"bt","bglm",1000,25,0,0,0,55,50,950,0,0,0
"bonf","glm",1000,50,0,0,0,18,18,982,0,0,0
"bt","glm",1000,50,0,0,0,61,50,950,0,0,0
"bonf","bglm",1000,50,0,0,0,13,13,987,0,0,0
"bt","bglm",1000,50,0,0,0,29,26,974,0,0,0
"bonf","glm",1000,25,0.5,0,0,20,17,983,0,0,0
"bt","glm",1000,25,0.5,0,0,61,52,948,0,0,0
"bonf","bglm",1000,25,0.5,0,0,7,7,993,0,0,0
"bt","bglm",1000,25,0.5,0,0,35,34,966,0,0,0
"bonf","glm",1000,50,0.5,0,0,21,19,981,0,0,0
"bt","glm",1000,50,0.5,0,0,69,63,937,0,0,0
"bonf","bglm",1000,50,0.5,0,0,12,11,989,0,0,0
"bt","bglm",1000,50,0.5,0,0,60,54,946,0,0,0
"bonf","glm",1000,25,0.9,0,0,14,10,990,0,0,0
"bt","glm",1000,25,0.9,0,0,86,56,944,0,0,0
"bonf","bglm",1000,25,0.9,0,0,9,8,992,0,0,0
"bt","bglm",1000,25,0.9,0,0,51,39,961,0,0,0
"bonf","glm",1000,50,0.9,0,0,26,16,984,0,0,0
"bt","glm",1000,50,0.9,0,0,89,56,944,0,0,0
"bonf","bglm",1000,50,0.9,0,0,8,6,994,0,0,0
"bt","bglm",1000,50,0.9,0,0,57,43,957,0,0,0
"bonf","glm",1000,25,0,0,0,13,13,987,0,0,0
"bt","glm",1000,25,0,0,0,64,60,940,0,0,0
"bonf","bglm",1000,25,0,0,0,8,8,992,0,0,0
"bt","bglm",1000,25,0,0,0,41,35,965,0,0,0
"bonf","glm",1000,50,0,0,0,19,19,981,0,0,0
"bt","glm",1000,50,0,0,0,58,52,948,0,0,0
"bonf","bglm",1000,50,0,0,0,18,16,984,0,0,0
"bt","bglm",1000,50,0,0,0,43,40,960,0,0,0
"bonf","glm",1000,25,0.5,0,0,6,6,994,0,0,0
"bt","glm",1000,25,0.5,0,0,46,38,962,0,0,0
"bonf","bglm",1000,25,0.5,0,0,7,7,993,0,0,0
"bt","bglm",1000,25,0.5,0,0,37,32,968,0,0,0
"bonf","glm",1000,50,0.5,0,0,23,22,978,0,0,0
"bt","glm",1000,50,0.5,0,0,58,55,945,0,0,0
"bonf","bglm",1000,50,0.5,0,0,12,11,989,0,0,0
"bt","bglm",1000,50,0.5,0,0,35,33,967,0,0,0
"bonf","glm",1000,25,0.9,0,0,9,5,995,0,0,0
"bt","glm",1000,25,0.9,0,0,61,47,953,0,0,0
"bonf","bglm",1000,25,0.9,0,0,1,1,999,0,0,0
"bt","bglm",1000,25,0.9,0,0,56,41,959,0,0,0
"bonf","glm",1000,50,0.9,0,0,20,16,984,0,0,0
"bt","glm",1000,50,0.9,0,0,93,63,937,0,0,0
"bonf","bglm",1000,50,0.9,0,0,10,8,992,0,0,0
"bt","bglm",1000,50,0.9,0,0,50,37,963,0,0,0
"bonf","glm",1000,25,0,0,0,12,10,990,0,0,0
"bt","glm",1000,25,0,0,0,54,50,950,0,0,0
"bonf","bglm",1000,25,0,0,0,3,3,997,0,0,0
"bt","bglm",1000,25,0,0,0,37,35,965,0,0,0
"bonf","glm",1000,50,0,0,0,25,23,977,0,0,0
"bt","glm",1000,50,0,0,0,45,43,957,0,0,0
"bonf","bglm",1000,50,0,0,0,15,15,985,0,0,0
"bt","bglm",1000,50,0,0,0,48,46,954,0,0,0
"bonf","glm",1000,25,0.5,0,0,10,9,991,0,0,0
"bt","glm",1000,25,0.5,0,0,39,35,965,0,0,0
"bonf","bglm",1000,25,0.5,0,0,8,8,992,0,0,0
"bt","bglm",1000,25,0.5,0,0,50,45,955,0,0,0
