"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,8,8,1659,0,0,0
"mmm","bglm",1667,50,0,0,1667,9,9,1658,6,6,0
"mmm","bglm",1667,25,0.9,0,1667,26,17,1650,18,4,0
"mmm","bglm",1667,50,0.9,0,1667,23,20,1647,47,18,0
"mmm","bglm",1667,25,0,0,1667,2,2,1665,0,0,0
"mmm","bglm",1667,50,0,0,1667,7,7,1660,6,6,0
"mmm","bglm",1667,25,0.9,0,1667,26,20,1647,7,1,0
"mmm","bglm",1667,50,0.9,0,1667,23,16,1651,22,13,0
"mmm","bglm",1667,25,0,0,1667,6,6,1661,0,0,0
"mmm","bglm",1667,50,0,0,1667,13,13,1654,6,6,0
"mmm","bglm",1667,25,0.9,0,1667,22,18,1649,4,2,0
"mmm","bglm",1667,50,0.9,0,1667,28,23,1644,43,17,0
"mmm","bglm",1667,25,0.5,0,1667,12,10,1657,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,9,9,1658,15,14,0
"mmm","bglm",1667,25,0.5,0,1667,4,4,1663,1,1,0
"mmm","bglm",1667,50,0.5,0,1667,11,11,1656,8,7,0
"mmm","bglm",1667,25,0.5,0,1667,10,10,1657,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,15,14,1653,10,9,0
"mmm","bglm",1667,25,0,0,1667,7,7,1660,1,1,0
"mmm","bglm",1667,50,0,0,1667,8,8,1659,3,3,0
"mmm","bglm",1667,25,0.9,0,1667,25,20,1647,13,3,0
"mmm","bglm",1667,50,0.9,0,1667,31,27,1640,38,16,0
"mmm","bglm",1667,25,0,0,1667,1,1,1666,0,0,0
"mmm","bglm",1667,50,0,0,1667,18,16,1651,8,8,0
"mmm","bglm",1667,25,0.9,0,1667,23,16,1651,10,3,0
"mmm","bglm",1667,50,0.9,0,1667,21,16,1651,39,17,0
"mmm","bglm",1667,25,0,0,1667,4,4,1663,2,2,0
"mmm","bglm",1667,50,0,0,1667,5,5,1662,6,6,0
"mmm","bglm",1667,25,0.9,0,1667,20,16,1651,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,31,21,1646,39,14,0
"mmm","bglm",1667,25,0.5,0,1667,3,3,1664,2,1,0
"mmm","bglm",1667,50,0.5,0,1667,19,19,1648,9,8,0
"mmm","bglm",1667,25,0.5,0,1667,6,6,1661,2,2,0
"mmm","bglm",1667,50,0.5,0,1667,15,15,1652,17,13,0
"mmm","bglm",1667,25,0.5,0,1667,6,6,1661,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,14,13,1654,9,7,0
"bonf","glm",1667,25,0,0,1667,7,7,1660,0,0,0
"bt","glm",1667,25,0,0,1667,74,67,1600,4,4,0
"bonf","bglm",1667,25,0,0,1667,3,3,1664,0,0,0
"bt","bglm",1667,25,0,0,1667,70,64,1603,62,62,0
"bonf","glm",1667,50,0,0,1667,10,10,1657,0,0,0
"bt","glm",1667,50,0,0,1667,53,49,1618,26,24,0
"bonf","bglm",1667,50,0,0,1667,8,8,1659,6,6,0
"bt","bglm",1667,50,0,0,1667,47,43,1624,97,96,0
"bonf","glm",1667,25,0.9,0,1667,5,4,1663,0,0,0
"bt","glm",1667,25,0.9,0,1667,123,80,1587,7,3,0
"bonf","bglm",1667,25,0.9,0,1667,9,8,1659,0,0,0
"bt","bglm",1667,25,0.9,0,1667,86,58,1609,100,38,0
"bonf","glm",1667,50,0.9,0,1667,15,15,1652,0,0,0
"bt","glm",1667,50,0.9,0,1667,107,64,1603,79,24,0
"bonf","bglm",1667,50,0.9,0,1667,16,13,1654,6,3,0
"bt","bglm",1667,50,0.9,0,1667,98,60,1607,193,58,0
"bonf","glm",1667,25,0,0,1667,2,2,1665,0,0,0
"bt","glm",1667,25,0,0,1667,83,77,1590,2,2,0
"bonf","bglm",1667,25,0,0,1667,7,7,1660,1,1,0
"bt","bglm",1667,25,0,0,1667,60,55,1612,57,57,0
"bonf","glm",1667,50,0,0,1667,11,11,1656,0,0,0
"bt","glm",1667,50,0,0,1667,61,56,1611,36,36,0
"bonf","bglm",1667,50,0,0,1667,7,7,1660,5,5,0
"bt","bglm",1667,50,0,0,1667,48,45,1622,87,81,0
"bonf","glm",1667,25,0.9,0,1667,14,11,1656,0,0,0
"bt","glm",1667,25,0.9,0,1667,154,95,1572,11,3,0
"bonf","bglm",1667,25,0.9,0,1667,4,4,1663,0,0,0
"bt","bglm",1667,25,0.9,0,1667,83,52,1615,59,17,0
"bonf","glm",1667,50,0.9,0,1667,9,7,1660,1,1,0
"bt","glm",1667,50,0.9,0,1667,103,67,1600,74,30,0
"bonf","bglm",1667,50,0.9,0,1667,6,5,1662,11,4,0
"bt","bglm",1667,50,0.9,0,1667,69,45,1622,162,55,0
"bonf","glm",1667,25,0,0,1667,5,5,1662,0,0,0
