"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,8,8,1659,3,3,0
"mmm","bglm",1667,50,0,0,1667,9,8,1659,58,57,0
"mmm","bglm",1667,25,0.9,0,1667,14,11,1656,19,7,0
"mmm","bglm",1667,50,0.9,0,1667,24,17,1650,160,60,0
"mmm","bglm",1667,25,0,0,1667,7,7,1660,4,4,0
"mmm","bglm",1667,50,0,0,1667,8,8,1659,46,46,0
"mmm","bglm",1667,25,0.9,0,1667,16,13,1654,28,10,0
"mmm","bglm",1667,50,0.9,0,1667,28,23,1644,138,48,0
"mmm","bglm",1667,25,0,0,1667,7,7,1660,2,2,0
"mmm","bglm",1667,50,0,0,1667,10,10,1657,41,41,0
"mmm","bglm",1667,25,0.9,0,1667,21,16,1651,24,7,0
"mmm","bglm",1667,50,0.9,0,1667,26,21,1646,163,60,0
"mmm","bglm",1667,25,0.5,0,1667,7,7,1660,6,4,0
"mmm","bglm",1667,50,0.5,0,1667,12,11,1656,58,44,0
"mmm","bglm",1667,25,0.5,0,1667,7,7,1660,5,5,0
"mmm","bglm",1667,50,0.5,0,1667,25,22,1645,37,32,0
"mmm","bglm",1667,25,0.5,0,1667,3,3,1664,11,8,0
"mmm","bglm",1667,50,0.5,0,1667,13,13,1654,62,48,0
"mmm","bglm",209,25,0,0,0,0,0,209,0,0,0
"mmm","bglm",209,50,0,0,0,0,0,209,5,4,0
"mmm","bglm",209,25,0.9,0,0,1,1,208,0,0,0
"mmm","bglm",209,50,0.9,0,0,1,1,208,18,6,1
"mmm","bglm",209,25,0,0,0,1,1,208,0,0,0
"mmm","bglm",209,50,0,0,0,0,0,209,6,6,0
"mmm","bglm",209,25,0.9,0,0,2,1,208,6,2,0
"mmm","bglm",209,50,0.9,0,0,0,0,209,22,6,2
"mmm","bglm",209,25,0,0,0,0,0,209,0,0,0
"mmm","bglm",209,50,0,0,0,2,2,207,5,5,0
"mmm","bglm",209,25,0.9,0,0,5,5,204,0,0,0
"mmm","bglm",209,50,0.9,0,0,2,2,207,16,3,1
"mmm","bglm",209,25,0,0,0,1,1,208,1,1,0
"mmm","bglm",209,50,0,0,0,1,1,208,5,5,0
"mmm","bglm",209,25,0.9,0,0,3,2,207,4,1,0
"mmm","bglm",209,50,0.9,0,0,3,3,206,13,5,1
"mmm","bglm",1667,25,0,0,1667,9,9,1658,4,4,0
"mmm","bglm",1667,50,0,0,1667,9,8,1659,37,36,0
"mmm","bglm",1667,25,0.9,0,1667,12,9,1658,24,7,0
"mmm","bglm",1667,50,0.9,0,1667,29,19,1648,153,52,0
"mmm","bglm",1667,25,0,0,1667,6,5,1662,1,1,0
"mmm","bglm",1667,50,0,0,1667,9,9,1658,46,46,0
"mmm","bglm",1667,25,0.9,0,1667,27,21,1646,23,9,0
"mmm","bglm",1667,50,0.9,0,1667,29,19,1648,231,66,0
"mmm","bglm",1667,25,0,0,1667,6,5,1662,6,6,0
"mmm","bglm",1667,50,0,0,1667,6,6,1661,51,51,0
"mmm","bglm",1667,25,0.9,0,1667,21,15,1652,46,15,0
"mmm","bglm",1667,50,0.9,0,1667,21,15,1652,183,58,0
"mmm","bglm",1667,25,0.5,0,1667,5,5,1662,2,2,0
"mmm","bglm",1667,50,0.5,0,1667,12,11,1656,61,52,0
"mmm","bglm",209,25,0,0,0,0,0,209,1,1,0
"mmm","bglm",209,50,0,0,0,0,0,209,0,0,0
"mmm","bglm",209,25,0.9,0,0,1,1,208,0,0,0
"mmm","bglm",209,50,0.9,0,0,6,5,204,14,5,0
"mmm","bglm",1667,25,0.5,0,1667,9,9,1658,5,5,0
"mmm","bglm",1667,50,0.5,0,1667,12,11,1656,46,40,0
"mmm","bglm",209,25,0,0,0,0,0,209,3,3,0
"mmm","bglm",209,50,0,0,0,3,1,208,6,6,0
"mmm","bglm",209,25,0.9,0,0,3,3,206,11,2,0
"mmm","bglm",209,50,0.9,0,0,7,5,204,10,4,0
"mmm","bglm",209,25,0,0,0,0,0,209,0,0,0
"mmm","bglm",209,50,0,0,0,0,0,209,8,8,0
"mmm","bglm",209,25,0.9,0,0,4,4,205,4,1,0
"mmm","bglm",209,50,0.9,0,0,5,3,206,17,7,0
"mmm","bglm",209,25,0.5,0,0,1,1,208,1,1,0
"mmm","bglm",209,50,0.5,0,0,1,1,208,5,4,0
"mmm","bglm",209,25,0.5,0,0,2,2,207,1,1,0
"mmm","bglm",209,50,0.5,0,0,1,1,208,4,4,0
"mmm","bglm",209,25,0.5,0,0,0,0,209,0,0,0
"mmm","bglm",209,50,0.5,0,0,1,1,208,13,10,0
"mmm","bglm",209,25,0.5,0,0,3,3,206,0,0,0
"mmm","bglm",209,50,0.5,0,0,2,2,207,6,6,0
"mmm","bglm",209,25,0.5,0,0,0,0,209,0,0,0
"mmm","bglm",209,50,0.5,0,0,2,2,207,6,6,0
"mmm","bglm",209,25,0.5,0,0,1,1,208,0,0,0
"mmm","bglm",209,50,0.5,0,0,3,2,207,4,3,0
"mmm","bglm",209,25,0.5,0,0,1,1,208,1,1,0
"mmm","bglm",209,50,0.5,0,0,1,1,208,8,6,0
"mmm","bglm",209,25,0.5,0,0,0,0,209,0,0,0
"mmm","bglm",209,50,0.5,0,0,4,4,205,8,8,0
"mmm","bglm",209,25,0.5,0,0,1,1,208,0,0,0
"mmm","bglm",209,50,0.5,0,0,2,2,207,4,4,0
"bonf","glm",1667,25,0,0,1667,14,12,1655,0,0,0
"bt","glm",1667,25,0,0,1667,107,90,1577,18,18,0
"bonf","bglm",1667,25,0,0,1667,10,9,1658,3,3,0
"bt","bglm",1667,25,0,0,1667,61,56,1611,134,129,0
"bonf","glm",1667,50,0,0,1667,11,11,1656,4,4,0
"bt","glm",1667,50,0,0,1667,72,65,1602,146,139,0
"bonf","bglm",1667,50,0,0,1667,7,7,1660,34,34,0
"bt","bglm",1667,50,0,0,1667,53,51,1616,271,242,0
"bonf","glm",1667,25,0.9,0,1667,14,10,1657,0,0,0
"bt","glm",1667,25,0.9,0,1667,126,77,1590,40,14,0
"bonf","bglm",1667,25,0.9,0,1667,3,3,1664,6,1,0
"bt","bglm",1667,25,0.9,0,1667,74,49,1618,206,67,0
"bonf","glm",1667,50,0.9,0,1667,21,16,1651,8,2,0
"bt","glm",1667,50,0.9,0,1667,88,60,1607,269,88,0
"bonf","bglm",1667,50,0.9,0,1667,6,5,1662,41,15,0
"bt","bglm",1667,50,0.9,0,1667,52,37,1630,507,154,0
"bonf","glm",1667,25,0,0,1667,8,8,1659,0,0,0
"bt","glm",1667,25,0,0,1667,76,70,1597,14,14,0
"bonf","bglm",1667,25,0,0,1667,4,4,1663,2,2,0
"bt","bglm",1667,25,0,0,1667,78,69,1598,144,141,0
"bonf","glm",1667,50,0,0,1667,21,21,1646,8,8,0
"bt","glm",1667,50,0,0,1667,68,60,1607,151,143,0
"bonf","bglm",1667,50,0,0,1667,7,6,1661,40,40,0
"bt","bglm",1667,50,0,0,1667,46,44,1623,315,279,0
"bonf","glm",1667,25,0.9,0,1667,16,10,1657,0,0,0
"bt","glm",1667,25,0.9,0,1667,116,74,1593,25,8,0
"bonf","bglm",1667,25,0.9,0,1667,7,6,1661,1,1,0
"bt","bglm",1667,25,0.9,0,1667,102,61,1606,254,83,0
"bonf","glm",1667,50,0.9,0,1667,10,7,1660,3,3,0
"bt","glm",1667,50,0.9,0,1667,90,60,1607,254,76,0
"bonf","bglm",1667,50,0.9,0,1667,4,3,1664,32,14,0
"bt","bglm",1667,50,0.9,0,1667,53,38,1629,509,138,0
"bonf","glm",1667,25,0,0,1667,11,10,1657,0,0,0
"bt","glm",1667,25,0,0,1667,69,61,1606,16,16,0
"bonf","bglm",1667,25,0,0,1667,9,9,1658,4,4,0
"bt","bglm",1667,25,0,0,1667,43,39,1628,148,139,0
"bonf","glm",1667,50,0,0,1667,16,16,1651,7,7,0
"bt","glm",1667,50,0,0,1667,55,50,1617,142,136,0
"bonf","bglm",1667,50,0,0,1667,8,8,1659,48,47,0
"bt","bglm",1667,50,0,0,1667,42,40,1627,296,262,0
"bonf","glm",1667,25,0.9,0,1667,5,3,1664,0,0,0
"bt","glm",1667,25,0.9,0,1667,131,82,1585,28,8,0
"bonf","bglm",1667,25,0.9,0,1667,6,6,1661,1,1,0
"bt","bglm",1667,25,0.9,0,1667,81,53,1614,257,66,0
"bonf","glm",1667,50,0.9,0,1667,17,14,1653,7,2,0
"bt","glm",1667,50,0.9,0,1667,101,77,1590,297,94,0
"bonf","bglm",1667,50,0.9,0,1667,5,4,1663,71,20,0
"bt","bglm",1667,50,0.9,0,1667,71,52,1615,479,129,0
"bonf","glm",1667,25,0.5,0,1667,6,6,1661,0,0,0
"bt","glm",1667,25,0.5,0,1667,83,74,1593,11,9,0
"bonf","bglm",1667,25,0.5,0,1667,1,1,1666,4,2,0
"bt","bglm",1667,25,0.5,0,1667,58,52,1615,183,123,0
"bonf","glm",1667,50,0.5,0,1667,16,14,1653,1,1,0
"bt","glm",1667,50,0.5,0,1667,67,57,1610,145,110,0
"bonf","bglm",1667,50,0.5,0,1667,9,8,1659,44,34,0
"bt","bglm",1667,50,0.5,0,1667,48,42,1625,354,215,0
"bonf","glm",1667,25,0.5,0,1667,4,4,1663,0,0,0
"bt","glm",1667,25,0.5,0,1667,87,75,1592,20,18,0
"bonf","bglm",1667,25,0.5,0,1667,8,6,1661,6,6,0
"bt","bglm",1667,25,0.5,0,1667,68,58,1609,138,110,0
"bonf","glm",1667,50,0.5,0,1667,7,5,1662,3,3,0
"bt","glm",1667,50,0.5,0,1667,58,48,1619,161,130,0
"bonf","bglm",1667,50,0.5,0,1667,12,11,1656,42,39,0
"bt","bglm",1667,50,0.5,0,1667,56,52,1615,351,224,0
"bonf","glm",1667,25,0.5,0,1667,15,14,1653,1,1,0
"bt","glm",1667,25,0.5,0,1667,83,72,1595,19,13,0
"bonf","bglm",1667,25,0.5,0,1667,4,4,1663,2,2,0
"bt","bglm",1667,25,0.5,0,1667,64,57,1610,144,103,0
"bonf","glm",1667,50,0.5,0,1667,12,11,1656,3,3,0
"bt","glm",1667,50,0.5,0,1667,62,55,1612,185,126,0
"bonf","bglm",1667,50,0.5,0,1667,12,10,1657,53,39,0
