"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",1667,25,0,0,0,21,19,1648,6,6,0
"mmm","glm",1667,25,0,0,98,30,29,1540,8,8,0
"bt","glm",1667,25,0,0,0,99,92,1575,49,49,0
"bonf","bglm",1667,25,0,0,0,14,13,1654,67,65,2
"mmm","bglm",1667,25,0,0,0,31,30,1637,98,96,2
"bt","bglm",1667,25,0,0,0,55,54,1613,232,225,7
"bonf","glm",1667,50,0,0,0,40,38,1629,401,375,26
"mmm","glm",1667,50,0,0,9,54,52,1606,443,413,30
"bt","glm",1667,50,0,0,0,91,82,1585,645,576,69
"bonf","bglm",1667,50,0,0,0,32,31,1636,627,561,66
"mmm","bglm",1667,50,0,0,0,36,34,1633,633,569,64
"bt","bglm",1667,50,0,0,0,61,56,1611,838,730,108
"bonf","glm",1667,25,0.5,0,0,20,18,1649,9,8,1
"mmm","glm",1667,25,0.5,0,77,25,24,1566,15,15,0
"bt","glm",1667,25,0.5,0,0,114,85,1582,85,75,10
"bonf","bglm",1667,25,0.5,0,0,29,25,1642,102,87,15
"mmm","bglm",1667,25,0.5,0,0,32,27,1640,98,87,11
"bt","bglm",1667,25,0.5,0,0,66,49,1618,256,215,41
"bonf","glm",1667,50,0.5,0,0,39,33,1634,363,306,57
"mmm","glm",1667,50,0.5,0,9,52,44,1614,495,400,95
"bt","glm",1667,50,0.5,0,0,124,90,1577,685,539,146
"bonf","bglm",1667,50,0.5,0,0,34,31,1636,662,506,156
"mmm","bglm",1667,50,0.5,0,0,34,31,1636,721,549,172
"bt","bglm",1667,50,0.5,0,0,91,75,1592,882,658,224
"bonf","glm",1667,25,0.9,0,0,37,16,1651,12,9,3
"mmm","glm",1667,25,0.9,0,75,97,28,1564,46,32,14
"bt","glm",1667,25,0.9,0,0,312,92,1575,146,103,43
"bonf","bglm",1667,25,0.9,0,0,28,10,1657,100,66,34
"mmm","bglm",1667,25,0.9,0,0,43,18,1649,210,139,71
"bt","bglm",1667,25,0.9,0,0,224,76,1591,469,303,166
"bonf","glm",1667,50,0.9,0,0,67,25,1642,373,241,132
"mmm","glm",1667,50,0.9,0,14,87,36,1617,883,543,340
"bt","glm",1667,50,0.9,0,0,268,72,1595,1087,650,437
"bonf","bglm",1667,50,0.9,0,0,34,14,1653,626,394,232
"mmm","bglm",1667,50,0.9,0,0,96,37,1630,1019,605,414
"bt","bglm",1667,50,0.9,0,0,161,55,1612,1242,729,513
"bonf","glm",1667,25,0,0,0,37,32,1635,8,8,0
"mmm","glm",1667,25,0,0,86,24,22,1559,11,11,0
"bt","glm",1667,25,0,0,0,104,94,1573,45,45,0
"bonf","bglm",1667,25,0,0,0,29,28,1639,77,76,1
"mmm","bglm",1667,25,0,0,0,22,22,1645,64,63,1
"bt","bglm",1667,25,0,0,0,89,79,1588,233,227,6
"bonf","glm",1667,50,0,0,0,69,66,1601,382,359,23
"mmm","glm",1667,50,0,0,3,85,79,1585,439,413,26
"bt","glm",1667,50,0,0,0,93,90,1577,604,547,57
"bonf","bglm",1667,50,0,0,0,38,38,1629,607,563,44
"mmm","bglm",1667,50,0,0,0,46,44,1623,664,602,62
"bt","bglm",1667,50,0,0,0,72,68,1599,850,742,108
"bonf","glm",1667,25,0.5,0,0,38,31,1636,8,7,1
"mmm","glm",1667,25,0.5,0,78,38,31,1558,10,10,0
"bt","glm",1667,25,0.5,0,0,93,76,1591,82,76,6
"bonf","bglm",1667,25,0.5,0,0,23,20,1647,72,66,6
"mmm","bglm",1667,25,0.5,0,0,27,22,1645,103,94,9
"bt","bglm",1667,25,0.5,0,0,92,78,1589,263,230,33
"bonf","glm",1667,50,0.5,0,0,49,43,1624,370,298,72
"mmm","glm",1667,50,0.5,0,9,72,55,1603,525,427,98
"bt","glm",1667,50,0.5,0,0,90,67,1600,653,513,140
"bonf","bglm",1667,50,0.5,0,0,31,26,1641,646,499,147
"mmm","bglm",1667,50,0.5,0,0,53,43,1624,704,555,149
"bt","bglm",1667,50,0.5,0,0,77,64,1603,944,720,224
"bonf","glm",1667,25,0.9,0,0,22,12,1655,6,5,1
"mmm","glm",1667,25,0.9,0,90,90,27,1550,41,30,11
"bt","glm",1667,25,0.9,0,0,339,94,1573,137,94,43
"bonf","bglm",1667,25,0.9,0,0,31,14,1653,64,44,20
"mmm","bglm",1667,25,0.9,0,0,54,20,1647,206,140,66
"bt","bglm",1667,25,0.9,0,0,165,47,1620,433,273,160
"bonf","glm",1667,50,0.9,0,0,39,21,1646,361,236,125
"mmm","glm",1667,50,0.9,0,7,151,53,1607,778,493,285
"bt","glm",1667,50,0.9,0,0,294,88,1579,1080,644,436
"bonf","bglm",1667,50,0.9,0,0,50,23,1644,609,384,225
