"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",1667,25,0,0,0,0,0,1667,105,103,2
"mmm","glm",1667,25,0,0,1535,0,0,132,2,2,0
"bt","glm",1667,25,0,0,0,0,0,1667,443,378,49
"bonf","bglm",1667,25,0,0,0,0,0,1667,82,80,2
"mmm","bglm",1667,25,0,0,0,0,0,1667,100,99,1
"bt","bglm",1667,25,0,0,0,0,0,1667,354,326,23
"bonf","glm",1667,50,0,0,0,0,0,1667,451,414,37
"mmm","glm",1667,50,0,0,1475,0,0,192,47,44,3
"bt","glm",1667,50,0,0,0,0,0,1667,938,783,139
"bonf","bglm",1667,50,0,0,0,0,0,1667,327,309,18
"mmm","bglm",1667,50,0,0,0,0,0,1667,370,343,27
"bt","bglm",1667,50,0,0,0,0,0,1667,894,770,110
"bonf","glm",1667,25,0.5,0,0,0,0,1667,88,85,3
"mmm","glm",1667,25,0.5,0,1225,0,0,442,20,18,2
"bt","glm",1667,25,0.5,0,0,0,0,1667,481,372,82
"bonf","bglm",1667,25,0.5,0,0,0,0,1667,99,89,10
"mmm","bglm",1667,25,0.5,0,0,0,0,1667,140,123,17
"bt","bglm",1667,25,0.5,0,0,0,0,1667,343,290,47
"bonf","glm",1667,50,0.5,0,0,0,0,1667,425,353,70
"mmm","glm",1667,50,0.5,0,1209,0,0,458,99,77,20
"bt","glm",1667,50,0.5,0,0,0,0,1667,976,722,235
"bonf","bglm",1667,50,0.5,0,0,0,0,1667,311,273,34
"mmm","bglm",1667,50,0.5,0,0,0,0,1667,500,400,98
"bt","bglm",1667,50,0.5,0,0,0,0,1667,891,644,226
"bonf","glm",1667,25,0.9,0,0,0,0,1667,111,73,30
"mmm","glm",1667,25,0.9,0,738,0,0,929,150,94,47
"bt","glm",1667,25,0.9,0,0,0,0,1667,579,351,186
"bonf","bglm",1667,25,0.9,0,0,0,0,1667,106,75,28
"mmm","bglm",1667,25,0.9,0,0,0,0,1667,246,166,78
"bt","bglm",1667,25,0.9,0,0,0,0,1667,470,300,140
"bonf","glm",1667,50,0.9,0,0,0,0,1667,385,243,139
"mmm","glm",1667,50,0.9,0,733,0,0,934,348,212,126
"bt","glm",1667,50,0.9,0,0,0,0,1667,1095,629,394
"bonf","bglm",1667,50,0.9,0,0,0,0,1667,317,214,101
"mmm","bglm",1667,50,0.9,0,0,0,0,1667,758,455,280
"bt","bglm",1667,50,0.9,0,0,0,0,1667,1064,622,391
"bonf","glm",1667,25,0,0,0,0,0,1667,105,103,2
"mmm","glm",1667,25,0,0,1522,0,0,145,4,4,0
"bt","glm",1667,25,0,0,0,0,0,1667,424,366,48
"bonf","bglm",1667,25,0,0,0,0,0,1667,74,74,0
"mmm","bglm",1667,25,0,0,0,0,0,1667,102,102,0
"bt","bglm",1667,25,0,0,0,0,0,1667,364,338,22
"bonf","glm",1667,50,0,0,0,0,0,1667,402,376,24
"mmm","glm",1667,50,0,0,1486,0,0,181,38,36,2
"bt","glm",1667,50,0,0,0,0,0,1667,963,799,150
"bonf","bglm",1667,50,0,0,0,0,0,1667,342,325,17
"mmm","bglm",1667,50,0,0,0,0,0,1667,387,362,25
"bt","bglm",1667,50,0,0,0,0,0,1667,888,759,122
