"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,30,30,1637,0,0,0
"mmm","bglm",1667,50,0,0,1667,39,37,1630,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,47,25,1642,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,94,37,1630,0,0,0
"mmm","bglm",1667,25,0,0,1667,23,22,1645,0,0,0
"mmm","bglm",1667,50,0,0,1667,43,43,1624,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,66,28,1639,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,90,34,1633,0,0,0
"mmm","bglm",1667,25,0,0,1667,19,19,1648,0,0,0
"mmm","bglm",1667,50,0,0,1667,48,45,1622,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,58,22,1645,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,109,35,1632,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,29,27,1640,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,49,35,1632,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,25,24,1643,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,64,51,1616,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,26,23,1644,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,71,55,1612,0,0,0
"mmm","bglm",1667,25,0,0,1667,16,16,1651,0,0,0
"mmm","bglm",1667,50,0,0,1667,42,39,1628,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,105,32,1635,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,156,55,1612,0,0,0
"mmm","bglm",1667,25,0,0,1667,29,28,1639,0,0,0
"mmm","bglm",1667,50,0,0,1667,43,42,1625,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,80,26,1641,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,133,36,1631,0,0,0
"mmm","bglm",1667,25,0,0,1667,22,22,1645,0,0,0
"mmm","bglm",1667,50,0,0,1667,49,47,1620,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,67,25,1642,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,119,46,1621,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,30,28,1639,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,40,35,1632,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,28,20,1647,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,45,33,1634,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,27,21,1646,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,47,43,1624,0,0,0
"bonf","glm",1667,25,0,0,1667,31,28,1639,0,0,0
"bt","glm",1667,25,0,0,1667,77,69,1598,0,0,0
"bonf","bglm",1667,25,0,0,1667,24,24,1643,0,0,0
"bt","bglm",1667,25,0,0,1667,64,63,1604,0,0,0
"bonf","glm",1667,50,0,0,1667,60,54,1613,0,0,0
"bt","glm",1667,50,0,0,1667,97,90,1577,0,0,0
"bonf","bglm",1667,50,0,0,1667,34,33,1634,0,0,0
"bt","bglm",1667,50,0,0,1667,61,55,1612,0,0,0
"bonf","glm",1667,25,0.9,0,1667,30,9,1658,0,0,0
"bt","glm",1667,25,0.9,0,1667,172,69,1598,0,0,0
"bonf","bglm",1667,25,0.9,0,1667,36,13,1654,0,0,0
"bt","bglm",1667,25,0.9,0,1667,222,71,1596,0,0,0
"bonf","glm",1667,50,0.9,0,1667,54,25,1642,0,0,0
"bt","glm",1667,50,0.9,0,1667,242,82,1585,0,0,0
