"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,28,28,1639,0,0,0
"mmm","bglm",1667,50,0,0,1667,40,40,1627,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,82,27,1640,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,125,43,1624,0,0,0
"mmm","bglm",1667,25,0,0,1667,32,31,1636,0,0,0
"mmm","bglm",1667,50,0,0,1667,38,37,1630,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,62,27,1640,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,106,39,1628,0,0,0
"mmm","bglm",1667,25,0,0,1667,27,26,1641,0,0,0
"mmm","bglm",1667,50,0,0,1667,39,37,1630,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,53,21,1646,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,89,42,1625,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,19,19,1648,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,63,41,1626,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,36,26,1641,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,45,39,1628,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,21,20,1647,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,45,45,1622,0,0,0
"mmm","bglm",1667,25,0,0,1667,23,23,1644,0,0,0
"mmm","bglm",1667,50,0,0,1667,43,39,1628,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,80,27,1640,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,107,32,1635,0,0,0
"mmm","bglm",1667,25,0,0,1667,23,23,1644,0,0,0
"mmm","bglm",1667,50,0,0,1667,50,47,1620,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,88,32,1635,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,158,50,1617,0,0,0
"mmm","bglm",1667,25,0,0,1667,28,27,1640,0,0,0
"mmm","bglm",1667,50,0,0,1667,39,36,1631,0,0,0
"mmm","bglm",1667,25,0.9,0,1667,78,30,1637,0,0,0
"mmm","bglm",1667,50,0.9,0,1667,100,38,1629,2,1,0
"mmm","bglm",1667,25,0.5,0,1667,23,21,1646,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,57,50,1617,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,30,22,1645,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,50,45,1622,0,0,0
"mmm","bglm",1667,25,0.5,0,1667,22,21,1646,0,0,0
"mmm","bglm",1667,50,0.5,0,1667,49,43,1624,0,0,0
"bonf","glm",1667,25,0,0,1667,27,27,1640,0,0,0
"bt","glm",1667,25,0,0,1667,85,78,1589,0,0,0
"bonf","bglm",1667,25,0,0,1667,11,11,1656,0,0,0
"bt","bglm",1667,25,0,0,1667,60,57,1610,0,0,0
"bonf","glm",1667,50,0,0,1667,56,49,1618,0,0,0
"bt","glm",1667,50,0,0,1667,91,86,1581,0,0,0
"bonf","bglm",1667,50,0,0,1667,37,34,1633,0,0,0
"bt","bglm",1667,50,0,0,1667,71,67,1600,0,0,0
"bonf","glm",1667,25,0.9,0,1667,32,13,1654,0,0,0
"bt","glm",1667,25,0.9,0,1667,252,81,1586,0,0,0
"bonf","bglm",1667,25,0.9,0,1667,34,10,1657,0,0,0
"bt","bglm",1667,25,0.9,0,1667,201,65,1602,0,0,0
"bonf","glm",1667,50,0.9,0,1667,67,24,1643,0,0,0
"bt","glm",1667,50,0.9,0,1667,257,92,1575,0,0,0
"bonf","bglm",1667,50,0.9,0,1667,42,12,1655,0,0,0
"bt","bglm",1667,50,0.9,0,1667,187,74,1593,0,0,0
"bonf","glm",1667,25,0,0,1667,26,25,1642,0,0,0
"bt","glm",1667,25,0,0,1667,95,91,1576,0,0,0
"bonf","bglm",1667,25,0,0,1667,19,18,1649,0,0,0
"bt","bglm",1667,25,0,0,1667,80,72,1595,0,0,0
"bonf","glm",1667,50,0,0,1667,63,55,1612,0,0,0
"bt","glm",1667,50,0,0,1667,91,88,1579,0,0,0
"bonf","bglm",1667,50,0,0,1667,31,30,1637,0,0,0
"bt","bglm",1667,50,0,0,1667,53,52,1615,0,0,0
"bonf","glm",1667,25,0.9,0,1667,34,13,1654,0,0,0
"bt","glm",1667,25,0.9,0,1667,280,90,1577,0,0,0
"bonf","bglm",1667,25,0.9,0,1667,13,6,1661,0,0,0
"bt","bglm",1667,25,0.9,0,1667,198,61,1606,0,0,0
"bonf","glm",1667,50,0.9,0,1667,73,27,1640,0,0,0
"bt","glm",1667,50,0.9,0,1667,280,82,1585,0,0,0
"bonf","bglm",1667,50,0.9,0,1667,46,16,1651,0,0,0
"bt","bglm",1667,50,0.9,0,1667,218,74,1593,0,0,0
"bonf","glm",1667,25,0,0,1667,26,26,1641,0,0,0
"bt","glm",1667,25,0,0,1667,96,93,1574,0,0,0
"bonf","bglm",1667,25,0,0,1667,21,21,1646,0,0,0
"bt","bglm",1667,25,0,0,1667,81,75,1592,0,0,0
"bonf","glm",1667,50,0,0,1667,55,53,1614,0,0,0
"bt","glm",1667,50,0,0,1667,101,93,1574,0,0,0
"bonf","bglm",1667,50,0,0,1667,35,35,1632,0,0,0
"bt","bglm",1667,50,0,0,1667,57,57,1610,0,0,0
"bonf","glm",1667,25,0.9,0,1667,22,11,1656,0,0,0
"bt","glm",1667,25,0.9,0,1667,270,89,1578,0,0,0
"bonf","bglm",1667,25,0.9,0,1667,22,11,1656,0,0,0
"bt","bglm",1667,25,0.9,0,1667,170,64,1603,0,0,0
"bonf","glm",1667,50,0.9,0,1667,64,24,1643,0,0,0
"bt","glm",1667,50,0.9,0,1667,230,74,1593,0,0,0
"bonf","bglm",1667,50,0.9,0,1667,22,11,1656,0,0,0
"bt","bglm",1667,50,0.9,0,1667,220,63,1604,0,0,0
"bonf","glm",1667,25,0.5,0,1667,31,27,1640,0,0,0
"bt","glm",1667,25,0.5,0,1667,97,83,1584,0,0,0
"bonf","bglm",1667,25,0.5,0,1667,18,17,1650,0,0,0
"bt","bglm",1667,25,0.5,0,1667,79,68,1599,0,0,0
"bonf","glm",1667,50,0.5,0,1667,59,55,1612,0,0,0
"bt","glm",1667,50,0.5,0,1667,98,76,1591,0,0,0
"bonf","bglm",1667,50,0.5,0,1667,37,29,1638,0,0,0
"bt","bglm",1667,50,0.5,0,1667,89,66,1601,0,0,0
"bonf","glm",1667,25,0.5,0,1667,33,31,1636,0,0,0
"bt","glm",1667,25,0.5,0,1667,131,90,1577,0,0,0
"bonf","bglm",1667,25,0.5,0,1667,11,11,1656,0,0,0
"bt","bglm",1667,25,0.5,0,1667,95,83,1584,0,0,0
"bonf","glm",1667,50,0.5,0,1667,41,36,1631,0,0,0
"bt","glm",1667,50,0.5,0,1667,122,95,1572,0,0,0
