"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,0,0,1667,73,72,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,179,169,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,198,58,0
"mmm","bglm",1667,50,0.9,0,1667,0,0,1667,405,112,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,86,81,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,176,166,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,247,69,0
"mmm","bglm",1667,50,0.9,0,1667,0,0,1667,349,105,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,62,60,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,183,175,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,187,61,0
"mmm","bglm",1667,50,0.9,0,1667,0,0,1667,411,129,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,80,65,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,242,160,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,78,63,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,240,153,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,66,52,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,230,149,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,70,67,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,171,164,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,172,62,0
"mmm","bglm",1667,50,0.9,0,1667,0,0,1667,373,121,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,74,70,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,192,177,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,153,53,0
"mmm","bglm",1667,50,0.9,0,1667,0,0,1667,469,135,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,69,65,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,177,162,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,167,57,0
"mmm","bglm",1667,50,0.9,0,1667,0,0,1667,458,141,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,90,66,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,218,153,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,84,67,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,255,171,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,64,57,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,255,162,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,68,66,0
"bt","glm",1667,25,0,0,1667,0,0,1667,168,160,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,73,72,0
