"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1667,25,0,0,1667,0,0,1667,373,339,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,1351,950,0
"mmm","bglm",1667,25,0.9,0,1667,1,1,1666,802,207,0
"mmm","bglm",1667,50,0.9,0,1667,3,3,1664,2334,526,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,394,360,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,1374,963,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,743,208,0
"mmm","bglm",1667,50,0.9,0,1667,1,1,1666,2415,534,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,399,354,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,1388,990,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,680,194,0
"mmm","bglm",1667,50,0.9,0,1667,1,1,1666,2564,553,0
"mmm","bglm",1667,25,0.5,0,1667,1,1,1666,329,213,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,1796,750,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,391,262,0
"mmm","bglm",1667,50,0.5,0,1667,1,1,1666,1667,730,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,377,238,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,1856,755,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,405,367,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,1396,981,0
"mmm","bglm",1667,25,0.9,0,1667,1,1,1666,795,220,0
"mmm","bglm",1667,50,0.9,0,1667,4,4,1663,2487,537,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,389,347,0
"mmm","bglm",1667,50,0,0,1667,1,1,1666,1404,969,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,744,190,0
"mmm","bglm",1667,50,0.9,0,1667,3,2,1665,2339,492,0
"mmm","bglm",1667,25,0,0,1667,0,0,1667,391,357,0
"mmm","bglm",1667,50,0,0,1667,0,0,1667,1310,948,0
"mmm","bglm",1667,25,0.9,0,1667,0,0,1667,805,201,0
"mmm","bglm",1667,50,0.9,0,1667,3,2,1665,2275,522,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,403,254,0
"mmm","bglm",1667,50,0.5,0,1667,1,1,1666,1759,747,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,427,256,0
"mmm","bglm",1667,50,0.5,0,1667,0,0,1667,1575,709,0
"mmm","bglm",1667,25,0.5,0,1667,0,0,1667,420,256,0
"mmm","bglm",1667,50,0.5,0,1667,3,3,1664,1641,719,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,435,379,0
"bt","glm",1667,25,0,0,1667,0,0,1667,737,587,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,392,365,0
"bt","bglm",1667,25,0,0,1667,0,0,1667,600,507,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,1717,1109,0
"bt","glm",1667,50,0,0,1667,0,0,1667,1975,1182,0
"bonf","bglm",1667,50,0,0,1667,0,0,1667,1363,957,0
"bt","bglm",1667,50,0,0,1667,1,1,1666,1838,1140,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,388,111,0
"bt","glm",1667,25,0.9,0,1667,0,0,1667,1533,360,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,338,107,0
"bt","bglm",1667,25,0.9,0,1667,3,3,1664,1213,294,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,1718,405,0
"bt","glm",1667,50,0.9,0,1667,5,4,1663,3432,682,0
"bonf","bglm",1667,50,0.9,0,1667,0,0,1667,1471,359,0
"bt","bglm",1667,50,0.9,0,1667,11,8,1659,2973,588,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,362,317,0
"bt","glm",1667,25,0,0,1667,0,0,1667,706,577,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,396,367,0
"bt","bglm",1667,25,0,0,1667,0,0,1667,597,491,0
"bonf","glm",1667,50,0,0,1667,0,0,1667,1640,1085,0
"bt","glm",1667,50,0,0,1667,0,0,1667,1904,1195,0
"bonf","bglm",1667,50,0,0,1667,0,0,1667,1275,907,0
"bt","bglm",1667,50,0,0,1667,1,1,1666,1848,1144,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,365,104,0
"bt","glm",1667,25,0.9,0,1667,2,1,1666,1450,325,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,385,106,0
"bt","bglm",1667,25,0.9,0,1667,0,0,1667,1470,325,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,1789,425,0
"bt","glm",1667,50,0.9,0,1667,2,2,1665,3239,640,0
"bonf","bglm",1667,50,0.9,0,1667,0,0,1667,1281,330,0
"bt","bglm",1667,50,0.9,0,1667,5,4,1663,3146,625,0
"bonf","glm",1667,25,0,0,1667,0,0,1667,385,342,0
"bt","glm",1667,25,0,0,1667,0,0,1667,700,563,0
"bonf","bglm",1667,25,0,0,1667,0,0,1667,381,345,0
"bt","bglm",1667,25,0,0,1667,0,0,1667,588,490,0
"bonf","glm",1667,50,0,0,1667,1,1,1666,1644,1084,0
"bt","glm",1667,50,0,0,1667,0,0,1667,1946,1196,0
"bonf","bglm",1667,50,0,0,1667,1,1,1666,1286,926,0
"bt","bglm",1667,50,0,0,1667,2,2,1665,1847,1150,0
"bonf","glm",1667,25,0.9,0,1667,0,0,1667,399,105,0
"bt","glm",1667,25,0.9,0,1667,1,1,1666,1466,333,0
"bonf","bglm",1667,25,0.9,0,1667,0,0,1667,384,107,0
"bt","bglm",1667,25,0.9,0,1667,5,3,1664,1426,340,0
"bonf","glm",1667,50,0.9,0,1667,0,0,1667,1772,409,0
"bt","glm",1667,50,0.9,0,1667,0,0,1667,3419,694,0
"bonf","bglm",1667,50,0.9,0,1667,0,0,1667,1402,343,0
"bt","bglm",1667,50,0.9,0,1667,9,7,1660,3236,677,0
"bonf","glm",1667,25,0.5,0,1667,0,0,1667,418,255,0
"bt","glm",1667,25,0.5,0,1667,0,0,1667,849,444,0
"bonf","bglm",1667,25,0.5,0,1667,0,0,1667,344,210,0
"bt","bglm",1667,25,0.5,0,1667,0,0,1667,781,403,0
"bonf","glm",1667,50,0.5,0,1667,0,0,1667,1802,751,0
"bt","glm",1667,50,0.5,0,1667,0,0,1667,2124,868,0
"bonf","bglm",1667,50,0.5,0,1667,0,0,1667,1319,633,0
"bt","bglm",1667,50,0.5,0,1667,0,0,1667,2011,799,0
"bonf","glm",1667,25,0.5,0,1667,0,0,1667,376,239,0
