"method","model","nsim","ntrt","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"mmm","bglm",1000,25,0,0,1000,16,15,985,0,0,0
"mmm","bglm",1000,50,0,0,1000,19,19,981,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,13,12,988,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,25,20,980,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,34,11,989,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,83,33,967,0,0,0
"mmm","bglm",1000,25,0,0,1000,13,13,987,0,0,0
"mmm","bglm",1000,50,0,0,1000,21,21,979,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,14,14,986,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,26,25,975,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,34,19,981,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,47,20,980,0,0,0
"mmm","bglm",1000,25,0,0,1000,12,12,988,0,0,0
"mmm","bglm",1000,50,0,0,1000,20,20,980,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,25,20,980,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,25,23,977,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,45,13,987,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,79,28,972,0,0,0
"mmm","bglm",1000,25,0,0,1000,16,16,984,0,0,0
"mmm","bglm",1000,50,0,0,1000,19,17,983,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,20,19,981,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,31,28,972,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,32,17,983,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,40,13,987,0,0,0
"mmm","bglm",1000,25,0,0,1000,14,13,987,0,0,0
"mmm","bglm",1000,50,0,0,1000,19,19,981,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,13,13,987,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,36,29,971,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,71,26,974,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,62,22,978,0,0,0
"mmm","bglm",1000,25,0,0,1000,11,11,989,0,0,0
"mmm","bglm",1000,50,0,0,1000,16,16,984,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,18,15,985,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,37,25,975,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,42,16,984,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,56,27,973,0,0,0
"mmm","bglm",1000,25,0,0,1000,12,12,988,0,0,0
"mmm","bglm",1000,50,0,0,1000,29,27,973,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,26,21,979,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,25,19,981,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,32,16,984,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,76,28,972,0,0,0
"mmm","bglm",1000,25,0,0,1000,11,11,989,0,0,0
"mmm","bglm",1000,50,0,0,1000,24,23,977,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,23,16,984,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,37,28,972,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,29,14,986,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,59,26,974,0,0,0
"mmm","bglm",1000,25,0,0,1000,12,12,988,0,0,0
"mmm","bglm",1000,50,0,0,1000,18,18,982,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,15,15,985,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,44,34,966,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,48,16,984,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,53,23,977,0,0,0
"mmm","bglm",1000,25,0,0,1000,12,12,988,0,0,0
"mmm","bglm",1000,50,0,0,1000,14,14,986,0,0,0
"mmm","bglm",1000,25,0.5,0,1000,21,18,982,0,0,0
"mmm","bglm",1000,50,0.5,0,1000,21,19,981,0,0,0
"mmm","bglm",1000,25,0.9,0,1000,40,18,982,0,0,0
"mmm","bglm",1000,50,0.9,0,1000,99,28,972,0,0,0
"bonf","glm",1000,25,0,0,1000,16,15,985,0,0,0
"bt","glm",1000,25,0,0,1000,62,60,940,0,0,0
"bonf","bglm",1000,25,0,0,1000,11,11,989,0,0,0
"bt","bglm",1000,25,0,0,1000,31,31,969,0,0,0
"bonf","glm",1000,50,0,0,1000,38,31,969,0,0,0
"bt","glm",1000,50,0,0,1000,66,63,937,0,0,0
"bonf","bglm",1000,50,0,0,1000,15,14,986,0,0,0
"bt","bglm",1000,50,0,0,1000,44,40,960,0,0,0
"bonf","glm",1000,25,0.5,0,1000,14,12,988,0,0,0
"bt","glm",1000,25,0.5,0,1000,85,54,946,0,0,0
"bonf","bglm",1000,25,0.5,0,1000,15,12,988,0,0,0
"bt","bglm",1000,25,0.5,0,1000,47,35,965,0,0,0
"bonf","glm",1000,50,0.5,0,1000,32,26,974,0,0,0
"bt","glm",1000,50,0.5,0,1000,70,56,944,0,0,0
"bonf","bglm",1000,50,0.5,0,1000,22,18,982,0,0,0
"bt","bglm",1000,50,0.5,0,1000,29,25,975,1,1,0
"bonf","glm",1000,25,0.9,0,1000,30,5,995,0,0,0
"bt","glm",1000,25,0.9,0,1000,165,47,953,0,0,0
"bonf","bglm",1000,25,0.9,0,1000,30,7,993,0,0,0
"bt","bglm",1000,25,0.9,0,1000,144,52,948,1,1,0
"bonf","glm",1000,50,0.9,0,1000,29,11,989,0,0,0
"bt","glm",1000,50,0.9,0,1000,147,49,951,0,0,0
"bonf","bglm",1000,50,0.9,0,1000,11,7,993,0,0,0
"bt","bglm",1000,50,0.9,0,1000,90,36,964,6,4,0
"bonf","glm",1000,25,0,0,1000,18,16,984,0,0,0
"bt","glm",1000,25,0,0,1000,56,50,950,0,0,0
"bonf","bglm",1000,25,0,0,1000,16,15,985,0,0,0
"bt","bglm",1000,25,0,0,1000,47,45,955,0,0,0
"bonf","glm",1000,50,0,0,1000,47,45,955,0,0,0
"bt","glm",1000,50,0,0,1000,53,49,951,0,0,0
"bonf","bglm",1000,50,0,0,1000,20,20,980,0,0,0
"bt","bglm",1000,50,0,0,1000,29,27,973,0,0,0
"bonf","glm",1000,25,0.5,0,1000,22,17,983,0,0,0
"bt","glm",1000,25,0.5,0,1000,51,45,955,0,0,0
"bonf","bglm",1000,25,0.5,0,1000,9,5,995,0,0,0
"bt","bglm",1000,25,0.5,0,1000,48,38,962,0,0,0
"bonf","glm",1000,50,0.5,0,1000,48,40,960,0,0,0
"bt","glm",1000,50,0.5,0,1000,75,60,940,0,0,0
"bonf","bglm",1000,50,0.5,0,1000,23,18,982,0,0,0
