"Endpoint","Bonferroni","B_Bonferroni","MMM","B_MMM","Bootstrap","B_Bootstrap"
"t24",0.0227,0.0269,0.022,0.026,0.0117,0.0154
"t26",1,1,0.9987,0.9989,0.9988,0.9985
"t27",0.0032,0.0036,0.0032,0.0036,0.0011,8e-04
"t28",1,1,1,1,1,1
"t29",0,0,0,0,0,0
"t36",0.6558,0.7304,0.473,0.5107,0.4483,0.4534
"t41",0.2386,0.2684,0.2066,0.229,0.1703,0.1746
"t42",0,0,0,0,0,0
"t59",0.0066,0.0071,0.0065,0.007,0.0027,0.0032
"t71",0.4336,0.2214,0.3437,0.1932,0.3073,0.143
