"","Method","Model","Setting","N","Correlation","Power","FWER","No_simulations"
"83","bonf","glm","h010_4x01_3x03_3x05",200,0.5,0,0.0204,10000
"84","bonf","glm","h010_4x01_3x03_3x05",200,0.9,0,0.0132,10000
"85","bt","bglm","h010_4x01_3x03_3x05",100,0,0,0.0382,10000
"86","bt","bglm","h010_4x01_3x03_3x05",100,0.5,0,0.0393,10000
"87","bt","bglm","h010_4x01_3x03_3x05",100,0.9,0,0.0461,10000
"88","bt","bglm","h010_4x01_3x03_3x05",200,0,0,0.0418,10000
"89","bt","bglm","h010_4x01_3x03_3x05",200,0.5,0,0.0436,10000
"90","bt","bglm","h010_4x01_3x03_3x05",200,0.9,0,0.0398,10000
"91","bt","glm","h010_4x01_3x03_3x05",100,0,0,0.051,10000
"92","bt","glm","h010_4x01_3x03_3x05",100,0.5,0,0.0492,10000
"93","bt","glm","h010_4x01_3x03_3x05",100,0.9,0,0.0507,10000
"94","bt","glm","h010_4x01_3x03_3x05",200,0,0,0.052,10000
"95","bt","glm","h010_4x01_3x03_3x05",200,0.5,0,0.0496,10000
"96","bt","glm","h010_4x01_3x03_3x05",200,0.9,0,0.0496,10000
"97","mmm","bglm","h010_4x01_3x03_3x05",100,0,0,0.0087,10000
"98","mmm","bglm","h010_4x01_3x03_3x05",100,0.5,0,0.0111,10000
"99","mmm","bglm","h010_4x01_3x03_3x05",100,0.9,0,0.0106,10000
"100","mmm","bglm","h010_4x01_3x03_3x05",200,0,0,0.0152,10000
"101","mmm","bglm","h010_4x01_3x03_3x05",200,0.5,0,0.0156,10000
"102","mmm","bglm","h010_4x01_3x03_3x05",200,0.9,0,0.022,10000
"103","mmm","glm","h010_4x01_3x03_3x05",100,0,0,0.0096,10000
"104","mmm","glm","h010_4x01_3x03_3x05",100,0.5,0,0.009,10000
"105","mmm","glm","h010_4x01_3x03_3x05",100,0.9,0,0.0162,10000
"106","mmm","glm","h010_4x01_3x03_3x05",200,0,0,0.0257,10000
"107","mmm","glm","h010_4x01_3x03_3x05",200,0.5,0,0.0216,10000
"108","mmm","glm","h010_4x01_3x03_3x05",200,0.9,0,0.0292,10000
"109","bonf","bglm","h02_01_ha8_04_s03",100,0,0.247,0,10000
"110","bonf","bglm","h02_01_ha8_04_s03",100,0.5,0.1714,0,10000
"111","bonf","bglm","h02_01_ha8_04_s03",100,0.9,0.0742,0,10000
"112","bonf","bglm","h02_01_ha8_04_s03",200,0,0.7343,2e-04,10000
"113","bonf","bglm","h02_01_ha8_04_s03",200,0.5,0.4971,1e-04,10000
"114","bonf","bglm","h02_01_ha8_04_s03",200,0.9,0.2765,1e-04,10000
"115","bonf","glm","h02_01_ha8_04_s03",100,0,0.3326,0,10000
"116","bonf","glm","h02_01_ha8_04_s03",100,0.5,0.2158,0,10000
"117","bonf","glm","h02_01_ha8_04_s03",100,0.9,0.11,0,10000
"118","bonf","glm","h02_01_ha8_04_s03",200,0,0.8347,1e-04,10000
"119","bonf","glm","h02_01_ha8_04_s03",200,0.5,0.574,0,10000
"120","bonf","glm","h02_01_ha8_04_s03",200,0.9,0.3397,0,10000
"121","bt","bglm","h02_01_ha8_04_s03",100,0,0.3881,1e-04,10000
"122","bt","bglm","h02_01_ha8_04_s03",100,0.5,0.3232,4e-04,10000
"123","bt","bglm","h02_01_ha8_04_s03",100,0.9,0.2455,0.002,10000
"124","bt","bglm","h02_01_ha8_04_s03",200,0,0.8337,7e-04,10000
"125","bt","bglm","h02_01_ha8_04_s03",200,0.5,0.6032,3e-04,10000
"126","bt","bglm","h02_01_ha8_04_s03",200,0.9,0.49,0.0038,10000
"127","bt","glm","h02_01_ha8_04_s03",100,0,0.5003,0,10000
"128","bt","glm","h02_01_ha8_04_s03",100,0.5,0.3596,0,10000
"129","bt","glm","h02_01_ha8_04_s03",100,0.9,0.2813,0,10000
"130","bt","glm","h02_01_ha8_04_s03",200,0,0.8658,0,10000
"131","bt","glm","h02_01_ha8_04_s03",200,0.5,0.6524,0,10000
"132","bt","glm","h02_01_ha8_04_s03",200,0.9,0.5235,5e-04,10000
"133","mmm","bglm","h02_01_ha8_04_s03",100,0,0.2799,0,10000
"134","mmm","bglm","h02_01_ha8_04_s03",100,0.5,0.2128,0,10000
"135","mmm","bglm","h02_01_ha8_04_s03",100,0.9,0.159,0,10000
"136","mmm","bglm","h02_01_ha8_04_s03",200,0,0.7371,2e-04,10000
"137","mmm","bglm","h02_01_ha8_04_s03",200,0.5,0.5221,2e-04,10000
"138","mmm","bglm","h02_01_ha8_04_s03",200,0.9,0.4163,0.0012,10000
"139","mmm","glm","h02_01_ha8_04_s03",100,0,0.3158,0,10000
"140","mmm","glm","h02_01_ha8_04_s03",100,0.5,0.2113,0,10000
"141","mmm","glm","h02_01_ha8_04_s03",100,0.9,0.1743,0,10000
"142","mmm","glm","h02_01_ha8_04_s03",200,0,0.8415,1e-04,10000
"143","mmm","glm","h02_01_ha8_04_s03",200,0.5,0.6006,1e-04,10000
"144","mmm","glm","h02_01_ha8_04_s03",200,0.9,0.4454,3e-04,10000
"145","bonf","bglm","h02_002_ha8_04_s03",100,0,0.2404,0,10000
"146","bonf","bglm","h02_002_ha8_04_s03",100,0.5,0.1633,0,10000
"147","bonf","bglm","h02_002_ha8_04_s03",100,0.9,0.0815,0,10000
"148","bonf","bglm","h02_002_ha8_04_s03",200,0,0.7317,0,10000
"149","bonf","bglm","h02_002_ha8_04_s03",200,0.5,0.49,0,10000
"150","bonf","bglm","h02_002_ha8_04_s03",200,0.9,0.2809,0,10000
"151","bonf","glm","h02_002_ha8_04_s03",100,0,0.3277,0,10000
"152","bonf","glm","h02_002_ha8_04_s03",100,0.5,0.2197,0,10000
"153","bonf","glm","h02_002_ha8_04_s03",100,0.9,0.1091,0,10000
"154","bonf","glm","h02_002_ha8_04_s03",200,0,0.8304,0,10000
"155","bonf","glm","h02_002_ha8_04_s03",200,0.5,0.5814,0,10000
"156","bonf","glm","h02_002_ha8_04_s03",200,0.9,0.3471,0,10000
"157","bt","bglm","h02_002_ha8_04_s03",100,0,0.3777,0,10000
"158","bt","bglm","h02_002_ha8_04_s03",100,0.5,0.3204,0,10000
"159","bt","bglm","h02_002_ha8_04_s03",100,0.9,0.251,0,10000
"160","bt","bglm","h02_002_ha8_04_s03",200,0,0.8333,0,10000
"161","bt","bglm","h02_002_ha8_04_s03",200,0.5,0.6083,0,10000
"162","bt","bglm","h02_002_ha8_04_s03",200,0.9,0.4958,0,10000
"163","bt","glm","h02_002_ha8_04_s03",100,0,0.4922,0,10000
"164","bt","glm","h02_002_ha8_04_s03",100,0.5,0.3646,0,10000
"165","bt","glm","h02_002_ha8_04_s03",100,0.9,0.2865,0,10000
"166","bt","glm","h02_002_ha8_04_s03",200,0,0.8629,0,10000
"167","bt","glm","h02_002_ha8_04_s03",200,0.5,0.6594,0,10000
"168","bt","glm","h02_002_ha8_04_s03",200,0.9,0.5298,0,10000
"169","mmm","bglm","h02_002_ha8_04_s03",100,0,0.2915,0,10000
"170","mmm","bglm","h02_002_ha8_04_s03",100,0.5,0.2255,0,10000
"171","mmm","bglm","h02_002_ha8_04_s03",100,0.9,0.1743,0,10000
"172","mmm","bglm","h02_002_ha8_04_s03",200,0,0.7321,0,10000
"173","mmm","bglm","h02_002_ha8_04_s03",200,0.5,0.5473,0,10000
"174","mmm","bglm","h02_002_ha8_04_s03",200,0.9,0.4239,0,10000
"175","mmm","glm","h02_002_ha8_04_s03",100,0,0.1766,0,10000
"176","mmm","glm","h02_002_ha8_04_s03",100,0.5,0.1146,0,10000
"177","mmm","glm","h02_002_ha8_04_s03",100,0.9,0.1102,0,10000
"178","mmm","glm","h02_002_ha8_04_s03",200,0,0.4739,0,10000
"179","mmm","glm","h02_002_ha8_04_s03",200,0.5,0.3617,0,10000
"180","mmm","glm","h02_002_ha8_04_s03",200,0.9,0.3016,0,10000
"181","bonf","bglm","h02_04_ha8_01_s03",100,0,0.0128,0.0032,10000
"182","bonf","bglm","h02_04_ha8_01_s03",100,0.5,0.0119,0.004,10000
"183","bonf","bglm","h02_04_ha8_01_s03",100,0.9,0.004,0.0023,10000
"184","bonf","bglm","h02_04_ha8_01_s03",200,0,0.1469,0.0052,10000
"185","bonf","bglm","h02_04_ha8_01_s03",200,0.5,0.0981,0.006,10000
"186","bonf","bglm","h02_04_ha8_01_s03",200,0.9,0.0477,0.0035,10000
"187","bonf","glm","h02_04_ha8_01_s03",100,0,1e-04,0.0051,10000
"188","bonf","glm","h02_04_ha8_01_s03",100,0.5,5e-04,0.0041,10000
"189","bonf","glm","h02_04_ha8_01_s03",100,0.9,1e-04,0.0031,10000
"190","bonf","glm","h02_04_ha8_01_s03",200,0,0.0512,0.0096,10000
"191","bonf","glm","h02_04_ha8_01_s03",200,0.5,0.0408,0.0068,10000
"192","bonf","glm","h02_04_ha8_01_s03",200,0.9,0.0141,0.0061,10000
"193","bt","bglm","h02_04_ha8_01_s03",100,0,0.2172,0.0318,10000
"194","bt","bglm","h02_04_ha8_01_s03",100,0.5,0.1601,0.0303,10000
"195","bt","bglm","h02_04_ha8_01_s03",100,0.9,0.0974,0.0304,10000
"196","bt","bglm","h02_04_ha8_01_s03",200,0,0.4266,0.02,10000
"197","bt","bglm","h02_04_ha8_01_s03",200,0.5,0.3048,0.0234,10000
"198","bt","bglm","h02_04_ha8_01_s03",200,0.9,0.2113,0.0273,10000
"199","bt","glm","h02_04_ha8_01_s03",100,0,0.0463,0.0385,10000
"200","bt","glm","h02_04_ha8_01_s03",100,0.5,0.0356,0.0375,10000
"201","bt","glm","h02_04_ha8_01_s03",100,0.9,0.0255,0.0407,10000
"202","bt","glm","h02_04_ha8_01_s03",200,0,0.3201,0.0244,10000
"203","bt","glm","h02_04_ha8_01_s03",200,0.5,0.2451,0.0273,10000
"204","bt","glm","h02_04_ha8_01_s03",200,0.9,0.1697,0.0334,10000
"205","mmm","bglm","h02_04_ha8_01_s03",100,0,0.0138,0.0029,10000
"206","mmm","bglm","h02_04_ha8_01_s03",100,0.5,0.0158,0.0038,10000
"207","mmm","bglm","h02_04_ha8_01_s03",100,0.9,0.0211,0.009,10000
"208","mmm","bglm","h02_04_ha8_01_s03",200,0,0.1538,0.0062,10000
"209","mmm","bglm","h02_04_ha8_01_s03",200,0.5,0.1297,0.0065,10000
"210","mmm","bglm","h02_04_ha8_01_s03",200,0.9,0.1167,0.0133,10000
"211","mmm","glm","h02_04_ha8_01_s03",100,0,2e-04,0.0037,10000
"212","mmm","glm","h02_04_ha8_01_s03",100,0.5,0.001,0.0048,10000
"213","mmm","glm","h02_04_ha8_01_s03",100,0.9,0.0024,0.0102,10000
"214","mmm","glm","h02_04_ha8_01_s03",200,0,0.0742,0.008,10000
"215","mmm","glm","h02_04_ha8_01_s03",200,0.5,0.0743,0.0095,10000
"216","mmm","glm","h02_04_ha8_01_s03",200,0.9,0.0915,0.0157,10000
"217","bonf","bglm","h02_04_ha8_002_s03",100,0,0,0.0034,10000
"218","bonf","bglm","h02_04_ha8_002_s03",100,0.5,0,0.0045,10000
"219","bonf","bglm","h02_04_ha8_002_s03",100,0.9,0,0.0035,10000
"220","bonf","bglm","h02_04_ha8_002_s03",200,0,0,0.0048,10000
"221","bonf","bglm","h02_04_ha8_002_s03",200,0.5,0,0.0046,10000
"222","bonf","bglm","h02_04_ha8_002_s03",200,0.9,0,0.0042,10000
"223","bonf","glm","h02_04_ha8_002_s03",100,0,0,0.0039,10000
"224","bonf","glm","h02_04_ha8_002_s03",100,0.5,0,0.0059,10000
"225","bonf","glm","h02_04_ha8_002_s03",100,0.9,0,0.0034,10000
"226","bonf","glm","h02_04_ha8_002_s03",200,0,0,0.0082,10000
"227","bonf","glm","h02_04_ha8_002_s03",200,0.5,0,0.0088,10000
"228","bonf","glm","h02_04_ha8_002_s03",200,0.9,0,0.006,10000
"229","bt","bglm","h02_04_ha8_002_s03",100,0,5e-04,0.0358,10000
"230","bt","bglm","h02_04_ha8_002_s03",100,0.5,7e-04,0.0352,10000
"231","bt","bglm","h02_04_ha8_002_s03",100,0.9,4e-04,0.0408,10000
"232","bt","bglm","h02_04_ha8_002_s03",200,0,0.0086,0.0396,10000
"233","bt","bglm","h02_04_ha8_002_s03",200,0.5,0.0092,0.0416,10000
"234","bt","bglm","h02_04_ha8_002_s03",200,0.9,0.0083,0.0428,10000
"235","bt","glm","h02_04_ha8_002_s03",100,0,0,0.051,10000
"236","bt","glm","h02_04_ha8_002_s03",100,0.5,0,0.0556,10000
"237","bt","glm","h02_04_ha8_002_s03",100,0.9,0,0.0519,10000
"238","bt","glm","h02_04_ha8_002_s03",200,0,0,0.05,10000
"239","bt","glm","h02_04_ha8_002_s03",200,0.5,0,0.0522,10000
"240","bt","glm","h02_04_ha8_002_s03",200,0.9,0,0.0514,10000
"241","mmm","bglm","h02_04_ha8_002_s03",100,0,0,0.0041,10000
"242","mmm","bglm","h02_04_ha8_002_s03",100,0.5,0,0.0055,10000
"243","mmm","bglm","h02_04_ha8_002_s03",100,0.9,0,0.0106,10000
"244","mmm","bglm","h02_04_ha8_002_s03",200,0,0,0.0049,10000
"245","mmm","bglm","h02_04_ha8_002_s03",200,0.5,0,0.0086,10000
"246","mmm","bglm","h02_04_ha8_002_s03",200,0.9,1e-04,0.013,10000
"247","mmm","glm","h02_04_ha8_002_s03",100,0,0,1e-04,10000
"248","mmm","glm","h02_04_ha8_002_s03",100,0.5,0,4e-04,10000
"249","mmm","glm","h02_04_ha8_002_s03",100,0.9,0,0.0057,10000
"250","mmm","glm","h02_04_ha8_002_s03",200,0,0,0.0013,10000
"251","mmm","glm","h02_04_ha8_002_s03",200,0.5,0,0.0029,10000
"252","mmm","glm","h02_04_ha8_002_s03",200,0.9,0,0.0075,10000
"253","bonf","bglm","h08_01_ha2_04_s03",100,0,0.0691,0,10000
"254","bonf","bglm","h08_01_ha2_04_s03",100,0.5,0.0607,0,10000
"255","bonf","bglm","h08_01_ha2_04_s03",100,0.9,0.0476,0,10000
"256","bonf","bglm","h08_01_ha2_04_s03",200,0,0.2736,4e-04,10000
"257","bonf","bglm","h08_01_ha2_04_s03",200,0.5,0.2523,4e-04,10000
"258","bonf","bglm","h08_01_ha2_04_s03",200,0.9,0.1901,1e-04,10000
"259","bonf","glm","h08_01_ha2_04_s03",100,0,0.0959,0,10000
"260","bonf","glm","h08_01_ha2_04_s03",100,0.5,0.0915,0,10000
"261","bonf","glm","h08_01_ha2_04_s03",100,0.9,0.063,0,10000
"262","bonf","glm","h08_01_ha2_04_s03",200,0,0.3497,0,10000
"263","bonf","glm","h08_01_ha2_04_s03",200,0.5,0.3096,0,10000
"264","bonf","glm","h08_01_ha2_04_s03",200,0.9,0.2474,1e-04,10000
"265","bt","bglm","h08_01_ha2_04_s03",100,0,0.2854,0.0121,10000
"266","bt","bglm","h08_01_ha2_04_s03",100,0.5,0.2569,0.0106,10000
"267","bt","bglm","h08_01_ha2_04_s03",100,0.9,0.2282,0.0089,10000
"268","bt","bglm","h08_01_ha2_04_s03",200,0,0.5624,0.0218,10000
"269","bt","bglm","h08_01_ha2_04_s03",200,0.5,0.4966,0.0216,10000
"270","bt","bglm","h08_01_ha2_04_s03",200,0.9,0.447,0.0145,10000
"271","bt","glm","h08_01_ha2_04_s03",100,0,0.3217,8e-04,10000
"272","bt","glm","h08_01_ha2_04_s03",100,0.5,0.2875,7e-04,10000
"273","bt","glm","h08_01_ha2_04_s03",100,0.9,0.2722,3e-04,10000
"274","bt","glm","h08_01_ha2_04_s03",200,0,0.5944,0.0062,10000
"275","bt","glm","h08_01_ha2_04_s03",200,0.5,0.536,0.0049,10000
"276","bt","glm","h08_01_ha2_04_s03",200,0.9,0.4968,0.0042,10000
"277","mmm","bglm","h08_01_ha2_04_s03",100,0,0.0763,1e-04,10000
"278","mmm","bglm","h08_01_ha2_04_s03",100,0.5,0.0849,0,10000
"279","mmm","bglm","h08_01_ha2_04_s03",100,0.9,0.1127,6e-04,10000
"280","mmm","bglm","h08_01_ha2_04_s03",200,0,0.2864,0.0015,10000
"281","mmm","bglm","h08_01_ha2_04_s03",200,0.5,0.2692,0.0011,10000
"282","mmm","bglm","h08_01_ha2_04_s03",200,0.9,0.3077,0.0022,10000
"283","mmm","glm","h08_01_ha2_04_s03",100,0,0.0725,0,10000
"284","mmm","glm","h08_01_ha2_04_s03",100,0.5,0.0678,0,10000
"285","mmm","glm","h08_01_ha2_04_s03",100,0.9,0.1099,0,10000
"286","mmm","glm","h08_01_ha2_04_s03",200,0,0.3599,0,10000
"287","mmm","glm","h08_01_ha2_04_s03",200,0.5,0.3089,1e-04,10000
"288","mmm","glm","h08_01_ha2_04_s03",200,0.9,0.3404,2e-04,10000
"289","bonf","bglm","h08_002_ha2_04_s03",100,0,0.0627,0,10000
"290","bonf","bglm","h08_002_ha2_04_s03",100,0.5,0.0624,0,10000
"291","bonf","bglm","h08_002_ha2_04_s03",100,0.9,0.0463,0,10000
"292","bonf","bglm","h08_002_ha2_04_s03",200,0,0.282,0,10000
"293","bonf","bglm","h08_002_ha2_04_s03",200,0.5,0.2447,0,10000
"294","bonf","bglm","h08_002_ha2_04_s03",200,0.9,0.1939,0,10000
"295","bonf","glm","h08_002_ha2_04_s03",100,0,0.094,0,10000
"296","bonf","glm","h08_002_ha2_04_s03",100,0.5,0.0879,0,10000
"297","bonf","glm","h08_002_ha2_04_s03",100,0.9,0.0666,0,10000
"298","bonf","glm","h08_002_ha2_04_s03",200,0,0.3473,0,10000
"299","bonf","glm","h08_002_ha2_04_s03",200,0.5,0.3073,0,10000
"300","bonf","glm","h08_002_ha2_04_s03",200,0.9,0.248,0,10000
"301","bt","bglm","h08_002_ha2_04_s03",100,0,0.2882,0,10000
"302","bt","bglm","h08_002_ha2_04_s03",100,0.5,0.2581,0,10000
"303","bt","bglm","h08_002_ha2_04_s03",100,0.9,0.2283,0,10000
"304","bt","bglm","h08_002_ha2_04_s03",200,0,0.5772,0,10000
"305","bt","bglm","h08_002_ha2_04_s03",200,0.5,0.5251,0,10000
"306","bt","bglm","h08_002_ha2_04_s03",200,0.9,0.4908,1e-04,10000
"307","bt","glm","h08_002_ha2_04_s03",100,0,0.3204,0,10000
"308","bt","glm","h08_002_ha2_04_s03",100,0.5,0.297,0,10000
"309","bt","glm","h08_002_ha2_04_s03",100,0.9,0.2792,0,10000
"310","bt","glm","h08_002_ha2_04_s03",200,0,0.6266,0,10000
"311","bt","glm","h08_002_ha2_04_s03",200,0.5,0.5637,0,10000
"312","bt","glm","h08_002_ha2_04_s03",200,0.9,0.5199,0,10000
"313","mmm","bglm","h08_002_ha2_04_s03",100,0,0.0946,0,10000
