"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","n_h0_ha","rej_p","reji_p","rejcor_p","pow_p","powi_p","powcor_p","error_p","fail_p","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor","N","J0_JA","cor"
"bonf","glm",10000,25,0.1,"8","2",0.001,0.9,"8:2",0.0094,0.0031,0.9969,0.0017,0.0012,5e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,25,0.1,"8","2",0.025,0,"8:2",0.0086,0.0086,0.9914,0.0042,0.0042,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.025,0.5,"8:2",0.0085,0.0076,0.9924,0.0051,0.005,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bonf","glm",10000,25,0.1,"8","2",0.025,0.9,"8:2",0.0071,0.0028,0.9972,0.0056,0.0044,0.0012,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,25,0.1,"8","2",0.05,0,"8:2",0.008,0.008,0.992,0.0161,0.0161,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.05,0.5,"8:2",0.0077,0.0064,0.9936,0.0166,0.0159,7e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bonf","glm",10000,25,0.1,"8","2",0.05,0.9,"8:2",0.01,0.0032,0.9968,0.0181,0.013,0.0051,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,25,0.1,"8","2",0.075,0,"8:2",0.0081,0.0081,0.9919,0.0447,0.0443,4e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.075,0.5,"8:2",0.0083,0.007,0.993,0.0471,0.0429,0.0042,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bonf","glm",10000,25,0.1,"8","2",0.075,0.9,"8:2",0.0069,0.0028,0.9972,0.0448,0.0317,0.0131,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,25,0.1,"8","2",0.1,0,"8:2",0.0088,0.0088,0.9912,0.1132,0.1105,0.0027,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.1,0.5,"8:2",0.0087,0.0075,0.9925,0.1137,0.0982,0.0155,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bonf","glm",10000,25,0.1,"8","2",0.1,0.9,"8:2",0.0073,0.0024,0.9976,0.1074,0.0711,0.0363,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,25,0.1,"8","2",0.125,0,"8:2",0.0072,0.0072,0.9928,0.2389,0.2262,0.0127,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.125,0.5,"8:2",0.0087,0.007,0.993,0.2387,0.1991,0.0396,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bonf","glm",10000,25,0.1,"8","2",0.125,0.9,"8:2",0.0065,0.0027,0.9973,0.241,0.1559,0.0851,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,25,0.1,"8","2",0.15,0,"8:2",0.0086,0.0086,0.9914,0.4718,0.414,0.0578,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.15,0.5,"8:2",0.0064,0.0058,0.9942,0.4587,0.3552,0.1035,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bonf","glm",10000,25,0.1,"8","2",0.15,0.9,"8:2",0.0077,0.0031,0.9969,0.4624,0.2816,0.1808,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,25,0.1,"8","2",0.175,0,"8:2",0.0077,0.0077,0.9923,0.7888,0.6392,0.1496,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.175,0.5,"8:2",0.0079,0.0066,0.9934,0.7828,0.5506,0.2322,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bonf","glm",10000,25,0.1,"8","2",0.175,0.9,"8:2",0.0081,0.0025,0.9975,0.8031,0.4679,0.3352,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,25,0.1,"8","2",0.2,0,"8:2",0.008,0.008,0.992,1.1627,0.8267,0.336,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0
"bonf","glm",10000,25,0.1,"8","2",0.2,0.5,"8:2",0.0077,0.0065,0.9935,1.1542,0.7413,0.4129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.5
"bonf","glm",10000,25,0.1,"8","2",0.2,0.9,"8:2",0.0116,0.0032,0.9968,1.1614,0.6485,0.5129,0,0,NA,NA,NA,NA,NA,NA,NA,NA,100,"8:2",0.9
"bonf","glm",10000,50,0.1,"2","8",0.001,0,"2:8",0.0044,0.0044,0.9956,0.0236,0.0236,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,"2:8",0
"bonf","glm",10000,50,0.1,"2","8",0.001,0.5,"2:8",0.0062,0.0061,0.9939,0.0229,0.0197,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,"2:8",0.5
"bonf","glm",10000,50,0.1,"2","8",0.001,0.9,"2:8",0.0047,0.0038,0.9962,0.0154,0.0071,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,"2:8",0.9
"bonf","glm",10000,50,0.1,"2","8",0.025,0,"2:8",0.0054,0.0054,0.9946,0.0597,0.0584,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,"2:8",0
"bonf","glm",10000,50,0.1,"2","8",0.025,0.5,"2:8",0.0044,0.0041,0.9959,0.0568,0.0421,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,"2:8",0.5
"bonf","glm",10000,50,0.1,"2","8",0.025,0.9,"2:8",0.0046,0.0038,0.9962,0.0598,0.0194,0.001,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,"2:8",0.9
"bonf","glm",10000,50,0.1,"2","8",0.05,0,"2:8",0.0061,0.0061,0.9939,0.1931,0.1768,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,"2:8",0
"bonf","glm",10000,50,0.1,"2","8",0.05,0.5,"2:8",0.0041,0.004,0.996,0.1913,0.1232,1e-04,0,0,NA,NA,NA,NA,NA,NA,NA,NA,200,"2:8",0.5
