"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"mmm","glm",10000,0.0625,3,100,0.5,0,0,418,461
"mmm","glm",10000,0.125,3,100,0.5,0,0,504,561
"mmm","glm",10000,0.25,3,100,0.5,0,0,475,542
"mmm","glm",10000,0.375,3,100,0.5,0,0,496,565
"mmm","glm",10000,0.5,3,100,0.5,0,0,482,538
"mmm","glm",10000,0.01,5,100,0.5,0,322,9,9
"mmm","glm",10000,0.0625,5,100,0.5,0,0,363,435
"mmm","glm",10000,0.125,5,100,0.5,0,0,424,500
"mmm","glm",10000,0.25,5,100,0.5,0,0,484,580
"mmm","glm",10000,0.375,5,100,0.5,0,0,478,561
"mmm","glm",10000,0.5,5,100,0.5,0,0,476,562
"mmm","glm",10000,0.01,10,100,0.5,0,633,6,6
"mmm","glm",10000,0.0625,10,100,0.5,0,0,342,418
"mmm","glm",10000,0.125,10,100,0.5,0,0,449,578
"mmm","glm",10000,0.25,10,100,0.5,0,0,449,586
"mmm","glm",10000,0.375,10,100,0.5,0,0,457,625
"mmm","glm",10000,0.5,10,100,0.5,0,0,505,658
"mmm","glm",10000,0.01,3,25,0.9,0,851,1,2
"mmm","glm",10000,0.0625,3,25,0.9,0,60,143,277
"mmm","glm",10000,0.125,3,25,0.9,0,3,322,595
"mmm","glm",10000,0.25,3,25,0.9,0,0,453,787
"mmm","glm",10000,0.375,3,25,0.9,0,0,474,856
"mmm","glm",10000,0.5,3,25,0.9,0,0,452,825
"mmm","glm",10000,0.01,5,25,0.9,0,892,0,0
"mmm","glm",10000,0.0625,5,25,0.9,0,89,134,369
"mmm","glm",10000,0.125,5,25,0.9,0,0,338,815
"mmm","glm",10000,0.25,5,25,0.9,0,0,433,1059
"mmm","glm",10000,0.375,5,25,0.9,0,0,459,1117
"mmm","glm",10000,0.5,5,25,0.9,0,0,479,1129
"mmm","glm",10000,0.01,10,25,0.9,0,1070,0,0
"mmm","glm",10000,0.0625,10,25,0.9,0,110,97,455
"mmm","glm",10000,0.125,10,25,0.9,0,0,302,1077
"mmm","glm",10000,0.25,10,25,0.9,0,0,406,1374
"mmm","glm",10000,0.375,10,25,0.9,0,0,446,1552
"mmm","glm",10000,0.5,10,25,0.9,0,0,465,1629
"mmm","glm",10000,0.01,3,50,0.9,0,554,5,14
"mmm","glm",10000,0.0625,3,50,0.9,0,0,319,602
"mmm","glm",10000,0.125,3,50,0.9,0,0,458,817
"mmm","glm",10000,0.25,3,50,0.9,0,0,443,787
"mmm","glm",10000,0.375,3,50,0.9,0,0,476,833
"mmm","glm",10000,0.5,3,50,0.9,0,0,473,826
"mmm","glm",10000,0.01,5,50,0.9,0,694,6,21
"mmm","glm",10000,0.0625,5,50,0.9,0,1,308,720
"mmm","glm",10000,0.125,5,50,0.9,0,0,413,969
"mmm","glm",10000,0.25,5,50,0.9,0,0,474,1084
"mmm","glm",10000,0.375,5,50,0.9,0,0,453,1031
"mmm","glm",10000,0.5,5,50,0.9,0,0,479,1100
"mmm","glm",10000,0.01,10,50,0.9,0,932,1,6
"mmm","glm",10000,0.0625,10,50,0.9,0,1,290,1032
"mmm","glm",10000,0.125,10,50,0.9,0,0,422,1426
"mmm","glm",10000,0.25,10,50,0.9,0,0,462,1510
"mmm","glm",10000,0.375,10,50,0.9,0,0,477,1617
"mmm","glm",10000,0.5,10,50,0.9,0,0,492,1636
"mmm","glm",10000,0.01,3,100,0.9,0,105,68,141
"mmm","glm",10000,0.0625,3,100,0.9,0,0,444,768
"mmm","glm",10000,0.125,3,100,0.9,0,0,451,784
"mmm","glm",10000,0.25,3,100,0.9,0,0,478,834
"mmm","glm",10000,0.375,3,100,0.9,0,0,496,885
"mmm","glm",10000,0.5,3,100,0.9,0,0,541,942
"mmm","glm",10000,0.01,5,100,0.9,0,170,49,142
"mmm","glm",10000,0.0625,5,100,0.9,0,0,448,1062
"mmm","glm",10000,0.125,5,100,0.9,0,0,447,1079
"mmm","glm",10000,0.25,5,100,0.9,0,0,483,1128
"mmm","glm",10000,0.375,5,100,0.9,0,0,455,1014
"mmm","glm",10000,0.5,5,100,0.9,0,0,510,1202
"mmm","glm",10000,0.01,10,100,0.9,0,228,17,87
"mmm","glm",10000,0.0625,10,100,0.9,0,0,434,1448
"mmm","glm",10000,0.125,10,100,0.9,0,0,463,1566
"mmm","glm",10000,0.25,10,100,0.9,0,0,489,1612
"mmm","glm",10000,0.375,10,100,0.9,0,0,468,1604
"mmm","glm",10000,0.5,10,100,0.9,0,0,480,1638
