"","method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"102","bt","bglm",209,0.5,5,100,0.5,0,0,2,2
"103","bt","bglm",209,0.01,10,100,0.5,0,0,12,17
"104","bt","bglm",209,0.0625,10,100,0.5,0,0,11,16
"105","bt","bglm",209,0.125,10,100,0.5,0,0,13,14
"106","bt","bglm",209,0.25,10,100,0.5,0,0,8,13
"107","bt","bglm",209,0.375,10,100,0.5,0,0,9,11
"108","bt","bglm",209,0.5,10,100,0.5,0,0,13,18
"109","bt","bglm",209,0.01,3,25,0.9,0,0,5,12
"110","bt","bglm",209,0.0625,3,25,0.9,0,0,15,26
"111","bt","bglm",209,0.125,3,25,0.9,0,0,14,27
"112","bt","bglm",209,0.25,3,25,0.9,0,0,8,13
"113","bt","bglm",209,0.375,3,25,0.9,0,0,15,27
"114","bt","bglm",209,0.5,3,25,0.9,0,0,3,6
"115","bt","bglm",209,0.01,5,25,0.9,0,0,2,8
"116","bt","bglm",209,0.0625,5,25,0.9,0,0,16,40
"117","bt","bglm",209,0.125,5,25,0.9,0,0,15,38
"118","bt","bglm",209,0.25,5,25,0.9,0,0,11,20
"119","bt","bglm",209,0.375,5,25,0.9,0,0,11,25
"120","bt","bglm",209,0.5,5,25,0.9,0,0,7,15
"121","bt","bglm",209,0.01,10,25,0.9,0,0,6,51
"122","bt","bglm",209,0.0625,10,25,0.9,0,0,11,44
"123","bt","bglm",209,0.125,10,25,0.9,0,0,15,56
"124","bt","bglm",209,0.25,10,25,0.9,0,0,11,45
"125","bt","bglm",209,0.375,10,25,0.9,0,0,8,17
"126","bt","bglm",209,0.5,10,25,0.9,0,0,7,20
"127","bt","bglm",209,0.01,3,50,0.9,0,0,6,17
"128","bt","bglm",209,0.0625,3,50,0.9,0,0,15,26
"129","bt","bglm",209,0.125,3,50,0.9,0,0,14,22
"130","bt","bglm",209,0.25,3,50,0.9,0,0,10,19
"131","bt","bglm",209,0.375,3,50,0.9,0,0,4,4
"132","bt","bglm",209,0.5,3,50,0.9,0,0,11,15
"133","bt","bglm",209,0.01,5,50,0.9,0,0,4,16
"134","bt","bglm",209,0.0625,5,50,0.9,0,0,11,35
