"","method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"246","mmm","glm",5000,100,0.1,2,8,0.1,0.5,0,0,39,38,4962,18997,4351,492
"247","mmm","glm",5000,25,0.1,8,2,0.125,0.5,0,0,66,57,4943,1269,1040,229
"248","mmm","glm",5000,50,0.1,8,2,0.125,0.5,0,0,137,111,4889,3898,2745,1153
"249","mmm","glm",5000,100,0.1,8,2,0.125,0.5,0,0,164,127,4873,7782,4519,3263
"250","mmm","glm",5000,25,0.1,2,8,0.125,0.5,0,0,14,14,4986,5038,2117,15
"251","mmm","glm",5000,50,0.1,2,8,0.125,0.5,0,0,30,28,4972,15213,3981,263
"252","mmm","glm",5000,100,0.1,2,8,0.125,0.5,0,0,37,34,4966,30933,4937,1948
"253","mmm","glm",5000,25,0.1,8,2,0.15,0.5,0,0,54,39,4961,2457,1861,596
"254","mmm","glm",5000,50,0.1,8,2,0.15,0.5,0,0,134,115,4885,6314,3953,2361
"255","mmm","glm",5000,100,0.1,8,2,0.15,0.5,0,0,167,140,4860,9499,4946,4553
"256","mmm","glm",5000,25,0.1,2,8,0.15,0.5,0,0,14,14,4986,9408,3151,72
"257","mmm","glm",5000,50,0.1,2,8,0.15,0.5,0,0,36,34,4966,25258,4731,1032
"258","mmm","glm",5000,100,0.1,2,8,0.15,0.5,0,0,49,48,4952,38026,4998,3898
"259","mmm","glm",5000,25,0.1,8,2,0.175,0.5,0,0,53,47,4953,4039,2809,1230
"260","mmm","glm",5000,50,0.1,8,2,0.175,0.5,0,0,112,98,4902,8317,4663,3654
"261","mmm","glm",5000,100,0.1,8,2,0.175,0.5,0,0,166,144,4856,9942,4999,4943
"262","mmm","glm",5000,25,0.1,2,8,0.175,0.5,0,0,8,8,4992,16143,4084,284
"263","mmm","glm",5000,50,0.1,2,8,0.175,0.5,0,0,28,27,4973,33427,4955,2419
"264","mmm","glm",5000,100,0.1,2,8,0.175,0.5,0,0,50,46,4954,39768,5000,4819
"265","mmm","glm",5000,25,0.1,8,2,0.2,0.5,0,0,47,43,4957,5965,3791,2174
"266","mmm","glm",5000,50,0.1,8,2,0.2,0.5,0,0,131,111,4889,9482,4937,4545
"267","mmm","glm",5000,100,0.1,8,2,0.2,0.5,0,0,155,127,4873,9997,5000,4997
"268","mmm","glm",5000,25,0.1,2,8,0.2,0.5,0,0,14,13,4987,23206,4616,783
"269","mmm","glm",5000,50,0.1,2,8,0.2,0.5,0,0,25,24,4976,38049,4999,3869
"270","mmm","glm",5000,100,0.1,2,8,0.2,0.5,0,0,34,31,4969,39986,5000,4989
"271","mmm","glm",5000,25,0.1,8,2,0.001,0.9,0,0,189,63,4937,51,37,14
"272","mmm","glm",5000,50,0.1,8,2,0.001,0.9,0,0,301,103,4897,64,45,19
"273","mmm","glm",5000,100,0.1,8,2,0.001,0.9,0,0,354,134,4866,102,79,23
"274","mmm","glm",5000,25,0.1,2,8,0.001,0.9,0,0,36,26,4974,102,38,0
"275","mmm","glm",5000,50,0.1,2,8,0.001,0.9,0,0,58,47,4953,306,103,8
"276","mmm","glm",5000,100,0.1,2,8,0.001,0.9,0,0,82,65,4935,316,117,6
"277","mmm","glm",5000,25,0.1,8,2,0.025,0.9,0,0,166,57,4943,89,66,23
"278","mmm","glm",5000,50,0.1,8,2,0.025,0.9,0,0,326,107,4893,141,103,38
"279","mmm","glm",5000,100,0.1,8,2,0.025,0.9,0,0,354,124,4876,276,203,73
"280","mmm","glm",5000,25,0.1,2,8,0.025,0.9,0,0,47,34,4966,284,90,7
"281","mmm","glm",5000,50,0.1,2,8,0.025,0.9,0,0,67,52,4948,637,194,13
"282","mmm","glm",5000,100,0.1,2,8,0.025,0.9,0,0,79,60,4940,1022,314,29
"283","mmm","glm",5000,25,0.1,8,2,0.05,0.9,0,0,175,55,4945,221,156,65
"284","mmm","glm",5000,50,0.1,8,2,0.05,0.9,0,0,254,95,4905,444,303,141
"285","mmm","glm",5000,100,0.1,8,2,0.05,0.9,0,0,355,133,4867,1055,691,364
"286","mmm","glm",5000,25,0.1,2,8,0.05,0.9,0,0,27,20,4980,817,233,24
"287","mmm","glm",5000,50,0.1,2,8,0.05,0.9,0,0,67,51,4949,1666,469,61
"288","mmm","glm",5000,100,0.1,2,8,0.05,0.9,0,0,84,68,4932,4028,939,185
"289","mmm","glm",5000,25,0.1,8,2,0.075,0.9,0,0,103,34,4966,466,309,157
"290","mmm","glm",5000,50,0.1,8,2,0.075,0.9,0,0,290,106,4894,1190,774,416
"291","mmm","glm",5000,100,0.1,8,2,0.075,0.9,0,0,313,120,4880,2719,1656,1063
"292","mmm","glm",5000,25,0.1,2,8,0.075,0.9,0,0,38,29,4971,1901,488,71
"293","mmm","glm",5000,50,0.1,2,8,0.075,0.9,0,0,72,55,4945,4433,1065,206
"294","mmm","glm",5000,100,0.1,2,8,0.075,0.9,0,0,87,67,4933,11456,2228,731
"295","mmm","glm",5000,25,0.1,8,2,0.1,0.9,0,0,196,60,4940,1024,658,366
"296","mmm","glm",5000,50,0.1,8,2,0.1,0.9,0,0,251,106,4894,2571,1550,1021
"297","mmm","glm",5000,100,0.1,8,2,0.1,0.9,0,0,368,115,4885,5698,3206,2492
"298","mmm","glm",5000,25,0.1,2,8,0.1,0.9,0,0,37,26,4974,3786,892,176
"299","mmm","glm",5000,50,0.1,2,8,0.1,0.9,0,0,51,39,4961,10245,2041,625
"300","mmm","glm",5000,100,0.1,2,8,0.1,0.9,0,0,104,74,4926,22663,3701,1914
"301","mmm","glm",5000,25,0.1,8,2,0.125,0.9,0,0,176,53,4947,1965,1227,738
"302","mmm","glm",5000,50,0.1,8,2,0.125,0.9,0,0,357,114,4886,4794,2749,2045
"303","mmm","glm",5000,100,0.1,8,2,0.125,0.9,0,0,366,129,4871,8361,4420,3941
"304","mmm","glm",5000,25,0.1,2,8,0.125,0.9,0,0,38,29,4971,7964,1665,441
"305","mmm","glm",5000,50,0.1,2,8,0.125,0.9,0,0,72,53,4947,19354,3276,1492
"306","mmm","glm",5000,100,0.1,2,8,0.125,0.9,0,0,96,70,4930,33515,4646,3519
