"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"bonf","glm",10000,0.125,10,100,0.5,0,0,291,368
"bonf","glm",10000,0.25,10,100,0.5,0,0,320,422
"bonf","glm",10000,0.375,10,100,0.5,0,0,348,432
"bonf","glm",10000,0.5,10,100,0.5,0,0,341,435
"bonf","glm",10000,0.01,3,25,0.9,0,0,0,0
"bonf","glm",10000,0.0625,3,25,0.9,0,0,57,101
"bonf","glm",10000,0.125,3,25,0.9,0,0,139,236
"bonf","glm",10000,0.25,3,25,0.9,0,0,220,365
"bonf","glm",10000,0.375,3,25,0.9,0,0,213,339
"bonf","glm",10000,0.5,3,25,0.9,0,0,262,420
"bonf","glm",10000,0.01,5,25,0.9,0,0,0,0
"bonf","glm",10000,0.0625,5,25,0.9,0,0,22,47
"bonf","glm",10000,0.125,5,25,0.9,0,0,84,187
"bonf","glm",10000,0.25,5,25,0.9,0,0,107,224
"bonf","glm",10000,0.375,5,25,0.9,0,0,172,353
"bonf","glm",10000,0.5,5,25,0.9,0,0,169,327
"bonf","glm",10000,0.01,10,25,0.9,0,0,0,0
"bonf","glm",10000,0.0625,10,25,0.9,0,0,10,42
"bonf","glm",10000,0.125,10,25,0.9,0,0,56,135
"bonf","glm",10000,0.25,10,25,0.9,0,0,86,213
"bonf","glm",10000,0.375,10,25,0.9,0,0,102,291
"bonf","glm",10000,0.5,10,25,0.9,0,0,115,331
"bonf","glm",10000,0.01,3,50,0.9,0,0,0,0
"bonf","glm",10000,0.0625,3,50,0.9,0,0,145,251
"bonf","glm",10000,0.125,3,50,0.9,0,0,188,299
"bonf","glm",10000,0.25,3,50,0.9,0,0,232,393
"bonf","glm",10000,0.375,3,50,0.9,0,0,234,401
"bonf","glm",10000,0.5,3,50,0.9,0,0,211,340
"bonf","glm",10000,0.01,5,50,0.9,0,0,0,0
"bonf","glm",10000,0.0625,5,50,0.9,0,0,85,163
"bonf","glm",10000,0.125,5,50,0.9,0,0,149,318
"bonf","glm",10000,0.25,5,50,0.9,0,0,157,351
"bonf","glm",10000,0.375,5,50,0.9,0,0,210,432
"bonf","glm",10000,0.5,5,50,0.9,0,0,224,499
"bonf","glm",10000,0.01,10,50,0.9,0,0,0,0
