"method","model","nsim","pis","nresp","ntrt","corr","nfail","nerror","nreji","nrej"
"mmm","glm",10000,0.25,5,25,0.9,0,0,341,840
"mmm","glm",10000,0.375,5,25,0.9,0,0,393,941
"mmm","glm",10000,0.5,5,25,0.9,0,0,396,851
"mmm","glm",10000,0.01,10,25,0.9,0,0,0,0
"mmm","glm",10000,0.0625,10,25,0.9,0,0,113,435
"mmm","glm",10000,0.125,10,25,0.9,0,0,279,921
"mmm","glm",10000,0.25,10,25,0.9,0,0,353,1198
"mmm","glm",10000,0.375,10,25,0.9,0,0,395,1333
"mmm","glm",10000,0.5,10,25,0.9,0,0,407,1456
"mmm","glm",10000,0.01,3,50,0.9,0,0,25,69
"mmm","glm",10000,0.0625,3,50,0.9,0,0,312,572
"mmm","glm",10000,0.125,3,50,0.9,0,0,397,667
"mmm","glm",10000,0.25,3,50,0.9,0,0,438,759
"mmm","glm",10000,0.375,3,50,0.9,0,0,416,691
"mmm","glm",10000,0.5,3,50,0.9,0,0,446,782
"mmm","glm",10000,0.01,5,50,0.9,0,0,23,94
"mmm","glm",10000,0.0625,5,50,0.9,0,0,294,667
"mmm","glm",10000,0.125,5,50,0.9,0,0,363,843
"mmm","glm",10000,0.25,5,50,0.9,0,0,430,994
"mmm","glm",10000,0.375,5,50,0.9,0,0,485,1143
"mmm","glm",10000,0.5,5,50,0.9,0,0,442,998
"mmm","glm",10000,0.01,10,50,0.9,0,0,6,52
"mmm","glm",10000,0.0625,10,50,0.9,0,0,245,859
"mmm","glm",10000,0.125,10,50,0.9,0,0,327,1220
"mmm","glm",10000,0.25,10,50,0.9,0,0,433,1561
"mmm","glm",10000,0.375,10,50,0.9,0,0,428,1557
"mmm","glm",10000,0.5,10,50,0.9,0,0,456,1560
"mmm","glm",10000,0.01,3,100,0.9,0,0,73,155
"mmm","glm",10000,0.0625,3,100,0.9,0,0,357,625
"mmm","glm",10000,0.125,3,100,0.9,0,0,402,726
"mmm","glm",10000,0.25,3,100,0.9,0,0,475,812
"mmm","glm",10000,0.375,3,100,0.9,0,0,462,829
"mmm","glm",10000,0.5,3,100,0.9,0,0,480,822
"mmm","glm",10000,0.01,5,100,0.9,0,0,58,181
"mmm","glm",10000,0.0625,5,100,0.9,0,0,364,842
"mmm","glm",10000,0.125,5,100,0.9,0,0,425,928
"mmm","glm",10000,0.25,5,100,0.9,0,0,509,1181
"mmm","glm",10000,0.375,5,100,0.9,0,0,492,1123
"mmm","glm",10000,0.5,5,100,0.9,0,0,418,952
"mmm","glm",10000,0.01,10,100,0.9,0,0,40,234
"mmm","glm",10000,0.0625,10,100,0.9,0,0,343,1190
"mmm","glm",10000,0.125,10,100,0.9,0,0,439,1512
"mmm","glm",10000,0.25,10,100,0.9,0,0,446,1541
"mmm","glm",10000,0.375,10,100,0.9,0,0,479,1589
"mmm","glm",10000,0.5,10,100,0.9,0,0,480,1581
