"","method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"101","bt","bglm",167,50,0.1,2,8,0.175,0.5,0,0,1,1,166,1180,166,97
"102","bt","bglm",167,100,0.1,2,8,0.175,0.5,0,0,4,4,163,1332,167,163
"103","bt","bglm",167,25,0.1,8,2,0.2,0.5,0,0,7,7,160,236,142,94
"104","bt","bglm",167,50,0.1,8,2,0.2,0.5,0,0,6,6,161,320,166,154
"105","bt","bglm",167,100,0.1,8,2,0.2,0.5,0,0,4,3,164,334,167,167
"106","bt","bglm",167,25,0.1,2,8,0.2,0.5,0,0,1,1,166,931,162,45
"107","bt","bglm",167,50,0.1,2,8,0.2,0.5,0,0,1,1,166,1287,167,138
"108","bt","bglm",167,100,0.1,2,8,0.2,0.5,0,0,4,3,164,1336,167,167
"109","bt","bglm",167,25,0.1,8,2,0.001,0.9,0,0,26,7,160,10,6,4
"110","bt","bglm",167,50,0.1,8,2,0.001,0.9,0,0,9,3,164,3,2,1
"111","bt","bglm",167,100,0.1,8,2,0.001,0.9,0,0,12,4,163,6,3,3
"112","bt","bglm",167,25,0.1,2,8,0.001,0.9,0,0,10,7,160,16,6,1
"113","bt","bglm",167,50,0.1,2,8,0.001,0.9,0,0,3,2,165,25,5,1
"114","bt","bglm",167,100,0.1,2,8,0.001,0.9,0,0,6,3,164,12,3,0
"115","bt","bglm",167,25,0.1,8,2,0.025,0.9,0,0,11,5,162,8,5,3
"116","bt","bglm",167,50,0.1,8,2,0.025,0.9,0,0,12,5,162,6,5,1
"117","bt","bglm",167,100,0.1,8,2,0.025,0.9,0,0,10,4,163,8,5,3
"118","bt","bglm",167,25,0.1,2,8,0.025,0.9,0,0,2,1,166,37,10,2
"119","bt","bglm",167,50,0.1,2,8,0.025,0.9,0,0,7,5,162,52,14,1
"120","bt","bglm",167,100,0.1,2,8,0.025,0.9,0,0,7,5,162,59,15,0
"121","bt","bglm",167,25,0.1,8,2,0.05,0.9,0,0,0,0,167,15,10,5
"122","bt","bglm",167,50,0.1,8,2,0.05,0.9,0,0,33,7,160,30,17,13
"123","bt","bglm",167,100,0.1,8,2,0.05,0.9,0,0,14,5,162,42,27,15
"124","bt","bglm",167,25,0.1,2,8,0.05,0.9,0,0,11,8,159,43,11,3
"125","bt","bglm",167,50,0.1,2,8,0.05,0.9,0,0,8,6,161,57,17,2
"126","bt","bglm",167,100,0.1,2,8,0.05,0.9,0,0,5,3,164,167,34,11
"127","bt","bglm",167,25,0.1,8,2,0.075,0.9,0,0,4,2,165,42,26,16
"128","bt","bglm",167,50,0.1,8,2,0.075,0.9,0,0,2,2,165,49,30,19
"129","bt","bglm",167,100,0.1,8,2,0.075,0.9,0,0,19,8,159,97,57,40
"130","bt","bglm",167,25,0.1,2,8,0.075,0.9,0,0,8,5,162,112,26,7
"131","bt","bglm",167,50,0.1,2,8,0.075,0.9,0,0,2,1,166,162,39,6
"132","bt","bglm",167,100,0.1,2,8,0.075,0.9,0,0,5,5,162,381,73,26
"133","bt","bglm",167,25,0.1,8,2,0.1,0.9,0,0,13,7,160,48,31,17
"134","bt","bglm",167,50,0.1,8,2,0.1,0.9,0,0,11,5,162,90,58,32
"135","bt","bglm",167,100,0.1,8,2,0.1,0.9,0,0,15,5,162,209,114,95
"136","bt","bglm",167,25,0.1,2,8,0.1,0.9,0,0,8,6,161,202,44,12
"137","bt","bglm",167,50,0.1,2,8,0.1,0.9,0,0,4,4,163,523,92,33
"138","bt","bglm",167,100,0.1,2,8,0.1,0.9,0,0,8,6,161,740,117,65
"139","bt","bglm",167,25,0.1,8,2,0.125,0.9,0,0,13,5,162,110,64,46
"140","bt","bglm",167,50,0.1,8,2,0.125,0.9,0,0,9,3,164,185,106,79
"141","bt","bglm",167,100,0.1,8,2,0.125,0.9,0,0,3,2,165,286,155,131
"142","bt","bglm",167,25,0.1,2,8,0.125,0.9,0,0,1,1,166,413,76,32
"143","bt","bglm",167,50,0.1,2,8,0.125,0.9,0,0,7,6,161,741,123,56
"144","bt","bglm",167,100,0.1,2,8,0.125,0.9,0,0,10,6,161,1170,160,132
"145","bt","bglm",167,25,0.1,8,2,0.15,0.9,0,0,14,5,162,161,91,70
"146","bt","bglm",167,50,0.1,8,2,0.15,0.9,0,0,20,5,162,251,136,115
"147","bt","bglm",167,100,0.1,8,2,0.15,0.9,0,0,24,6,161,321,162,159
"148","bt","bglm",167,25,0.1,2,8,0.15,0.9,0,0,1,1,166,582,98,48
"149","bt","bglm",167,50,0.1,2,8,0.15,0.9,0,0,1,1,166,996,141,108
"150","bt","bglm",167,100,0.1,2,8,0.15,0.9,0,0,3,3,164,1309,167,158
"151","bt","bglm",167,25,0.1,8,2,0.175,0.9,0,0,4,3,164,196,106,90
"152","bt","bglm",167,50,0.1,8,2,0.175,0.9,0,0,17,4,163,318,163,155
"153","bt","bglm",167,100,0.1,8,2,0.175,0.9,0,0,18,5,162,334,167,167
"154","bt","bglm",167,25,0.1,2,8,0.175,0.9,0,0,3,3,164,863,135,80
"155","bt","bglm",167,50,0.1,2,8,0.175,0.9,0,0,3,2,165,1211,160,138
"156","bt","bglm",167,100,0.1,2,8,0.175,0.9,0,0,4,3,164,1327,166,165
"157","bt","bglm",167,25,0.1,8,2,0.2,0.9,0,0,22,4,163,255,134,121
"158","bt","bglm",167,50,0.1,8,2,0.2,0.9,0,0,13,7,160,326,164,162
"159","bt","bglm",167,100,0.1,8,2,0.2,0.9,0,0,4,1,166,334,167,167
"160","bt","bglm",167,25,0.1,2,8,0.2,0.9,0,0,3,3,164,1060,151,115
"161","bt","bglm",167,50,0.1,2,8,0.2,0.9,0,0,3,3,164,1295,165,157
"162","bt","bglm",167,100,0.1,2,8,0.2,0.9,0,0,5,4,163,1336,167,167
"163","bt","bglm",167,25,0.1,8,2,0.001,0,0,0,4,4,163,2,2,0
"164","bt","bglm",167,50,0.1,8,2,0.001,0,0,0,6,5,162,2,2,0
"165","bt","bglm",167,100,0.1,8,2,0.001,0,0,0,6,6,161,3,3,0
"166","bt","bglm",167,25,0.1,2,8,0.001,0,0,0,3,3,164,6,5,0
"167","bt","bglm",167,50,0.1,2,8,0.001,0,0,0,1,1,166,7,7,0
"168","bt","bglm",167,100,0.1,2,8,0.001,0,0,0,0,0,167,2,2,0
"169","bt","bglm",167,25,0.1,8,2,0.025,0,0,0,9,9,158,4,4,0
"170","bt","bglm",167,50,0.1,8,2,0.025,0,0,0,8,7,160,8,8,0
"171","bt","bglm",167,100,0.1,8,2,0.025,0,0,0,4,3,164,7,7,0
"172","bt","bglm",167,25,0.1,2,8,0.025,0,0,0,5,5,162,19,17,0
"173","bt","bglm",167,50,0.1,2,8,0.025,0,0,0,2,2,165,16,16,0
"174","bt","bglm",167,100,0.1,2,8,0.025,0,0,0,1,1,166,24,20,0
"175","bt","bglm",167,25,0.1,8,2,0.05,0,0,0,4,4,163,5,5,0
"176","bt","bglm",167,50,0.1,8,2,0.05,0,0,0,11,11,156,12,11,1
"177","bt","bglm",167,100,0.1,8,2,0.05,0,0,0,8,8,159,30,29,1
"178","bt","bglm",167,25,0.1,2,8,0.05,0,0,0,3,3,164,32,30,0
"179","bt","bglm",167,50,0.1,2,8,0.05,0,0,0,3,3,164,55,46,0
