"method","model","nsim","ntrt","pi0","nep_h0","nep_ha","slope","corr","nfail","nerror","nrej","nreji","nrejcor","npow","npowi","npowcor"
"bonf","glm",10000,100,0.1,2,8,0.001,0.5,0,0,66,65,9935,312,249,0
"bonf","glm",10000,25,0.1,8,2,0.025,0.5,0,0,72,61,9939,57,54,3
"bonf","glm",10000,50,0.1,8,2,0.025,0.5,0,0,134,116,9884,132,127,5
"bonf","glm",10000,100,0.1,8,2,0.025,0.5,0,0,267,231,9769,267,251,16
"bonf","glm",10000,25,0.1,2,8,0.025,0.5,0,0,12,12,9988,205,165,0
"bonf","glm",10000,50,0.1,2,8,0.025,0.5,0,0,41,40,9960,465,355,0
"bonf","glm",10000,100,0.1,2,8,0.025,0.5,0,0,72,69,9931,1035,712,0
"bonf","glm",10000,25,0.1,8,2,0.05,0.5,0,0,74,69,9931,141,134,7
"bonf","glm",10000,50,0.1,8,2,0.05,0.5,0,0,160,133,9867,415,380,35
"bonf","glm",10000,100,0.1,8,2,0.05,0.5,0,0,290,235,9765,1092,958,134
"bonf","glm",10000,25,0.1,2,8,0.05,0.5,0,0,15,15,9985,587,411,0
"bonf","glm",10000,50,0.1,2,8,0.05,0.5,0,0,40,40,9960,1621,1046,3
"bonf","glm",10000,100,0.1,2,8,0.05,0.5,0,0,62,60,9940,4634,2450,7
"bonf","glm",10000,25,0.1,8,2,0.075,0.5,0,0,63,56,9944,370,347,23
"bonf","glm",10000,50,0.1,8,2,0.075,0.5,0,0,158,131,9869,1230,1063,167
"bonf","glm",10000,100,0.1,8,2,0.075,0.5,0,0,303,247,9753,3807,2967,840
"bonf","glm",10000,25,0.1,2,8,0.075,0.5,0,0,24,24,9976,1531,982,1
"bonf","glm",10000,50,0.1,2,8,0.075,0.5,0,0,41,40,9960,4960,2590,10
"bonf","glm",10000,100,0.1,2,8,0.075,0.5,0,0,65,63,9937,15068,5497,103
"bonf","glm",10000,25,0.1,8,2,0.1,0.5,0,0,61,55,9945,1021,874,147
"bonf","glm",10000,50,0.1,8,2,0.1,0.5,0,0,160,137,9863,3220,2588,632
"bonf","glm",10000,100,0.1,8,2,0.1,0.5,0,0,256,212,9788,8976,6119,2857
"bonf","glm",10000,25,0.1,2,8,0.1,0.5,0,0,19,17,9983,3983,2150,3
"bonf","glm",10000,50,0.1,2,8,0.1,0.5,0,0,57,55,9945,13214,5078,74
"bonf","glm",10000,100,0.1,2,8,0.1,0.5,0,0,65,60,9940,36070,8573,791
"bonf","glm",10000,25,0.1,8,2,0.125,0.5,0,0,80,61,9939,2283,1907,376
"bonf","glm",10000,50,0.1,8,2,0.125,0.5,0,0,173,144,9856,7000,5045,1955
"bonf","glm",10000,100,0.1,8,2,0.125,0.5,0,0,305,251,9749,15021,8795,6226
"bonf","glm",10000,25,0.1,2,8,0.125,0.5,0,0,21,21,9979,9310,4005,28
"bonf","glm",10000,50,0.1,2,8,0.125,0.5,0,0,40,36,9964,27498,7614,423
"bonf","glm",10000,100,0.1,2,8,0.125,0.5,0,0,71,69,9931,60675,9809,3531
"bonf","glm",10000,25,0.1,8,2,0.15,0.5,0,0,58,50,9950,4561,3496,1065
"bonf","glm",10000,50,0.1,8,2,0.15,0.5,0,0,179,150,9850,11777,7537,4240
"bonf","glm",10000,100,0.1,8,2,0.15,0.5,0,0,279,237,9763,18790,9838,8952
"bonf","glm",10000,25,0.1,2,8,0.15,0.5,0,0,29,29,9971,18420,6153,138
"bonf","glm",10000,50,0.1,2,8,0.15,0.5,0,0,45,44,9956,47318,9305,1688
"bonf","glm",10000,100,0.1,2,8,0.15,0.5,0,0,93,89,9911,75115,9990,7412
"bonf","glm",10000,25,0.1,8,2,0.175,0.5,0,0,64,56,9944,7946,5556,2390
"bonf","glm",10000,50,0.1,8,2,0.175,0.5,0,0,133,116,9884,16136,9201,6935
"bonf","glm",10000,100,0.1,8,2,0.175,0.5,0,0,310,246,9754,19858,9990,9868
"bonf","glm",10000,25,0.1,2,8,0.175,0.5,0,0,11,11,9989,31240,8076,551
"bonf","glm",10000,50,0.1,2,8,0.175,0.5,0,0,31,31,9969,64597,9895,4316
"bonf","glm",10000,100,0.1,2,8,0.175,0.5,0,0,71,71,9929,79478,10000,9603
"bonf","glm",10000,25,0.1,8,2,0.2,0.5,0,0,69,63,9937,11808,7502,4306
"bonf","glm",10000,50,0.1,8,2,0.2,0.5,0,0,185,160,9840,18748,9843,8905
"bonf","glm",10000,100,0.1,8,2,0.2,0.5,0,0,287,236,9764,19998,10000,9998
"bonf","glm",10000,25,0.1,2,8,0.2,0.5,0,0,19,19,9981,46287,9214,1591
"bonf","glm",10000,50,0.1,2,8,0.2,0.5,0,0,59,59,9941,75009,9987,7413
"bonf","glm",10000,100,0.1,2,8,0.2,0.5,0,0,79,74,9926,79970,10000,9971
"bonf","glm",10000,25,0.1,8,2,0.001,0.9,0,0,49,21,9979,16,14,2
"bonf","glm",10000,50,0.1,8,2,0.001,0.9,0,0,118,48,9952,54,45,9
"bonf","glm",10000,100,0.1,8,2,0.001,0.9,0,0,288,102,9898,70,54,16
"bonf","glm",10000,25,0.1,2,8,0.001,0.9,0,0,20,18,9982,54,25,0
"bonf","glm",10000,50,0.1,2,8,0.001,0.9,0,0,45,35,9965,201,74,5
"bonf","glm",10000,100,0.1,2,8,0.001,0.9,0,0,71,57,9943,270,107,4
"bonf","glm",10000,25,0.1,8,2,0.025,0.9,0,0,50,16,9984,46,35,11
"bonf","glm",10000,50,0.1,8,2,0.025,0.9,0,0,201,72,9928,107,82,25
"bonf","glm",10000,100,0.1,8,2,0.025,0.9,0,0,339,114,9886,264,188,76
"bonf","glm",10000,25,0.1,2,8,0.025,0.9,0,0,17,14,9986,126,51,1
"bonf","glm",10000,50,0.1,2,8,0.025,0.9,0,0,52,38,9962,466,160,10
"bonf","glm",10000,100,0.1,2,8,0.025,0.9,0,0,64,47,9953,958,313,32
"bonf","glm",10000,25,0.1,8,2,0.05,0.9,0,0,90,31,9969,125,95,30
"bonf","glm",10000,50,0.1,8,2,0.05,0.9,0,0,210,85,9915,434,304,130
