"method","model","pis","nresp","ntrt","corr","nsim","percent","percenti","pererror","perfail","N","J","cor"
"bonf","glm",0.125,10,25,0.9,10000,0.013,0.0044,0,0,100,10,0.9
"bonf","glm",0.125,10,50,0,10000,0.0297,0.0295,0,0,200,10,0
"bonf","glm",0.125,10,50,0.5,10000,0.0317,0.0255,0,0,200,10,0.5
"bonf","glm",0.125,10,50,0.9,10000,0.0293,0.0099,0,0,200,10,0.9
"bonf","glm",0.125,10,100,0,10000,0.0408,0.0404,0,0,400,10,0
"bonf","glm",0.125,10,100,0.5,10000,0.0387,0.0301,0,0,400,10,0.5
"bonf","glm",0.125,10,100,0.9,10000,0.0347,0.0117,0,0,400,10,0.9
"bonf","glm",0.25,3,25,0,10000,0.0417,0.0409,0,0,100,3,0
"bonf","glm",0.25,3,25,0.5,10000,0.0375,0.0343,0,0,100,3,0.5
"bonf","glm",0.25,3,25,0.9,10000,0.0415,0.0249,0,0,100,3,0.9
"bonf","glm",0.25,3,50,0,10000,0.0444,0.0439,0,0,200,3,0
"bonf","glm",0.25,3,50,0.5,10000,0.0461,0.0408,0,0,200,3,0.5
"bonf","glm",0.25,3,50,0.9,10000,0.0456,0.0273,0,0,200,3,0.9
"bonf","glm",0.25,3,100,0,10000,0.0448,0.0436,0,0,400,3,0
"bonf","glm",0.25,3,100,0.5,10000,0.0464,0.0406,0,0,400,3,0.5
"bonf","glm",0.25,3,100,0.9,10000,0.0452,0.0259,0,0,400,3,0.9
"bonf","glm",0.25,5,25,0,10000,0.0394,0.0387,0,0,100,5,0
"bonf","glm",0.25,5,25,0.5,10000,0.0341,0.0301,0,0,100,5,0.5
"bonf","glm",0.25,5,25,0.9,10000,0.0322,0.0155,0,0,100,5,0.9
"bonf","glm",0.25,5,50,0,10000,0.0411,0.0406,0,0,200,5,0
"bonf","glm",0.25,5,50,0.5,10000,0.0421,0.0349,0,0,200,5,0.5
"bonf","glm",0.25,5,50,0.9,10000,0.0441,0.0203,0,0,200,5,0.9
"bonf","glm",0.25,5,100,0,10000,0.046,0.045,0,0,400,5,0
"bonf","glm",0.25,5,100,0.5,10000,0.0468,0.0387,0,0,400,5,0.5
"bonf","glm",0.25,5,100,0.9,10000,0.0409,0.0209,0,0,400,5,0.9
"bonf","glm",0.25,10,25,0,10000,0.0269,0.0266,0,0,100,10,0
"bonf","glm",0.25,10,25,0.5,10000,0.0299,0.0239,0,0,100,10,0.5
"bonf","glm",0.25,10,25,0.9,10000,0.0241,0.0084,0,0,100,10,0.9
"bonf","glm",0.25,10,50,0,10000,0.0393,0.0384,0,0,200,10,0
"bonf","glm",0.25,10,50,0.5,10000,0.0382,0.0304,0,0,200,10,0.5
"bonf","glm",0.25,10,50,0.9,10000,0.0439,0.0136,0,0,200,10,0.9
"bonf","glm",0.25,10,100,0,10000,0.0419,0.0412,0,0,400,10,0
"bonf","glm",0.25,10,100,0.5,10000,0.0474,0.0377,0,0,400,10,0.5
"bonf","glm",0.25,10,100,0.9,10000,0.0462,0.0144,0,0,400,10,0.9
"bonf","glm",0.375,3,25,0,10000,0.0406,0.0396,0,0,100,3,0
"bonf","glm",0.375,3,25,0.5,10000,0.0438,0.0396,0,0,100,3,0.5
"bonf","glm",0.375,3,25,0.9,10000,0.0415,0.0242,0,0,100,3,0.9
"bonf","glm",0.375,3,50,0,10000,0.0511,0.05,0,0,200,3,0
"bonf","glm",0.375,3,50,0.5,10000,0.0467,0.0426,0,0,200,3,0.5
"bonf","glm",0.375,3,50,0.9,10000,0.0501,0.0289,0,0,200,3,0.9
"bonf","glm",0.375,3,100,0,10000,0.0437,0.0432,0,0,400,3,0
"bonf","glm",0.375,3,100,0.5,10000,0.0448,0.04,0,0,400,3,0.5
"bonf","glm",0.375,3,100,0.9,10000,0.0458,0.0275,0,0,400,3,0.9
"bonf","glm",0.375,5,25,0,10000,0.0405,0.0395,0,0,100,5,0
"bonf","glm",0.375,5,25,0.5,10000,0.0397,0.0342,0,0,100,5,0.5
"bonf","glm",0.375,5,25,0.9,10000,0.0472,0.0208,0,0,100,5,0.9
"bonf","glm",0.375,5,50,0,10000,0.0455,0.045,0,0,200,5,0
"bonf","glm",0.375,5,50,0.5,10000,0.0469,0.0397,0,0,200,5,0.5
"bonf","glm",0.375,5,50,0.9,10000,0.0469,0.0216,0,0,200,5,0.9
"bonf","glm",0.375,5,100,0,10000,0.0509,0.0505,0,0,400,5,0
"bonf","glm",0.375,5,100,0.5,10000,0.0423,0.0367,0,0,400,5,0.5
"bonf","glm",0.375,5,100,0.9,10000,0.0484,0.022,0,0,400,5,0.9
"bonf","glm",0.375,10,25,0,10000,0.0348,0.0345,0,0,100,10,0
"bonf","glm",0.375,10,25,0.5,10000,0.0372,0.0293,0,0,100,10,0.5
"bonf","glm",0.375,10,25,0.9,10000,0.0336,0.0139,0,0,100,10,0.9
"bonf","glm",0.375,10,50,0,10000,0.0435,0.0427,0,0,200,10,0
"bonf","glm",0.375,10,50,0.5,10000,0.0433,0.0342,0,0,200,10,0.5
"bonf","glm",0.375,10,50,0.9,10000,0.0493,0.0153,0,0,200,10,0.9
"bonf","glm",0.375,10,100,0,10000,0.0477,0.0466,0,0,400,10,0
"bonf","glm",0.375,10,100,0.5,10000,0.0502,0.0377,0,0,400,10,0.5
"bonf","glm",0.375,10,100,0.9,10000,0.0471,0.015,0,0,400,10,0.9
"bonf","glm",0.5,3,25,0,10000,0.0449,0.0443,0,0,100,3,0
"bonf","glm",0.5,3,25,0.5,10000,0.0416,0.0375,0,0,100,3,0.5
"bonf","glm",0.5,3,25,0.9,10000,0.0474,0.027,0,0,100,3,0.9
"bonf","glm",0.5,3,50,0,10000,0.0481,0.0471,0,0,200,3,0
"bonf","glm",0.5,3,50,0.5,10000,0.0483,0.0425,0,0,200,3,0.5
"bonf","glm",0.5,3,50,0.9,10000,0.0466,0.028,0,0,200,3,0.9
"bonf","glm",0.5,3,100,0,10000,0.0454,0.0445,0,0,400,3,0
"bonf","glm",0.5,3,100,0.5,10000,0.0435,0.0393,0,0,400,3,0.5
"bonf","glm",0.5,3,100,0.9,10000,0.0485,0.029,0,0,400,3,0.9
"bonf","glm",0.5,5,25,0,10000,0.0417,0.0406,0,0,100,5,0
"bonf","glm",0.5,5,25,0.5,10000,0.0444,0.0374,0,0,100,5,0.5
